ts,id,T,P
-0.745,BARO0,36.04,99899
-0.735,BARO0,36.01,99913
-0.725,BARO0,36.02,99917
-0.715,BARO0,36.01,99905
-0.705,BARO0,36.01,99884
-0.695,BARO0,36.01,99894
-0.685,BARO0,36.0,99914
-0.675,BARO0,36.02,99908
-0.665,BARO0,36.01,99926
-0.655,BARO0,36.03,99921
-0.645,BARO0,36.02,99912
-0.635,BARO0,36.01,99900
-0.625,BARO0,36.01,99903
-0.615,BARO0,36.01,99911
-0.605,BARO0,36.02,99930
-0.595,BARO0,36.02,99921
-0.585,BARO0,36.03,99932
-0.575,BARO0,36.0,99922
-0.565,BARO0,36.01,99898
-0.555,BARO0,36.0,99929
-0.545,BARO0,36.01,99921
-0.535,BARO0,36.01,99901
-0.525,BARO0,36.01,99913
-0.515,BARO0,36.01,99904
-0.505,BARO0,36.03,99910
-0.495,BARO0,36.01,99881
-0.485,BARO0,36.02,99913
-0.475,BARO0,36.04,99914
-0.465,BARO0,36.01,99929
-0.455,BARO0,36.03,99943
-0.445,BARO0,36.01,99907
-0.435,BARO0,36.02,99932
-0.425,BARO0,36.02,99916
-0.415,BARO0,36.01,99907
-0.405,BARO0,36.0,99904
-0.395,BARO0,36.01,99925
-0.385,BARO0,36.02,99923
-0.375,BARO0,36.03,99930
-0.365,BARO0,36.02,99917
-0.355,BARO0,36.02,99904
-0.345,BARO0,36.01,99911
-0.335,BARO0,36.01,99908
-0.325,BARO0,36.02,99912
-0.315,BARO0,36.02,99919
-0.305,BARO0,35.99,99880
-0.295,BARO0,36.02,99933
-0.285,BARO0,36.03,99903
-0.275,BARO0,36.01,99918
-0.265,BARO0,36.03,99893
-0.255,BARO0,36.01,99923
-0.245,BARO0,36.01,99902
-0.235,BARO0,36.01,99912
-0.225,BARO0,36.01,99905
-0.215,BARO0,36.02,99903
-0.205,BARO0,36.0,99899
-0.195,BARO0,36.02,99920
-0.185,BARO0,36.0,99900
-0.175,BARO0,36.03,99890
-0.165,BARO0,36.03,99915
-0.155,BARO0,36.01,99899
-0.145,BARO0,36.02,99890
-0.135,BARO0,36.01,99902
-0.125,BARO0,36.02,99900
-0.115,BARO0,36.01,99882
-0.105,BARO0,36.02,99904
-0.095,BARO0,36.01,99905
-0.085,BARO0,36.0,99862
-0.075,BARO0,36.01,99908
-0.065,BARO0,36.03,99832
-0.055,BARO0,36.01,99859
-0.045,BARO0,36.0,99848
-0.035,BARO0,36.02,99846
-0.025,BARO0,36.02,99864
-0.015,BARO0,36.02,99852
-0.005,BARO0,35.98,99834
0.005,BARO0,36.02,99798
0.015,BARO0,36.0,99819
0.025,BARO0,36.01,99839
0.035,BARO0,36.0,99864
0.045,BARO0,36.0,99848
0.055,BARO0,36.02,99848
0.065,BARO0,36.02,99826
0.075,BARO0,36.01,99811
0.085,BARO0,36.01,99819
0.095,BARO0,36.01,99828
0.105,BARO0,36.03,99818
0.115,BARO0,36.02,99841
0.125,BARO0,36.02,99837
0.135,BARO0,36.0,99830
0.145,BARO0,36.02,99797
0.155,BARO0,36.01,99784
0.165,BARO0,36.02,99800
0.175,BARO0,36.01,99797
0.185,BARO0,36.02,99790
0.195,BARO0,36.03,99802
0.205,BARO0,36.02,99811
0.215,BARO0,36.01,99770
0.225,BARO0,36.02,99810
0.235,BARO0,36.03,99792
0.245,BARO0,36.01,99814
0.255,BARO0,36.01,99792
0.265,BARO0,36.01,99787
0.275,BARO0,36.01,99783
0.285,BARO0,36.02,99790
0.295,BARO0,36.04,99780
0.305,BARO0,36.01,99783
0.315,BARO0,36.01,99767
0.325,BARO0,36.02,99770
0.335,BARO0,36.0,99761
0.345,BARO0,36.02,99750
0.355,BARO0,36.0,99762
0.365,BARO0,36.02,99749
0.375,BARO0,36.01,99752
0.385,BARO0,36.01,99748
0.395,BARO0,36.02,99775
0.405,BARO0,36.01,99724
0.415,BARO0,36.01,99726
0.425,BARO0,36.03,99710
0.435,BARO0,36.0,99705
0.445,BARO0,36.0,99690
0.455,BARO0,36.02,99732
0.465,BARO0,36.01,99726
0.475,BARO0,36.01,99716
0.485,BARO0,36.01,99703
0.495,BARO0,36.03,99721
0.505,BARO0,36.01,99687
0.515,BARO0,36.0,99741
0.525,BARO0,36.01,99709
0.535,BARO0,36.0,99681
0.545,BARO0,36.0,99714
0.555,BARO0,36.01,99651
0.565,BARO0,36.01,99662
0.575,BARO0,36.02,99677
0.585,BARO0,36.01,99675
0.595,BARO0,36.01,99660
0.605,BARO0,36.0,99649
0.615,BARO0,36.01,99658
0.625,BARO0,36.01,99644
0.635,BARO0,36.0,99627
0.645,BARO0,36.01,99630
0.655,BARO0,36.0,99646
0.665,BARO0,36.01,99644
0.675,BARO0,36.01,99634
0.685,BARO0,36.01,99625
0.695,BARO0,36.02,99622
0.705,BARO0,36.0,99641
0.715,BARO0,36.0,99605
0.725,BARO0,36.0,99612
0.735,BARO0,35.99,99604
0.745,BARO0,35.99,99600
0.755,BARO0,36.0,99562
0.765,BARO0,36.0,99578
0.775,BARO0,36.01,99578
0.785,BARO0,36.0,99595
0.795,BARO0,36.02,99556
0.805,BARO0,35.99,99568
0.815,BARO0,36.02,99562
0.825,BARO0,36.02,99554
0.835,BARO0,35.99,99575
0.845,BARO0,36.02,99550
0.855,BARO0,36.02,99552
0.865,BARO0,36.0,99541
0.875,BARO0,36.0,99529
0.885,BARO0,36.0,99520
0.895,BARO0,35.99,99524
0.905,BARO0,36.0,99497
0.915,BARO0,35.99,99488
0.925,BARO0,36.01,99490
0.935,BARO0,36.02,99543
0.945,BARO0,36.02,99478
0.955,BARO0,35.99,99479
0.965,BARO0,36.0,99475
0.975,BARO0,36.01,99467
0.985,BARO0,36.01,99464
0.995,BARO0,36.01,99456
1.005,BARO0,36.02,99445
1.015,BARO0,35.99,99437
1.025,BARO0,36.0,99426
1.035,BARO0,36.01,99441
1.045,BARO0,35.99,99400
1.055,BARO0,36.01,99393
1.065,BARO0,36.0,99410
1.075,BARO0,36.0,99405
1.085,BARO0,36.0,99403
1.095,BARO0,36.01,99401
1.105,BARO0,36.01,99388
1.115,BARO0,36.0,99354
1.125,BARO0,36.0,99354
1.135,BARO0,36.01,99364
1.145,BARO0,36.0,99350
1.155,BARO0,36.01,99346
1.165,BARO0,36.0,99334
1.175,BARO0,36.0,99312
1.185,BARO0,35.99,99321
1.195,BARO0,36.0,99320
1.205,BARO0,36.01,99293
1.215,BARO0,36.01,99299
1.225,BARO0,36.02,99293
1.235,BARO0,36.0,99278
1.245,BARO0,36.01,99273
1.255,BARO0,35.99,99230
1.265,BARO0,35.99,99241
1.275,BARO0,36.0,99250
1.285,BARO0,36.0,99235
1.295,BARO0,36.01,99224
1.305,BARO0,36.02,99247
1.315,BARO0,35.99,99181
1.325,BARO0,36.02,99200
1.335,BARO0,36.02,99199
1.345,BARO0,35.99,99203
1.355,BARO0,35.97,99179
1.365,BARO0,35.99,99190
1.375,BARO0,35.99,99154
1.385,BARO0,36.0,99157
1.395,BARO0,35.98,99180
1.405,BARO0,36.0,99158
1.415,BARO0,35.99,99137
1.425,BARO0,36.0,99115
1.435,BARO0,35.98,99115
1.445,BARO0,35.99,99129
1.455,BARO0,35.99,99110
1.465,BARO0,35.99,99092
1.475,BARO0,35.99,99101
1.485,BARO0,35.99,99084
1.495,BARO0,35.98,99080
1.505,BARO0,35.99,99067
1.515,BARO0,36.0,99052
1.525,BARO0,35.99,99019
1.535,BARO0,35.98,99071
1.545,BARO0,35.98,99047
1.555,BARO0,35.99,99022
1.565,BARO0,35.99,99030
1.575,BARO0,35.99,99029
1.585,BARO0,35.99,98988
1.595,BARO0,35.96,98995
1.605,BARO0,35.97,98969
1.615,BARO0,36.0,98973
1.625,BARO0,36.01,98989
1.635,BARO0,36.0,98929
1.645,BARO0,35.98,98973
1.655,BARO0,35.98,98948
1.665,BARO0,35.99,98933
1.675,BARO0,35.98,98918
1.685,BARO0,35.99,98912
1.695,BARO0,36.0,98893
1.705,BARO0,35.97,98896
1.715,BARO0,35.97,98908
1.725,BARO0,36.0,98895
1.735,BARO0,35.99,98866
1.745,BARO0,36.01,98839
1.755,BARO0,36.01,98852
1.765,BARO0,35.99,98836
1.775,BARO0,35.98,98840
1.785,BARO0,35.99,98830
1.795,BARO0,35.98,98825
1.805,BARO0,36.0,98793
1.815,BARO0,35.98,98816
1.825,BARO0,35.98,98812
1.835,BARO0,36.01,98783
1.845,BARO0,36.01,98764
1.855,BARO0,36.0,98747
1.865,BARO0,35.99,98745
1.875,BARO0,35.98,98725
1.885,BARO0,35.99,98744
1.895,BARO0,35.98,98719
1.905,BARO0,35.99,98720
1.915,BARO0,36.0,98687
1.925,BARO0,36.01,98673
1.935,BARO0,36.01,98674
1.945,BARO0,35.96,98662
1.955,BARO0,35.99,98664
1.965,BARO0,35.99,98644
1.975,BARO0,35.98,98622
1.985,BARO0,35.99,98618
1.995,BARO0,35.98,98585
2.005,BARO0,36.01,98589
2.015,BARO0,36.01,98602
2.025,BARO0,35.99,98594
2.035,BARO0,35.98,98533
2.045,BARO0,35.99,98584
2.055,BARO0,36.02,98522
2.065,BARO0,35.99,98523
2.075,BARO0,35.98,98518
2.085,BARO0,35.98,98520
2.095,BARO0,35.97,98511
2.105,BARO0,35.97,98508
2.115,BARO0,35.98,98452
2.125,BARO0,36.01,98441
2.135,BARO0,36.0,98445
2.145,BARO0,35.99,98439
2.155,BARO0,35.99,98413
2.165,BARO0,35.98,98429
2.175,BARO0,35.98,98414
2.185,BARO0,35.98,98392
2.195,BARO0,35.98,98420
2.205,BARO0,35.99,98382
2.215,BARO0,35.96,98339
2.225,BARO0,35.98,98326
2.235,BARO0,35.98,98381
2.245,BARO0,35.98,98326
2.255,BARO0,35.99,98306
2.265,BARO0,35.98,98320
2.275,BARO0,35.98,98294
2.285,BARO0,35.97,98273
2.295,BARO0,35.98,98280
2.305,BARO0,35.96,98244
2.315,BARO0,35.97,98224
2.325,BARO0,35.98,98207
2.335,BARO0,36.0,98239
2.345,BARO0,35.98,98226
2.355,BARO0,35.98,98174
2.365,BARO0,35.97,98175
2.375,BARO0,35.98,98157
2.385,BARO0,35.97,98166
2.395,BARO0,35.99,98152
2.405,BARO0,35.98,98128
2.415,BARO0,35.98,98125
2.425,BARO0,36.0,98101
2.435,BARO0,35.99,98105
2.445,BARO0,35.98,98057
2.455,BARO0,35.99,98044
2.465,BARO0,35.97,98037
2.475,BARO0,35.97,98042
2.485,BARO0,35.96,98017
2.495,BARO0,35.97,98014
2.505,BARO0,35.97,98015
2.515,BARO0,35.97,97973
2.525,BARO0,35.97,97980
2.535,BARO0,35.98,97957
2.545,BARO0,35.96,97957
2.555,BARO0,35.97,97942
2.565,BARO0,35.97,97922
2.575,BARO0,35.97,97896
2.585,BARO0,35.96,97886
2.595,BARO0,35.97,97893
2.605,BARO0,35.96,97856
2.615,BARO0,35.97,97834
2.625,BARO0,35.98,97809
2.635,BARO0,35.97,97813
2.645,BARO0,35.97,97805
2.655,BARO0,35.97,97795
2.665,BARO0,35.96,97771
2.675,BARO0,35.97,97757
2.685,BARO0,35.96,97742
2.695,BARO0,35.97,97730
2.705,BARO0,35.97,97710
2.715,BARO0,35.95,97679
2.725,BARO0,35.97,97721
2.735,BARO0,35.98,97637
2.745,BARO0,35.96,97657
2.755,BARO0,35.96,97645
2.765,BARO0,35.96,97652
2.775,BARO0,35.97,97617
2.785,BARO0,35.96,97620
2.795,BARO0,35.97,97588
2.805,BARO0,35.94,97568
2.815,BARO0,35.98,97626
2.825,BARO0,35.96,97536
2.835,BARO0,35.97,97563
2.845,BARO0,35.97,97498
2.855,BARO0,35.98,97494
2.865,BARO0,35.97,97491
2.875,BARO0,35.96,97484
2.885,BARO0,35.96,97472
2.895,BARO0,35.97,97442
2.905,BARO0,35.96,97435
2.915,BARO0,35.95,97429
2.925,BARO0,35.96,97431
2.935,BARO0,35.97,97383
2.945,BARO0,35.95,97378
2.955,BARO0,35.94,97362
2.965,BARO0,35.96,97337
2.975,BARO0,35.97,97333
2.985,BARO0,35.96,97316
2.995,BARO0,35.96,97296
3.005,BARO0,35.96,97268
3.015,BARO0,35.95,97237
3.025,BARO0,35.95,97271
3.035,BARO0,35.94,97228
3.045,BARO0,35.94,97225
3.055,BARO0,35.94,97213
3.065,BARO0,35.95,97186
3.075,BARO0,35.96,97178
3.085,BARO0,35.96,97168
3.095,BARO0,35.95,97167
3.105,BARO0,35.95,97129
3.115,BARO0,35.96,97102
3.125,BARO0,35.95,97089
3.135,BARO0,35.95,97099
3.145,BARO0,35.96,97084
3.155,BARO0,35.94,97070
3.165,BARO0,35.95,97038
3.175,BARO0,35.96,97025
3.185,BARO0,35.94,97021
3.195,BARO0,35.95,96990
3.205,BARO0,35.95,96971
3.215,BARO0,35.94,96977
3.225,BARO0,35.97,96959
3.235,BARO0,35.98,96921
3.245,BARO0,35.95,96918
3.255,BARO0,35.95,96915
3.265,BARO0,35.96,96894
3.275,BARO0,35.95,96880
3.285,BARO0,35.95,96857
3.295,BARO0,35.94,96834
3.305,BARO0,35.94,96839
3.315,BARO0,35.93,96834
3.325,BARO0,35.95,96787
3.335,BARO0,35.95,96761
3.345,BARO0,35.94,96746
3.355,BARO0,35.93,96754
3.365,BARO0,35.95,96726
3.375,BARO0,35.95,96719
3.385,BARO0,35.94,96684
3.395,BARO0,35.93,96693
3.405,BARO0,35.95,96659
3.415,BARO0,35.95,96680
3.425,BARO0,35.96,96623
3.435,BARO0,35.94,96616
3.445,BARO0,35.94,96596
3.455,BARO0,35.93,96590
3.465,BARO0,35.94,96575
3.475,BARO0,35.94,96571
3.485,BARO0,35.94,96537
3.495,BARO0,35.94,96554
3.505,BARO0,35.95,96495
3.515,BARO0,35.92,96486
3.525,BARO0,35.94,96481
3.535,BARO0,35.95,96452
3.545,BARO0,35.92,96456
3.555,BARO0,35.93,96425
3.565,BARO0,35.94,96410
3.575,BARO0,35.93,96385
3.585,BARO0,35.94,96399
3.595,BARO0,35.94,96379
3.605,BARO0,35.94,96341
3.615,BARO0,35.95,96306
3.625,BARO0,35.94,96331
3.635,BARO0,35.92,96302
3.645,BARO0,35.94,96305
3.655,BARO0,35.93,96259
3.665,BARO0,35.94,96251
3.675,BARO0,35.94,96234
3.685,BARO0,35.94,96230
3.695,BARO0,35.94,96218
3.705,BARO0,35.95,96224
3.715,BARO0,35.92,96165
3.725,BARO0,35.95,96184
3.735,BARO0,35.93,96141
3.745,BARO0,35.94,96109
3.755,BARO0,35.92,96095
3.765,BARO0,35.92,96083
3.775,BARO0,35.92,96081
3.785,BARO0,35.94,96075
3.795,BARO0,35.95,96037
3.805,BARO0,35.94,96039
3.815,BARO0,35.91,95991
3.825,BARO0,35.95,95996
3.835,BARO0,35.92,95960
3.845,BARO0,35.94,95982
3.855,BARO0,35.92,95947
3.865,BARO0,35.92,95920
3.875,BARO0,35.93,95897
3.885,BARO0,35.92,95858
3.895,BARO0,35.94,95889
3.905,BARO0,35.92,95834
3.915,BARO0,35.93,95813
3.925,BARO0,35.92,95834
3.935,BARO0,35.93,95791
3.945,BARO0,35.93,95736
3.955,BARO0,35.9,95719
3.965,BARO0,35.93,95712
3.975,BARO0,35.93,95674
3.985,BARO0,35.92,95657
3.995,BARO0,35.92,95634
4.005,BARO0,35.92,95593
4.015,BARO0,35.92,95592
4.025,BARO0,35.91,95502
4.035,BARO0,35.93,95498
4.045,BARO0,35.92,95437
4.055,BARO0,35.92,95457
4.065,BARO0,35.92,95433
4.075,BARO0,35.92,95400
4.085,BARO0,35.92,95381
4.095,BARO0,35.91,95337
4.105,BARO0,35.92,95294
4.115,BARO0,35.91,95280
4.125,BARO0,35.92,95240
4.135,BARO0,35.92,95237
4.145,BARO0,35.91,95190
4.155,BARO0,35.92,95164
4.165,BARO0,35.91,95143
4.175,BARO0,35.92,95125
4.185,BARO0,35.93,95093
4.195,BARO0,35.92,95091
4.205,BARO0,35.92,95041
4.215,BARO0,35.9,94994
4.225,BARO0,35.9,94976
4.235,BARO0,35.93,94937
4.245,BARO0,35.94,94901
4.255,BARO0,35.93,94868
4.265,BARO0,35.92,94836
4.275,BARO0,35.91,94830
4.285,BARO0,35.92,94792
4.295,BARO0,35.9,94784
4.305,BARO0,35.92,94719
4.315,BARO0,35.93,94725
4.325,BARO0,35.94,94702
4.335,BARO0,35.93,94661
4.345,BARO0,35.91,94624
4.355,BARO0,35.91,94569
4.365,BARO0,35.92,94543
4.375,BARO0,35.92,94518
4.385,BARO0,35.91,94502
4.395,BARO0,35.93,94513
4.405,BARO0,35.89,94450
