ts,voltage
-0.6,9.918
0.4,9.927
1.4,9.885
2.4,9.869
3.4,9.885
4.4,9.902
5.4,9.91
6.4,9.918
7.4,9.894
8.4,9.894
9.4,9.861
10.4,9.902
11.4,9.918
12.4,9.877
13.4,9.902
14.4,9.902
15.4,9.894
16.4,9.885
17.4,9.918
18.4,9.894
19.4,9.902
20.4,9.877
21.4,9.902
22.4,9.836
23.4,9.918
24.4,9.885
25.4,9.852
26.4,9.935
27.4,9.869
28.4,9.894
29.4,9.885
30.4,9.902
31.4,9.918
32.4,9.902
33.4,9.902
34.4,9.869
35.4,9.918
36.4,9.943
37.4,9.885
38.4,9.918
39.4,9.885
40.4,9.861
41.4,9.91
42.4,9.902
43.4,9.894
44.4,9.918
45.4,9.869
46.4,9.885
47.4,9.927
48.4,9.927
49.4,9.918
50.4,9.894
51.4,9.885
52.4,9.894
53.4,9.885
54.4,9.877
55.4,9.894
56.4,9.877
57.4,9.91
58.4,9.918
59.4,9.902
60.4,9.902
61.4,9.877
62.4,9.91
63.4,9.902
64.4,9.885
65.4,9.885
66.4,9.918
67.4,9.894
68.4,9.927
69.4,9.902
70.4,9.877
71.4,9.894
72.4,9.91
73.4,9.894
74.4,9.902
75.4,9.935
76.4,9.885
77.4,9.885
78.4,9.943
79.4,9.91
80.4,9.918
81.4,9.918
82.4,9.885
83.4,9.902
84.4,9.844
85.4,9.902
86.4,9.918
87.4,9.91
88.4,9.902
89.4,9.877
90.4,9.902
91.4,9.91
92.4,9.91
93.4,9.869
94.4,9.918
95.4,9.902
96.4,9.927
97.4,9.935
98.4,9.935
99.4,9.877
100.4,9.91
101.4,9.902
102.4,9.927
103.4,9.951
104.4,9.918
105.4,9.902
106.4,9.885
107.4,9.927
108.4,9.894
109.4,9.894
110.4,9.935
111.4,9.935
112.4,9.918
113.4,9.91
114.4,9.918
115.4,9.91
116.4,9.902
117.4,9.894
118.4,9.91
119.4,9.902
120.4,9.885
121.4,9.902
122.4,9.877
123.4,9.885
124.4,9.877
125.4,9.869
126.4,9.869
127.4,9.869
128.4,9.869
129.4,9.877
130.4,9.861
131.4,9.852
132.4,9.869
133.4,9.877
134.4,9.869
135.4,9.861
136.4,9.861
137.4,9.869
138.4,9.844
139.4,9.852
140.4,9.861
141.4,9.861
142.4,9.861
143.4,9.861
144.4,9.852
145.4,9.869
146.4,9.861
147.4,9.844
148.4,9.869
149.4,9.861
150.4,9.861
151.4,9.861
152.4,9.869
153.4,9.844
154.4,9.844
155.4,9.861
156.4,9.869
157.4,9.869
158.4,9.852
159.4,9.869
160.4,9.869
161.4,9.836
162.4,9.844
163.4,9.852
164.4,9.852
165.4,9.794
166.4,9.844
167.4,9.852
168.4,9.885
169.4,9.827
170.4,9.827
171.4,9.803
172.4,9.852
173.4,9.91
174.4,9.861
175.4,9.836
176.4,9.861
177.4,9.902
178.4,9.861
179.4,9.877
180.4,9.91
181.4,9.885
182.4,9.877
183.4,9.902
184.4,9.844
185.4,9.877
186.4,9.91
187.4,9.902
188.4,9.877
189.4,9.894
190.4,9.885
191.4,9.894
192.4,9.869
193.4,9.885
194.4,9.836
195.4,9.894
196.4,9.844
197.4,9.902
198.4,9.902
199.4,9.918
200.4,9.844
201.4,9.877
202.4,9.894
203.4,9.902
204.4,9.861
205.4,9.918
206.4,9.894
207.4,9.902
208.4,9.894
209.4,9.877
210.4,9.902
211.4,9.902
212.4,9.861
213.4,9.852
214.4,9.91
215.4,9.894
216.4,9.844
217.4,9.852
218.4,9.885
219.4,9.894
220.4,9.877
221.4,9.902
222.4,9.869
223.4,9.935
224.4,9.91
225.4,9.918
226.4,9.877
227.4,9.902
228.4,9.844
229.4,9.927
230.4,9.91
231.4,9.877
232.4,9.877
233.4,9.91
234.4,9.918
235.4,9.877
236.4,9.885
237.4,9.91
238.4,9.894
239.4,9.935
240.4,9.927
241.4,9.918
242.4,9.885
243.4,9.885
244.4,9.894
245.4,9.885
246.4,9.852
247.4,9.869
248.4,9.885
249.4,9.902
250.4,9.869
251.4,9.935
252.4,9.861
253.4,9.918
254.4,9.894
255.4,9.894
256.4,9.91
257.4,9.885
258.4,9.885
259.4,9.91
260.4,9.894
261.4,9.943
262.4,9.902
263.4,9.918
264.4,9.91
265.4,9.894
266.4,9.844
267.4,9.852
268.4,9.91
269.4,9.885
270.4,9.861
271.4,9.885
272.4,9.918
273.4,9.869
274.4,9.877
275.4,9.894
276.4,9.91
277.4,9.885
278.4,9.885
279.4,9.877
280.4,9.877
281.4,9.869
282.4,10.001
283.4,9.935
284.4,9.918
285.4,9.91
286.4,9.902
