ts,altitude[m],velocity[m/s],latitude,longitude
0.0,0,6,0.0,0.0
0.1,0,11,0.0,0.0
0.2,2,17,0.0,0.0
0.3,4,22,0.0,0.0
0.4,6,27,0.0,0.0
0.5,10,33,0.0,0.0
0.7,17,44,0.0,0.0
0.8,22,50,0.0,0.0
0.9,27,56,0.0,0.0
1.0,33,62,0.0,0.0
1.3,55,79,0.0,0.0
1.6,81,97,0.0,0.0
1.7,91,103,0.0,0.0
1.8,102,109,0.0,0.0
2.1,137,126,0.0,0.0
2.2,149,131,0.0,0.0
2.5,0,4,39.3879,-8.2901
2.6,0,9,39.3879,-8.2901
2.7,221,159,0.0,0.0
2.8,3,20,39.3879,-8.2901
2.9,5,26,39.3879,-8.2901
3.2,304,184,0.0,0.0
3.3,322,189,0.0,0.0
3.4,26,55,39.3879,-8.2901
3.5,32,61,39.3879,-8.2901
3.6,38,67,39.3879,-8.2901
3.7,45,73,39.3879,-8.2901
3.8,53,79,39.3879,-8.2901
4.1,79,97,39.3879,-8.2901
4.2,89,103,39.3879,-8.2901
4.3,525,230,0.0,0.0
4.4,547,233,0.0,0.0
4.5,570,237,0.0,0.0
4.6,135,127,39.3879,-8.2901
4.7,618,244,0.0,0.0
4.8,642,248,0.0,0.0
5.0,692,251,0.0,0.0
5.1,717,251,0.0,0.0
5.2,219,161,39.3879,-8.2901
5.4,792,246,0.0,0.0
5.5,268,177,39.3879,-8.2901
5.7,303,186,39.3879,-8.2901
5.8,321,191,39.3879,-8.2901
6.0,937,235,0.0,0.0
6.1,961,233,0.0,0.0
6.3,416,213,39.3879,-8.2901
6.4,1031,227,0.0,0.0
6.5,1054,226,0.0,0.0
6.6,478,225,39.3879,-8.2901
6.7,499,229,39.3879,-8.2901
6.8,521,232,39.3879,-8.2901
6.9,1144,218,0.0,0.0
7.0,566,240,39.3879,-8.2901
7.1,590,243,39.3879,-8.2901
7.2,1209,213,0.0,0.0
7.3,1231,211,0.0,0.0
7.4,1252,209,0.0,0.0
7.5,687,255,39.3879,-8.2901
7.8,762,252,39.3879,-8.2901
7.9,787,250,39.3879,-8.2901
8.0,1376,199,0.0,0.0
8.1,836,246,39.3879,-8.2901
8.2,1416,195,0.0,0.0
8.3,884,242,39.3879,-8.2901
8.4,1456,192,0.0,0.0
8.5,932,238,39.3879,-8.2901
8.6,956,236,39.3879,-8.2901
8.7,1513,187,0.0,0.0
8.8,1532,186,0.0,0.0
8.9,1551,184,0.0,0.0
9.1,1588,181,0.0,0.0
9.2,1606,179,0.0,0.0
9.3,1624,178,0.0,0.0
9.4,1137,220,39.3879,-8.2901
9.5,1159,218,39.3879,-8.2901
9.6,1678,173,0.0,0.0
9.7,1202,214,39.3879,-8.2901
9.8,1713,170,0.0,0.0
10.0,1266,209,39.3879,-8.2901
10.1,1764,166,0.0,0.0
10.2,1308,205,39.3879,-8.2901
10.3,1797,163,0.0,0.0
10.4,1349,201,39.3879,-8.2901
10.5,1370,200,39.3879,-8.2901
10.6,1390,198,39.3879,-8.2901
10.7,1862,157,0.0,0.0
10.9,1893,154,0.0,0.0
11.0,1909,153,0.0,0.0
11.1,1924,152,0.0,0.0
11.2,1506,187,39.3879,-8.2901
11.3,1954,149,0.0,0.0
11.6,1999,145,0.0,0.0
11.9,1634,176,39.3879,-8.2901
12.0,2056,140,0.0,0.0
12.1,2070,138,0.0,0.0
12.2,2084,137,0.0,0.0
12.5,1739,167,39.3879,-8.2901
12.6,2138,132,0.0,0.0
12.7,2151,130,0.0,0.0
12.9,2177,128,0.0,0.0
13.0,2190,127,0.0,0.0
13.1,2202,125,0.0,0.0
13.2,2214,124,0.0,0.0
13.3,2227,123,0.0,0.0
13.4,1886,154,39.3879,-8.2901
13.5,2251,120,0.0,0.0
13.7,2275,118,0.0,0.0
13.8,1947,149,39.3879,-8.2901
13.9,1962,147,39.3879,-8.2901
14.0,1976,146,39.3879,-8.2901
14.1,2321,113,0.0,0.0
14.2,2332,112,0.0,0.0
14.3,2343,110,0.0,0.0
14.5,2365,108,0.0,0.0
14.6,2062,138,39.3879,-8.2901
14.7,2387,106,0.0,0.0
14.8,2397,104,0.0,0.0
14.9,2104,134,39.3879,-8.2901
15.0,2117,132,39.3879,-8.2901
15.1,2428,101,0.0,0.0
15.2,2143,130,39.3879,-8.2901
15.3,2448,99,0.0,0.0
15.4,2458,97,0.0,0.0
15.5,2182,126,39.3879,-8.2901
15.6,2195,125,39.3879,-8.2901
16.0,2244,120,39.3879,-8.2901
16.1,2524,89,0.0,0.0
16.3,2541,87,0.0,0.0
16.4,2550,86,0.0,0.0
16.5,2559,85,0.0,0.0
16.6,2567,84,0.0,0.0
16.8,2584,82,0.0,0.0
16.9,2592,81,0.0,0.0
17.0,2358,107,39.3879,-8.2901
17.1,2608,78,0.0,0.0
17.2,2616,77,0.0,0.0
17.3,2624,76,0.0,0.0
17.4,2631,75,0.0,0.0
17.7,2653,72,0.0,0.0
17.9,2668,70,0.0,0.0
18.0,2461,96,39.3879,-8.2901
18.1,2471,95,39.3879,-8.2901
18.2,2689,67,0.0,0.0
18.3,2490,92,39.3879,-8.2901
18.5,2708,64,0.0,0.0
18.6,2715,63,0.0,0.0
18.7,2721,62,0.0,0.0
18.8,2536,87,39.3879,-8.2901
18.9,2733,60,0.0,0.0
19.0,2553,85,39.3879,-8.2901
19.1,2745,58,0.0,0.0
19.2,2570,83,39.3879,-8.2901
19.4,2762,55,0.0,0.0
19.6,2773,53,0.0,0.0
19.7,2611,77,39.3879,-8.2901
20.1,2799,48,0.0,0.0
20.2,2649,72,39.3879,-8.2901
20.3,2656,71,39.3879,-8.2901
20.4,2813,45,0.0,0.0
20.5,2817,44,0.0,0.0
20.6,2822,43,0.0,0.0
20.9,2698,65,39.3879,-8.2901
21.0,2838,39,0.0,0.0
21.1,2842,38,0.0,0.0
21.2,2846,37,0.0,0.0
21.3,2723,61,39.3879,-8.2901
21.4,2730,60,39.3879,-8.2901
21.5,2736,59,39.3879,-8.2901
21.6,2860,33,0.0,0.0
21.7,2864,32,0.0,0.0
21.8,2867,31,0.0,0.0
21.9,2870,30,0.0,0.0
22.0,2873,29,0.0,0.0
