ts,Ax,Ay,Az,Gx,Gy,Gz,T,P,velocity,q0_estimated,q1_estimated,q2_estimated,q3_estimated,filtered_altitude_AGL,filtered_acceleration
-0.76,,,,,,,,,0.294,,,,,,
-0.755,-0.0488,-0.5078,-0.0044,1.0504,-1.4706,-1.8207,35.3,100129.0,,,,,,,
-0.75,,,,,,,,,0.301,-6.646,7.259,-1.513,-0.911,0.65,-0.038
-0.745,-0.0518,-0.5073,-0.0073,1.0504,-1.3305,-1.8207,35.3,100137.0,,,,,,,
-0.74,,,,,,,,,0.308,-6.647,7.258,-1.513,-0.911,0.65,-0.038
-0.735,-0.0518,-0.5054,-0.0059,1.0504,-1.2605,-1.8207,35.3,100104.0,,,,,,,
-0.73,,,,,,,,,0.309,-6.647,7.258,-1.513,-0.912,0.4,-0.028
-0.725,-0.0474,-0.5054,-0.0049,1.0504,-1.3305,-1.8908,35.3,100111.0,,,,,,,
-0.72,,,,,,,,,0.316,-6.647,7.258,-1.512,-0.912,0.65,-0.028
-0.715,-0.0454,-0.5054,-0.0039,1.0504,-1.4706,-1.8207,35.3,100113.0,,,,,,,
-0.71,,,,,,,,,0.319,-6.647,7.258,-1.512,-0.912,0.48,-0.028
-0.705,-0.0469,-0.5068,-0.0049,1.0504,-1.5406,-1.8207,35.3,100111.0,,,,,,,
-0.7,,,,,,,,,0.318,-6.648,7.258,-1.512,-0.913,0.31,-0.028
-0.695,-0.0474,-0.5059,-0.0039,1.0504,-1.6106,-1.7507,35.3,100110.0,,,,,,,
-0.69,,,,,,,,,0.317,-6.648,7.257,-1.511,-0.913,0.31,-0.028
-0.685,-0.0488,-0.5073,-0.0054,1.1204,-1.6106,-1.7507,35.3,100110.0,,,,,,,
-0.68,,,,,,,,,0.32,-6.648,7.257,-1.511,-0.914,0.48,-0.028
-0.675,-0.0483,-0.5078,-0.0063,1.1204,-1.6807,-1.8207,35.3,100133.0,,,,,,,
-0.67,,,,,,,,,0.322,-6.649,7.257,-1.51,-0.914,0.48,-0.028
-0.665,-0.0474,-0.5073,-0.0039,1.1204,-1.6807,-1.8908,35.3,100122.0,,,,,,,
-0.66,,,,,,,,,0.325,-6.649,7.257,-1.51,-0.915,0.48,-0.028
-0.655,-0.0469,-0.5063,-0.0049,1.0504,-1.6106,-1.8207,35.2,100112.0,,,,,,,
-0.65,,,,,,,,,0.327,-6.649,7.256,-1.509,-0.915,0.48,-0.028
-0.645,-0.0464,-0.5049,-0.0063,1.1204,-1.6106,-1.8207,35.3,100124.0,,,,,,,
-0.64,,,,,,,,,0.329,-6.65,7.256,-1.509,-0.915,0.48,-0.038
-0.635,-0.0483,-0.5044,-0.0073,1.0504,-1.5406,-1.7507,35.2,100139.0,,,,,,,
-0.63,,,,,,,,,0.329,-6.65,7.256,-1.508,-0.916,0.39,-0.038
-0.625,-0.0527,-0.5063,-0.0068,1.0504,-1.5406,-1.7507,35.3,100122.0,,,,,,,
-0.62,,,,,,,,,0.327,-6.65,7.256,-1.508,-0.916,0.31,-0.038
-0.615,-0.0518,-0.5044,-0.0063,0.9804,-1.4706,-1.8207,35.3,100116.0,,,,,,,
-0.61,,,,,,,,,0.31,-6.65,7.256,-1.507,-0.917,-0.44,-0.038
-0.605,-0.0498,-0.5078,-0.0059,1.1204,-1.3305,-1.8207,35.3,100116.0,,,,,,,
-0.6,,,,,,,,,0.292,-6.651,7.255,-1.507,-0.917,-0.44,-0.038
-0.595,-0.0464,-0.5068,-0.0039,1.1204,-1.3305,-1.8207,35.3,100127.0,,,,,,,
-0.59,,,,,,,,,0.275,-6.651,7.255,-1.507,-0.918,-0.44,-0.038
-0.585,-0.0435,-0.5059,-0.0044,1.1204,-1.2605,-1.8908,35.3,100110.0,,,,,,,
-0.58,,,,,,,,,0.259,-6.651,7.255,-1.506,-0.918,-0.45,-0.038
-0.575,-0.0493,-0.5063,-0.0059,1.1204,-1.1905,-1.8207,35.3,100115.0,,,,,,,
-0.57,,,,,,,,,0.242,-6.651,7.255,-1.506,-0.918,-0.44,-0.038
