ts,Ax,Ay,Az,Gx,Gy,Gz,T,P,velocity,q0_estimated,q1_estimated,q2_estimated,q3_estimated,filtered_altitude_AGL,filtered_acceleration
-0.76,,,,,,,,,0.239,,,,,,
-0.755,-0.0186,-0.4951,-0.0361,-0.5602,-1.8908,-0.5602,38.0,100045.0,,,,,,,
-0.75,,,,,,,,,0.233,-7.712,-5.854,1.237,2.169,-0.03,-0.217
-0.745,-0.021,-0.498,-0.0381,-0.5602,-1.6807,-0.5602,38.0,100045.0,,,,,,,
-0.74,,,,,,,,,0.231,-7.712,-5.854,1.238,2.17,0.14,-0.227
-0.735,-0.02,-0.4961,-0.0425,-0.4902,-1.6106,-0.6303,38.0,100049.0,,,,,,,
-0.73,,,,,,,,,0.229,-7.712,-5.854,1.239,2.17,0.14,-0.217
-0.725,-0.0171,-0.4961,-0.042,-0.4902,-1.6807,-0.6303,38.0,100048.0,,,,,,,
-0.72,,,,,,,,,0.223,-7.712,-5.853,1.239,2.171,-0.03,-0.217
-0.715,-0.0156,-0.4956,-0.0352,-0.4902,-1.8908,-0.5602,38.0,100017.0,,,,,,,
-0.71,,,,,,,,,0.218,-7.712,-5.853,1.239,2.171,-0.03,-0.217
-0.705,-0.0161,-0.4966,-0.0308,-0.4902,-1.9608,-0.6303,38.0,100055.0,,,,,,,
-0.7,,,,,,,,,0.216,-7.712,-5.853,1.24,2.172,0.14,-0.217
-0.695,-0.0156,-0.498,-0.0337,-0.5602,-1.9608,-0.5602,38.0,100014.0,,,,,,,
-0.69,,,,,,,,,0.214,-7.712,-5.853,1.241,2.172,0.14,-0.217
-0.685,-0.0156,-0.4956,-0.0366,-0.6303,-2.0308,-0.5602,38.0,100032.0,,,,,,,
-0.68,,,,,,,,,0.212,-7.712,-5.852,1.241,2.173,0.14,-0.217
-0.675,-0.02,-0.4956,-0.0391,-0.6303,-1.9608,-0.5602,38.0,100034.0,,,,,,,
-0.67,,,,,,,,,0.21,-7.712,-5.852,1.242,2.174,0.14,-0.217
-0.665,-0.0181,-0.4951,-0.0371,-0.5602,-2.0308,-0.5602,38.0,100040.0,,,,,,,
-0.66,,,,,,,,,0.208,-7.712,-5.852,1.243,2.174,0.14,-0.217
-0.655,-0.0195,-0.4961,-0.0347,-0.4902,-1.9608,-0.5602,38.0,100049.0,,,,,,,
-0.65,,,,,,,,,0.214,-7.712,-5.851,1.243,2.175,0.55,-0.217
-0.645,-0.0166,-0.4966,-0.0327,-0.4902,-1.9608,-0.5602,38.0,100050.0,,,,,,,
-0.64,,,,,,,,,0.221,-7.711,-5.851,1.244,2.176,0.55,-0.217
-0.635,-0.0156,-0.4956,-0.0352,-0.5602,-1.9608,-0.5602,38.0,100044.0,,,,,,,
-0.63,,,,,,,,,0.227,-7.711,-5.851,1.245,2.176,0.55,-0.217
-0.625,-0.0176,-0.4956,-0.0396,-0.6303,-1.9608,-0.6303,37.9,100008.0,,,,,,,
-0.62,,,,,,,,,0.233,-7.711,-5.85,1.245,2.177,0.55,-0.227
-0.615,-0.0195,-0.4951,-0.0449,-0.5602,-1.8207,-0.5602,37.9,100036.0,,,,,,,
-0.61,,,,,,,,,0.239,-7.711,-5.85,1.246,2.178,0.55,-0.227
-0.605,-0.0176,-0.4966,-0.0396,-0.4902,-1.7507,-0.5602,38.0,100039.0,,,,,,,
-0.6,,,,,,,,,0.251,-7.711,-5.85,1.246,2.178,0.88,-0.227
-0.595,-0.0176,-0.4951,-0.0327,-0.4202,-1.7507,-0.4902,38.0,100048.0,,,,,,,
