ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated
-0.75,-0.6646,0.7259,-0.1513,-0.0911
-0.74,-0.6647,0.7258,-0.1513,-0.0911
-0.73,-0.6647,0.7258,-0.1513,-0.0912
-0.72,-0.6647,0.7258,-0.1512,-0.0912
-0.71,-0.6647,0.7258,-0.1512,-0.0912
-0.7,-0.6648,0.7258,-0.1512,-0.0913
-0.69,-0.6648,0.7257,-0.1511,-0.0913
-0.68,-0.6648,0.7257,-0.1511,-0.0914
-0.67,-0.6649,0.7257,-0.151,-0.0914
-0.66,-0.6649,0.7257,-0.151,-0.0915
-0.65,-0.6649,0.7256,-0.1509,-0.0915
-0.64,-0.665,0.7256,-0.1509,-0.0915
-0.63,-0.665,0.7256,-0.1508,-0.0916
-0.62,-0.665,0.7256,-0.1508,-0.0916
-0.61,-0.665,0.7256,-0.1507,-0.0917
-0.6,-0.6651,0.7255,-0.1507,-0.0917
-0.59,-0.6651,0.7255,-0.1507,-0.0918
-0.58,-0.6651,0.7255,-0.1506,-0.0918
-0.57,-0.6651,0.7255,-0.1506,-0.0918
-0.56,-0.6652,0.7255,-0.1506,-0.0918
-0.55,-0.6652,0.7254,-0.1505,-0.0918
-0.54,-0.6652,0.7254,-0.1505,-0.0918
-0.53,-0.6652,0.7254,-0.1506,-0.0918
-0.52,-0.6653,0.7254,-0.1506,-0.0918
-0.51,-0.6653,0.7254,-0.1506,-0.0917
-0.5,-0.6653,0.7254,-0.1506,-0.0917
-0.49,-0.6653,0.7254,-0.1507,-0.0916
-0.48,-0.6653,0.7253,-0.1507,-0.0916
-0.47,-0.6653,0.7253,-0.1507,-0.0916
-0.46,-0.6653,0.7253,-0.1507,-0.0915
-0.45,-0.6653,0.7253,-0.1508,-0.0915
-0.44,-0.6653,0.7253,-0.1508,-0.0915
-0.43,-0.6654,0.7253,-0.1508,-0.0914
-0.42,-0.6654,0.7253,-0.1509,-0.0914
-0.41,-0.6654,0.7253,-0.1509,-0.0913
-0.4,-0.6654,0.7252,-0.1509,-0.0913
-0.39,-0.6654,0.7252,-0.151,-0.0912
-0.38,-0.6654,0.7252,-0.151,-0.0912
-0.37,-0.6654,0.7252,-0.1511,-0.0911
-0.36,-0.6654,0.7252,-0.1512,-0.091
-0.35,-0.6654,0.7252,-0.1512,-0.0909
-0.34,-0.6654,0.7252,-0.1513,-0.0908
-0.33,-0.6654,0.7252,-0.1513,-0.0907
-0.32,-0.6654,0.7252,-0.1514,-0.0907
-0.31,-0.6654,0.7252,-0.1514,-0.0906
-0.3,-0.6654,0.7252,-0.1515,-0.0905
-0.29,-0.6654,0.7252,-0.1515,-0.0905
-0.28,-0.6654,0.7252,-0.1516,-0.0904
-0.27,-0.6654,0.7252,-0.1516,-0.0904
-0.26,-0.6655,0.7252,-0.1516,-0.0903
-0.25,-0.6655,0.7251,-0.1516,-0.0903
-0.24,-0.6655,0.7251,-0.1516,-0.0903
-0.23,-0.6655,0.7251,-0.1516,-0.0903
-0.22,-0.6656,0.7251,-0.1515,-0.0904
-0.21,-0.6656,0.725,-0.1514,-0.0905
-0.2,-0.6657,0.725,-0.1513,-0.0906
-0.19,-0.6656,0.725,-0.1512,-0.0908
-0.18,-0.6657,0.725,-0.151,-0.0911
-0.17,-0.6656,0.7251,-0.151,-0.0913
-0.16,-0.6655,0.7251,-0.151,-0.0914
-0.15,-0.6654,0.7252,-0.1514,-0.0911
-0.14,-0.6653,0.7252,-0.1522,-0.0904
-0.13,-0.6651,0.7253,-0.153,-0.0895
-0.12,-0.665,0.7253,-0.154,-0.0883
-0.11,-0.665,0.7253,-0.1547,-0.0872
-0.1,-0.6649,0.7254,-0.1554,-0.0863
-0.09,-0.6648,0.7254,-0.1561,-0.0853
-0.08,-0.6647,0.7254,-0.1568,-0.0842
-0.07,-0.6646,0.7255,-0.1576,-0.083
-0.06,-0.6644,0.7256,-0.1584,-0.0819
-0.05,-0.6643,0.7257,-0.1591,-0.0809
-0.04,-0.6642,0.7258,-0.1595,-0.0803
-0.03,-0.6641,0.7258,-0.1601,-0.0799
-0.02,-0.6639,0.7259,-0.1608,-0.0793
-0.01,-0.6637,0.726,-0.1619,-0.0782
0.0,-0.6634,0.7261,-0.1631,-0.077
0.01,0.9999,-0.0001,0.0017,0.0
0.02,0.9999,-0.0001,0.0032,0.0
0.03,0.9999,0.0,0.0041,-0.0001
0.04,0.9999,0.0,0.005,-0.0003
0.05,0.9999,0.0,0.0059,-0.0004
0.06,0.9999,0.0,0.0066,-0.0006
0.07,0.9999,0.0001,0.0075,-0.0007
0.08,0.9999,0.0002,0.0085,-0.0008
0.09,0.9999,0.0004,0.0095,-0.001
0.1,0.9999,0.0006,0.01,-0.0011
0.11,0.9999,0.0007,0.0097,-0.0013
0.12,0.9999,0.0008,0.0091,-0.0015
0.13,0.9999,0.0009,0.0076,-0.0018
0.14,0.9999,0.001,0.0055,-0.0021
0.15,0.9999,0.001,0.0037,-0.0024
0.16,0.9999,0.001,0.0026,-0.0026
0.17,0.9999,0.001,0.0016,-0.0028
0.18,0.9999,0.0012,0.0005,-0.0029
0.19,0.9999,0.0013,-0.0008,-0.0031
0.2,0.9999,0.0015,-0.002,-0.0033
0.21,0.9999,0.0017,-0.0036,-0.0034
0.22,0.9999,0.0016,-0.0059,-0.0034
0.23,0.9999,0.0014,-0.0081,-0.0032
0.24,0.9999,0.0014,-0.0098,-0.003
0.25,0.9999,0.0013,-0.0116,-0.0029
0.26,0.9998,0.0014,-0.0142,-0.0028
0.27,0.9998,0.0017,-0.0175,-0.0027
0.28,0.9997,0.0019,-0.0208,-0.0026
0.29,0.9997,0.002,-0.0236,-0.0024
0.3,0.9996,0.0021,-0.0271,-0.0023
0.31,0.9995,0.0023,-0.0311,-0.0022
0.32,0.9993,0.0026,-0.0357,-0.0023
0.33,0.9991,0.003,-0.0399,-0.0025
0.34,0.999,0.0035,-0.0427,-0.0026
0.35,0.9989,0.0039,-0.0452,-0.0027
0.36,0.9988,0.0042,-0.0483,-0.0027
0.37,0.9986,0.0044,-0.0512,-0.0026
0.38,0.9985,0.0044,-0.0544,-0.0025
0.39,0.9982,0.0045,-0.0583,-0.0025
0.4,0.998,0.0044,-0.0617,-0.0025
0.41,0.9978,0.0043,-0.0647,-0.0026
