ts,voltage
-0.72,7.893
0.28,7.86
1.28,7.851
2.28,7.835
3.28,7.826
4.28,7.835
5.28,7.851
6.28,7.835
7.28,7.843
8.28,7.81
9.28,7.851
10.28,7.893
11.28,7.893
12.28,7.876
13.28,7.876
14.28,7.893
15.28,7.893
16.28,7.893
17.28,7.893
18.28,7.884
19.28,7.926
20.28,7.893
21.28,7.876
22.28,7.917
23.28,7.884
24.28,7.959
25.28,7.901
26.28,7.901
27.28,7.934
28.28,7.926
29.28,7.884
30.28,7.843
31.28,7.818
32.28,7.835
33.28,7.835
34.28,7.81
35.28,7.826
36.28,7.818
37.28,7.818
38.28,7.826
39.28,7.851
40.28,7.876
41.28,7.893
42.28,7.901
43.28,7.901
44.28,7.893
45.28,7.86
46.28,7.901
47.28,7.868
48.28,7.851
49.28,7.893
50.28,7.884
51.28,7.876
52.28,7.86
53.28,7.884
54.28,7.917
55.28,7.884
56.28,7.917
57.28,7.884
58.28,7.876
59.28,7.851
60.28,7.835
61.28,7.826
62.28,7.818
63.28,7.826
64.28,7.81
65.28,7.81
66.28,7.81
67.28,7.843
68.28,7.843
69.28,7.86
70.28,7.884
71.28,7.868
72.28,7.884
73.28,7.876
74.28,7.893
75.28,7.884
76.28,7.884
77.28,7.893
78.28,7.884
79.28,7.876
80.28,7.868
81.28,7.86
82.28,7.967
83.28,7.884
84.28,7.926
85.28,7.909
86.28,7.868
87.28,7.909
88.28,7.851
89.28,7.835
90.28,7.826
91.28,7.826
92.28,7.818
93.28,7.802
94.28,7.826
95.28,7.81
96.28,7.793
97.28,7.843
98.28,7.876
99.28,7.884
100.28,7.884
101.28,7.868
102.28,7.851
103.28,7.901
104.28,7.901
105.28,7.851
106.28,7.86
107.28,7.876
108.28,7.884
109.28,7.884
110.28,7.909
111.28,7.942
112.28,7.86
113.28,7.917
114.28,7.851
115.28,7.901
116.28,7.901
117.28,7.843
118.28,7.835
119.28,7.835
120.28,7.81
121.28,7.818
122.28,7.826
123.28,7.802
124.28,7.81
125.28,7.777
126.28,7.818
127.28,7.868
128.28,7.851
129.28,7.893
130.28,7.851
131.28,7.909
132.28,7.727
133.28,7.876
134.28,7.884
135.28,7.86
136.28,7.851
137.28,7.843
138.28,7.86
139.28,7.876
140.28,7.868
141.28,7.909
142.28,7.86
143.28,7.884
144.28,7.893
145.28,7.893
146.28,7.851
147.28,7.843
148.28,7.81
149.28,7.843
150.28,7.818
151.28,7.835
152.28,7.818
153.28,7.818
154.28,7.785
155.28,7.826
156.28,7.835
157.28,7.868
158.28,7.868
159.28,7.851
160.28,7.86
161.28,7.851
162.28,7.868
163.28,7.893
164.28,7.86
165.28,7.876
166.28,7.884
167.28,7.901
168.28,7.86
169.28,7.893
170.28,7.893
171.28,7.86
172.28,7.884
173.28,7.843
174.28,7.984
175.28,7.868
176.28,7.843
177.28,7.843
178.28,7.843
179.28,7.818
180.28,7.818
181.28,7.835
182.28,7.818
183.28,7.793
184.28,7.826
185.28,7.851
186.28,7.868
