ts,id,T,P
-0.755,BARO0,37.96,100045
-0.745,BARO0,37.96,100045
-0.735,BARO0,37.95,100049
-0.725,BARO0,37.95,100048
-0.715,BARO0,37.95,100017
-0.705,BARO0,37.97,100055
-0.695,BARO0,37.95,100014
-0.685,BARO0,37.96,100032
-0.675,BARO0,37.96,100034
-0.665,BARO0,37.95,100040
-0.655,BARO0,37.96,100049
-0.645,BARO0,37.96,100050
-0.635,BARO0,37.95,100044
-0.625,BARO0,37.94,100008
-0.615,BARO0,37.94,100036
-0.605,BARO0,37.96,100039
-0.595,BARO0,37.97,100048
-0.585,BARO0,37.97,100038
-0.575,BARO0,37.95,100041
-0.565,BARO0,37.95,99999
-0.555,BARO0,37.96,100032
-0.545,BARO0,37.96,100051
-0.535,BARO0,37.96,100044
-0.525,BARO0,37.96,100057
-0.515,BARO0,37.95,100038
-0.505,BARO0,37.94,100047
-0.495,BARO0,37.96,100044
-0.485,BARO0,37.96,100053
-0.475,BARO0,37.95,100040
-0.465,BARO0,37.97,100039
-0.455,BARO0,37.96,100045
-0.445,BARO0,37.96,100042
-0.435,BARO0,37.95,100052
-0.425,BARO0,37.95,100047
-0.415,BARO0,37.97,100035
-0.405,BARO0,37.96,100047
-0.395,BARO0,37.96,100043
-0.385,BARO0,37.98,100060
-0.375,BARO0,37.95,100033
-0.365,BARO0,37.96,100056
-0.355,BARO0,37.96,100050
-0.345,BARO0,37.95,100053
-0.335,BARO0,37.96,100041
-0.325,BARO0,37.95,100053
-0.315,BARO0,37.97,100044
-0.305,BARO0,37.95,100031
-0.295,BARO0,37.97,100056
-0.285,BARO0,37.97,100057
-0.275,BARO0,37.97,100051
-0.265,BARO0,37.97,100041
-0.255,BARO0,37.96,100048
-0.245,BARO0,37.95,100038
-0.235,BARO0,37.96,100057
-0.225,BARO0,37.95,100023
-0.215,BARO0,37.96,100032
-0.205,BARO0,37.97,100023
-0.195,BARO0,37.96,99973
-0.185,BARO0,37.97,99960
-0.175,BARO0,37.96,99958
-0.165,BARO0,37.96,99919
-0.155,BARO0,37.96,99945
-0.145,BARO0,37.95,99957
-0.135,BARO0,37.96,99988
-0.125,BARO0,37.97,99985
-0.115,BARO0,37.94,100023
-0.105,BARO0,37.95,99973
-0.095,BARO0,37.97,99982
-0.085,BARO0,37.97,99974
-0.075,BARO0,37.96,99961
-0.065,BARO0,37.96,99965
-0.055,BARO0,37.95,99959
-0.045,BARO0,37.96,99946
-0.035,BARO0,37.95,99956
-0.025,BARO0,37.94,99915
-0.015,BARO0,37.95,99902
-0.005,BARO0,37.96,99889
0.005,BARO0,37.94,99901
0.015,BARO0,37.95,99888
0.025,BARO0,37.95,99944
0.035,BARO0,37.95,99970
0.045,BARO0,37.95,100000
0.055,BARO0,37.95,100025
0.065,BARO0,37.95,100053
0.075,BARO0,37.96,100064
0.085,BARO0,37.95,100035
0.095,BARO0,37.95,100007
0.105,BARO0,37.96,99995
0.115,BARO0,37.95,100009
0.125,BARO0,37.95,100001
0.135,BARO0,37.95,99991
0.145,BARO0,37.96,99965
0.155,BARO0,37.94,99977
0.165,BARO0,37.95,99953
0.175,BARO0,37.94,99917
0.185,BARO0,37.93,99960
0.195,BARO0,37.95,100003
0.205,BARO0,37.96,99945
0.215,BARO0,37.92,99988
0.225,BARO0,37.96,99993
0.235,BARO0,37.96,99971
0.245,BARO0,37.94,99982
0.255,BARO0,37.94,99979
0.265,BARO0,37.94,99986
0.275,BARO0,37.96,99954
0.285,BARO0,37.95,99936
0.295,BARO0,37.95,99978
0.305,BARO0,37.95,99969
0.315,BARO0,37.94,99974
0.325,BARO0,37.95,99928
0.335,BARO0,37.95,99950
0.345,BARO0,37.94,99953
0.355,BARO0,37.94,99954
0.365,BARO0,37.95,99958
0.375,BARO0,37.96,99926
0.385,BARO0,37.97,99943
0.395,BARO0,37.96,99947
0.405,BARO0,37.93,99903
0.415,BARO0,37.95,99932
0.425,BARO0,37.92,99925
0.435,BARO0,37.97,99928
0.445,BARO0,37.93,99923
0.455,BARO0,37.94,99898
0.465,BARO0,37.94,99877
0.475,BARO0,37.93,99878
0.485,BARO0,37.95,99908
0.495,BARO0,37.92,99874
0.505,BARO0,37.94,99858
0.515,BARO0,37.92,99858
0.525,BARO0,37.92,99883
0.535,BARO0,37.94,99879
0.545,BARO0,37.93,99867
0.555,BARO0,37.93,99869
0.565,BARO0,37.93,99823
0.575,BARO0,37.91,99873
0.585,BARO0,37.95,99850
0.595,BARO0,37.94,99839
0.605,BARO0,37.93,99836
0.615,BARO0,37.94,99873
0.625,BARO0,37.94,99823
0.635,BARO0,37.92,99838
0.645,BARO0,37.92,99834
0.655,BARO0,37.92,99831
0.665,BARO0,37.92,99829
0.675,BARO0,37.95,99828
0.685,BARO0,37.92,99809
0.695,BARO0,37.89,99815
0.705,BARO0,37.95,99812
0.715,BARO0,37.94,99797
0.725,BARO0,37.93,99820
0.735,BARO0,37.93,99798
0.745,BARO0,37.92,99792
0.755,BARO0,37.91,99796
0.765,BARO0,37.92,99781
0.775,BARO0,37.9,99760
0.785,BARO0,37.94,99801
0.795,BARO0,37.93,99796
0.805,BARO0,37.92,99768
0.815,BARO0,37.91,99745
0.825,BARO0,37.91,99733
0.835,BARO0,37.92,99736
0.845,BARO0,37.91,99729
0.855,BARO0,37.92,99728
0.865,BARO0,37.91,99721
0.875,BARO0,37.92,99713
0.885,BARO0,37.91,99702
0.895,BARO0,37.91,99706
0.905,BARO0,37.91,99689
0.915,BARO0,37.92,99662
0.925,BARO0,37.92,99658
0.935,BARO0,37.92,99681
0.945,BARO0,37.91,99667
0.955,BARO0,37.9,99651
0.965,BARO0,37.91,99661
0.975,BARO0,37.91,99622
0.985,BARO0,37.9,99661
0.995,BARO0,37.89,99650
1.005,BARO0,37.91,99601
1.015,BARO0,37.91,99593
1.025,BARO0,37.9,99583
1.035,BARO0,37.92,99595
1.045,BARO0,37.91,99579
1.055,BARO0,37.91,99582
1.065,BARO0,37.91,99577
1.075,BARO0,37.91,99553
1.085,BARO0,37.91,99560
1.095,BARO0,37.92,99564
1.105,BARO0,37.91,99529
1.115,BARO0,37.88,99505
1.125,BARO0,37.9,99541
1.135,BARO0,37.9,99511
1.145,BARO0,37.9,99484
1.155,BARO0,37.9,99489
1.165,BARO0,37.91,99532
1.175,BARO0,37.9,99465
1.185,BARO0,37.91,99466
1.195,BARO0,37.89,99451
1.205,BARO0,37.88,99483
1.215,BARO0,37.91,99443
1.225,BARO0,37.91,99429
1.235,BARO0,37.88,99435
1.245,BARO0,37.89,99422
1.255,BARO0,37.89,99418
1.265,BARO0,37.9,99393
1.275,BARO0,37.89,99419
1.285,BARO0,37.89,99418
1.295,BARO0,37.89,99402
1.305,BARO0,37.91,99388
1.315,BARO0,37.9,99369
1.325,BARO0,37.89,99353
1.335,BARO0,37.89,99384
1.345,BARO0,37.88,99358
1.355,BARO0,37.89,99356
1.365,BARO0,37.9,99322
1.375,BARO0,37.89,99338
1.385,BARO0,37.91,99338
1.395,BARO0,37.91,99332
1.405,BARO0,37.87,99302
1.415,BARO0,37.9,99303
1.425,BARO0,37.9,99271
1.435,BARO0,37.87,99263
1.445,BARO0,37.89,99270
1.455,BARO0,37.89,99248
1.465,BARO0,37.88,99234
1.475,BARO0,37.9,99251
1.485,BARO0,37.89,99230
1.495,BARO0,37.88,99208
1.505,BARO0,37.89,99191
1.515,BARO0,37.89,99159
1.525,BARO0,37.9,99186
1.535,BARO0,37.87,99178
1.545,BARO0,37.89,99175
1.555,BARO0,37.89,99155
1.565,BARO0,37.89,99127
1.575,BARO0,37.89,99127
1.585,BARO0,37.89,99092
1.595,BARO0,37.88,99082
1.605,BARO0,37.89,99062
1.615,BARO0,37.9,99067
1.625,BARO0,37.9,99074
1.635,BARO0,37.91,99061
1.645,BARO0,37.89,99045
1.655,BARO0,37.89,99035
1.665,BARO0,37.89,99010
1.675,BARO0,37.89,99007
1.685,BARO0,37.88,98999
1.695,BARO0,37.87,99002
1.705,BARO0,37.89,98974
1.715,BARO0,37.88,98976
1.725,BARO0,37.9,98953
1.735,BARO0,37.89,98934
1.745,BARO0,37.88,98936
1.755,BARO0,37.89,98929
1.765,BARO0,37.88,98891
1.775,BARO0,37.86,98913
1.785,BARO0,37.9,98891
1.795,BARO0,37.86,98870
1.805,BARO0,37.89,98863
1.815,BARO0,37.86,98866
1.825,BARO0,37.87,98870
1.835,BARO0,37.89,98844
1.845,BARO0,37.88,98833
1.855,BARO0,37.89,98820
1.865,BARO0,37.88,98784
1.875,BARO0,37.88,98787
1.885,BARO0,37.87,98808
1.895,BARO0,37.87,98758
1.905,BARO0,37.88,98764
1.915,BARO0,37.89,98774
1.925,BARO0,37.91,98720
1.935,BARO0,37.87,98722
1.945,BARO0,37.88,98721
1.955,BARO0,37.87,98712
1.965,BARO0,37.88,98691
1.975,BARO0,37.87,98700
1.985,BARO0,37.87,98673
1.995,BARO0,37.89,98655
2.005,BARO0,37.87,98675
2.015,BARO0,37.89,98654
2.025,BARO0,37.89,98612
2.035,BARO0,37.88,98624
2.045,BARO0,37.88,98592
2.055,BARO0,37.87,98592
2.065,BARO0,37.87,98577
2.075,BARO0,37.89,98576
2.085,BARO0,37.88,98567
2.095,BARO0,37.89,98555
2.105,BARO0,37.89,98526
2.115,BARO0,37.87,98536
2.125,BARO0,37.88,98525
2.135,BARO0,37.87,98489
2.145,BARO0,37.88,98489
2.155,BARO0,37.88,98465
2.165,BARO0,37.87,98449
2.175,BARO0,37.9,98440
2.185,BARO0,37.88,98429
2.195,BARO0,37.87,98408
2.205,BARO0,37.87,98436
2.215,BARO0,37.85,98400
2.225,BARO0,37.87,98384
2.235,BARO0,37.87,98362
2.245,BARO0,37.86,98347
2.255,BARO0,37.86,98352
2.265,BARO0,37.86,98334
2.275,BARO0,37.84,98322
2.285,BARO0,37.86,98309
2.295,BARO0,37.89,98301
2.305,BARO0,37.85,98299
2.315,BARO0,37.85,98298
2.325,BARO0,37.86,98286
2.335,BARO0,37.87,98296
2.345,BARO0,37.86,98280
2.355,BARO0,37.87,98280
2.365,BARO0,37.87,98297
2.375,BARO0,37.88,98258
2.385,BARO0,37.88,98258
2.395,BARO0,37.88,98227
2.405,BARO0,37.86,98259
2.415,BARO0,37.86,98262
2.425,BARO0,37.87,98249
2.435,BARO0,37.87,98230
2.445,BARO0,37.87,98216
2.455,BARO0,37.87,98206
2.465,BARO0,37.86,98217
2.475,BARO0,37.88,98214
2.485,BARO0,37.85,98182
2.495,BARO0,37.83,98191
2.505,BARO0,37.86,98181
2.515,BARO0,37.85,98191
2.525,BARO0,37.86,98154
2.535,BARO0,37.85,98149
2.545,BARO0,37.85,98133
2.555,BARO0,37.86,98131
2.565,BARO0,37.86,98125
2.575,BARO0,37.87,98136
2.585,BARO0,37.85,98095
2.595,BARO0,37.87,98086
2.605,BARO0,37.87,98068
2.615,BARO0,37.84,98063
2.625,BARO0,37.86,98063
2.635,BARO0,37.86,98047
2.645,BARO0,37.86,98018
2.655,BARO0,37.86,97996
2.665,BARO0,37.88,97993
2.675,BARO0,37.88,97999
2.685,BARO0,37.87,97975
2.695,BARO0,37.85,97922
2.705,BARO0,37.86,97936
2.715,BARO0,37.86,97930
2.725,BARO0,37.86,97929
2.735,BARO0,37.86,97919
2.745,BARO0,37.86,97887
2.755,BARO0,37.87,97901
2.765,BARO0,37.86,97883
2.775,BARO0,37.87,97876
2.785,BARO0,37.88,97858
2.795,BARO0,37.87,97863
2.805,BARO0,37.85,97829
2.815,BARO0,37.86,97805
2.825,BARO0,37.85,97787
2.835,BARO0,37.85,97805
2.845,BARO0,37.86,97786
2.855,BARO0,37.86,97761
2.865,BARO0,37.86,97738
2.875,BARO0,37.84,97766
2.885,BARO0,37.86,97714
2.895,BARO0,37.86,97743
2.905,BARO0,37.86,97707
2.915,BARO0,37.85,97698
2.925,BARO0,37.86,97663
2.935,BARO0,37.86,97653
2.945,BARO0,37.86,97632
2.955,BARO0,37.86,97629
2.965,BARO0,37.88,97598
2.975,BARO0,37.88,97615
2.985,BARO0,37.83,97572
2.995,BARO0,37.88,97546
3.005,BARO0,37.86,97539
3.015,BARO0,37.86,97543
3.025,BARO0,37.84,97511
3.035,BARO0,37.86,97511
3.045,BARO0,37.86,97495
3.055,BARO0,37.85,97480
3.065,BARO0,37.86,97473
3.075,BARO0,37.85,97439
3.085,BARO0,37.86,97451
3.095,BARO0,37.85,97406
3.105,BARO0,37.85,97409
3.115,BARO0,37.86,97392
3.125,BARO0,37.86,97354
3.135,BARO0,37.85,97372
3.145,BARO0,37.85,97351
3.155,BARO0,37.85,97360
3.165,BARO0,37.85,97340
3.175,BARO0,37.86,97359
3.185,BARO0,37.86,97372
3.195,BARO0,37.85,97377
3.205,BARO0,37.84,97348
3.215,BARO0,37.86,97366
3.225,BARO0,37.85,97345
3.235,BARO0,37.85,97343
3.245,BARO0,37.85,97357
3.255,BARO0,37.86,97339
3.265,BARO0,37.84,97307
3.275,BARO0,37.83,97360
3.285,BARO0,37.85,97323
3.295,BARO0,37.86,97318
3.305,BARO0,37.86,97322
3.315,BARO0,37.86,97301
3.325,BARO0,37.85,97304
3.335,BARO0,37.85,97283
3.345,BARO0,37.85,97275
3.355,BARO0,37.85,97251
3.365,BARO0,37.84,97257
3.375,BARO0,37.84,97204
3.385,BARO0,37.85,97218
3.395,BARO0,37.83,97192
3.405,BARO0,37.84,97200
3.415,BARO0,37.85,97147
3.425,BARO0,37.82,97125
3.435,BARO0,37.85,97143
3.445,BARO0,37.84,97109
3.455,BARO0,37.84,97103
3.465,BARO0,37.86,97101
3.475,BARO0,37.86,97047
3.485,BARO0,37.86,97060
3.495,BARO0,37.86,97022
3.505,BARO0,37.86,97014
3.515,BARO0,37.85,96979
3.525,BARO0,37.86,96951
3.535,BARO0,37.85,96949
3.545,BARO0,37.84,96933
