ts,latitude,longitude,satellites
42.17,39.38622283935547,-8.273818016052246,0
42.37,39.38625717163086,-8.273797035217285,3
42.57,39.38628387451172,-8.273792266845703,3
42.77,39.38631820678711,-8.273783683776855,3
43.17,39.38636779785156,-8.27376651763916,3
43.37,39.38638687133789,-8.273771286010742,3
43.57,39.38639831542969,-8.273788452148438,4
43.77,39.386409759521484,-8.273797988891602,3
44.17,39.386436462402344,-8.273805618286133,3
44.37,39.38644790649414,-8.273812294006348,3
44.57,39.38645553588867,-8.273821830749512,3
44.77,39.3864631652832,-8.27383041381836,3
45.17,39.386470794677734,-8.273809432983398,3
45.37,39.386470794677734,-8.27379322052002,3
45.57,39.386474609375,-8.273778915405273,3
45.77,39.386478424072266,-8.273777961730957,3
46.07,39.38648223876953,-8.273750305175781,3
46.17,39.3864860534668,-8.273733139038086,4
46.37,39.3864860534668,-8.273723602294922,3
46.57,39.38648223876953,-8.273716926574707,3
46.77,39.38649368286133,-8.273710250854492,3
46.97,39.38650131225586,-8.273707389831543,3
47.17,39.386512756347656,-8.273703575134277,3
47.37,39.38652038574219,-8.273699760437012,3
47.57,39.386531829833984,-8.273695945739746,3
47.77,39.38655090332031,-8.273694038391113,3
47.97,39.386566162109375,-8.273694038391113,3
48.17,39.38658142089844,-8.273688316345215,3
48.37,39.3865966796875,-8.273680686950684,3
48.57,39.38661575317383,-8.273675918579102,3
48.77,39.38662338256836,-8.273675918579102,3
48.97,39.386634826660156,-8.273674964904785,3
49.17,39.38663864135742,-8.273675918579102,3
49.37,39.38664627075195,-8.27367877960205,3
49.57,39.38665771484375,-8.273677825927734,3
49.77,39.38666534423828,-8.273679733276367,3
50.37,39.38669204711914,-8.273680686950684,4
50.57,39.38669967651367,-8.273693084716797,4
50.77,39.38671875,-8.273703575134277,4
51.17,39.386756896972656,-8.273717880249023,4
51.37,39.38677215576172,-8.273719787597656,4
51.57,39.38678741455078,-8.273722648620605,4
51.77,39.386810302734375,-8.273727416992188,4
51.97,39.38682174682617,-8.273733139038086,4
52.17,39.386837005615234,-8.273738861083984,4
52.37,39.3868522644043,-8.2737455368042,3
52.57,39.386871337890625,-8.27375316619873,3
52.77,39.38689041137695,-8.273758888244629,3
53.17,39.386924743652344,-8.27375316619873,3
53.37,39.38694381713867,-8.273738861083984,3
53.57,39.386966705322266,-8.273724555969238,3
53.77,39.386985778808594,-8.273713111877441,3
54.37,39.38705062866211,-8.273689270019531,4
54.57,39.38706970214844,-8.27369499206543,4
54.77,39.387081146240234,-8.273720741271973,5
55.17,39.3870849609375,-8.273717880249023,4
55.37,39.38706970214844,-8.273764610290527,0
55.57,39.3870964050293,-8.273754119873047,3
55.77,39.3870964050293,-8.273754119873047,4
59.17,39.3870964050293,-8.273754119873047,5
60.57,39.38800048828125,-8.285588264465332,5
60.77,39.38802719116211,-8.28555965423584,5
61.17,39.38805389404297,-8.285510063171387,4
61.37,39.388065338134766,-8.285483360290527,5
61.57,39.38807678222656,-8.285457611083984,5
61.77,39.388092041015625,-8.285438537597656,4
62.37,39.38813781738281,-8.285416603088379,4
62.57,39.388160705566406,-8.285417556762695,4
62.77,39.38818359375,-8.285416603088379,4
63.17,39.388240814208984,-8.285381317138672,4
63.37,39.388275146484375,-8.285368919372559,4
63.57,39.388309478759766,-8.285354614257812,6
63.77,39.388343811035156,-8.285346031188965,6
63.87,39.388343811035156,-8.285346031188965,5
64.17,39.388404846191406,-8.28532886505127,5
64.37,39.38841247558594,-8.285324096679688,5
64.57,39.388427734375,-8.285306930541992,6
64.77,39.3884391784668,-8.285290718078613,6
64.97,39.38845443725586,-8.285282135009766,6
