ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated
-0.75,-7.712,-5.854,1.237,2.169
-0.74,-7.712,-5.854,1.238,2.17
-0.73,-7.712,-5.854,1.239,2.17
-0.72,-7.712,-5.853,1.239,2.171
-0.71,-7.712,-5.853,1.239,2.171
-0.7,-7.712,-5.853,1.24,2.172
-0.69,-7.712,-5.853,1.241,2.172
-0.68,-7.712,-5.852,1.241,2.173
-0.67,-7.712,-5.852,1.242,2.174
-0.66,-7.712,-5.852,1.243,2.174
-0.65,-7.712,-5.851,1.243,2.175
-0.64,-7.711,-5.851,1.244,2.176
-0.63,-7.711,-5.851,1.245,2.176
-0.62,-7.711,-5.85,1.245,2.177
-0.61,-7.711,-5.85,1.246,2.178
-0.6,-7.711,-5.85,1.246,2.178
-0.59,-7.711,-5.85,1.247,2.179
-0.58,-7.711,-5.849,1.247,2.179
-0.57,-7.711,-5.849,1.248,2.18
-0.56,-7.711,-5.849,1.248,2.18
-0.55,-7.711,-5.849,1.249,2.181
-0.54,-7.711,-5.849,1.249,2.181
-0.53,-7.711,-5.848,1.249,2.181
-0.52,-7.711,-5.848,1.249,2.181
-0.51,-7.711,-5.848,1.249,2.181
-0.5,-7.711,-5.848,1.249,2.181
-0.49,-7.712,-5.848,1.248,2.181
-0.48,-7.712,-5.848,1.248,2.181
-0.47,-7.712,-5.848,1.248,2.181
-0.46,-7.712,-5.848,1.248,2.181
-0.45,-7.712,-5.848,1.248,2.181
-0.44,-7.712,-5.848,1.248,2.181
-0.43,-7.712,-5.847,1.247,2.181
-0.42,-7.712,-5.847,1.247,2.181
-0.41,-7.712,-5.847,1.247,2.181
-0.4,-7.713,-5.847,1.246,2.181
-0.39,-7.713,-5.847,1.246,2.18
-0.38,-7.713,-5.847,1.245,2.18
-0.37,-7.713,-5.847,1.244,2.18
-0.36,-7.713,-5.847,1.244,2.179
-0.35,-7.713,-5.848,1.243,2.179
-0.34,-7.714,-5.848,1.242,2.178
-0.33,-7.714,-5.848,1.242,2.178
-0.32,-7.714,-5.848,1.241,2.178
-0.31,-7.714,-5.848,1.24,2.177
-0.3,-7.714,-5.848,1.24,2.177
-0.29,-7.714,-5.848,1.24,2.177
-0.28,-7.714,-5.848,1.239,2.177
-0.27,-7.714,-5.848,1.239,2.177
-0.26,-7.714,-5.848,1.239,2.177
-0.25,-7.714,-5.848,1.239,2.177
-0.24,-7.714,-5.847,1.239,2.178
-0.23,-7.714,-5.847,1.24,2.178
-0.22,-7.714,-5.847,1.241,2.179
-0.21,-7.714,-5.847,1.242,2.18
-0.2,-7.714,-5.847,1.244,2.18
-0.19,-7.714,-5.846,1.242,2.18
-0.18,-7.717,-5.846,1.233,2.176
-0.17,-7.72,-5.847,1.222,2.168
-0.16,-7.722,-5.85,1.209,2.16
-0.15,-7.725,-5.854,1.195,2.15
-0.14,-7.728,-5.858,1.178,2.136
-0.13,-7.732,-5.862,1.157,2.12
-0.12,-7.737,-5.868,1.132,2.1
-0.11,-7.74,-5.875,1.108,2.081
-0.1,-7.74,-5.884,1.088,2.066
-0.09,-7.741,-5.891,1.07,2.052
-0.08,-7.744,-5.896,1.051,2.037
-0.07,-7.748,-5.9,1.029,2.02
-0.06,-7.75,-5.908,1.006,2.003
