ts,voltage
-0.44,7.843
0.56,7.843
1.56,7.826
2.56,7.868
3.56,7.835
4.56,7.893
5.56,7.86
6.56,7.893
7.56,7.909
8.56,7.893
9.56,7.901
10.56,7.884
11.56,7.86
12.56,7.909
13.56,7.884
14.56,7.86
15.56,7.909
16.56,7.909
17.56,7.917
18.56,7.893
19.56,7.909
20.56,7.893
21.56,7.876
22.56,7.86
23.56,7.884
24.56,7.909
25.56,7.876
26.56,7.884
27.56,7.934
28.56,7.851
29.56,7.909
30.56,7.917
31.56,7.884
32.56,7.86
33.56,7.909
34.56,7.884
35.56,8.116
36.56,7.901
37.56,7.86
38.56,7.876
39.56,7.868
40.56,7.835
41.56,7.868
42.56,7.86
43.56,7.818
44.56,7.826
45.56,7.826
46.56,7.818
47.56,7.826
48.56,7.818
49.56,7.843
50.56,7.818
51.56,7.835
52.56,7.802
53.56,7.793
54.56,7.826
55.56,7.826
56.56,7.851
57.56,7.868
58.56,7.868
59.56,7.835
60.56,7.826
61.56,7.843
62.56,7.868
63.56,7.876
64.56,7.868
65.56,7.86
66.56,7.876
67.56,7.868
68.56,7.835
69.56,7.835
70.56,7.86
71.56,7.86
72.56,7.868
73.56,7.86
74.56,7.884
75.56,7.851
76.56,7.909
77.56,7.876
78.56,7.851
79.56,7.835
80.56,7.851
81.56,7.884
82.56,7.893
83.56,7.868
84.56,7.876
85.56,7.901
86.56,7.868
87.56,7.893
88.56,7.868
89.56,7.884
90.56,7.876
91.56,7.876
92.56,7.901
93.56,7.876
94.56,7.901
95.56,7.868
96.56,7.876
97.56,7.893
98.56,7.843
99.56,7.843
100.56,7.86
101.56,7.835
102.56,7.843
103.56,7.851
104.56,7.818
105.56,7.826
106.56,7.835
107.56,7.818
108.56,7.802
109.56,7.818
110.56,7.826
111.56,7.81
112.56,7.818
113.56,7.826
114.56,7.76
115.56,7.826
116.56,7.818
117.56,7.843
118.56,7.835
119.56,7.835
120.56,7.843
121.56,7.851
122.56,7.843
123.56,7.893
124.56,7.917
125.56,7.826
126.56,7.893
127.56,7.893
128.56,7.884
129.56,7.86
130.56,7.851
131.56,7.86
132.56,7.876
133.56,7.884
134.56,7.86
135.56,7.835
136.56,7.884
137.56,7.868
138.56,7.876
139.56,7.851
140.56,7.868
141.56,7.86
142.56,7.835
143.56,7.851
144.56,7.876
145.56,7.818
146.56,7.868
147.56,7.893
148.56,7.835
149.56,7.901
150.56,7.843
151.56,7.86
152.56,7.86
153.56,7.893
154.56,7.868
155.56,7.826
156.56,7.876
157.56,7.851
158.56,7.835
159.56,7.851
160.56,7.835
161.56,7.843
162.56,7.826
163.56,7.826
164.56,7.826
165.56,7.835
166.56,7.826
167.56,7.826
168.56,7.818
169.56,7.843
170.56,7.826
171.56,7.826
172.56,7.843
173.56,7.835
174.56,7.826
175.56,7.793
176.56,7.843
177.56,7.835
178.56,7.835
179.56,7.843
180.56,7.835
181.56,7.884
182.56,7.876
183.56,7.884
184.56,7.868
185.56,7.884
186.56,7.851
187.56,7.893
188.56,7.851
189.56,7.835
190.56,7.835
191.56,7.86
192.56,7.917
193.56,7.86
194.56,7.876
195.56,7.851
196.56,7.818
197.56,7.843
198.56,7.835
199.56,7.884
200.56,7.868
201.56,7.843
202.56,7.884
203.56,7.909
204.56,7.876
205.56,7.843
206.56,7.909
207.56,7.826
208.56,7.868
209.56,7.934
210.56,7.868
211.56,7.884
212.56,8.083
213.56,7.876
214.56,7.876
215.56,7.868
216.56,7.851
217.56,7.843
218.56,7.835
219.56,7.851
220.56,7.835
221.56,7.843
222.56,7.826
223.56,7.843
224.56,7.826
225.56,7.851
226.56,7.835
227.56,7.818
228.56,7.835
229.56,7.826
230.56,7.802
231.56,7.81
232.56,7.802
233.56,7.86
234.56,7.868
235.56,7.876
236.56,7.884
237.56,7.835
238.56,7.843
239.56,7.876
240.56,7.876
