ts,altitude[m],velocity[m/s],latitude,longitude
0.0,0,6,0.0,0.0
0.1,1,10,0.0,0.0
0.2,2,16,0.0,0.0
0.3,4,23,0.0,0.0
0.4,7,30,0.0,0.0
0.5,10,38,0.0,0.0
0.7,19,55,0.0,0.0
0.8,25,63,0.0,0.0
0.9,32,72,0.0,0.0
1.0,40,80,0.0,0.0
1.1,48,89,0.0,0.0
3.1,305,193,0.0,0.0
3.4,341,192,0.0,0.0
3.7,375,188,0.0,0.0
4.1,425,174,0.0,0.0
4.2,439,170,0.0,0.0
4.5,484,161,0.0,0.0
4.6,499,158,0.0,0.0
4.8,533,154,0.0,0.0
4.9,550,153,0.0,0.0
5.0,568,152,0.0,0.0
5.1,587,151,0.0,0.0
5.2,606,150,0.0,0.0
5.3,625,150,0.0,0.0
5.4,645,149,0.0,0.0
5.5,666,149,0.0,0.0
5.6,686,149,0.0,0.0
5.7,707,150,0.0,0.0
5.8,728,150,0.0,0.0
6.0,771,151,0.0,0.0
6.2,815,152,0.0,0.0
6.3,836,152,0.0,0.0
6.4,858,153,0.0,0.0
6.8,946,155,0.0,0.0
7.4,1074,157,0.0,0.0
7.6,1116,158,0.0,0.0
8.3,1257,157,0.0,0.0
8.4,1276,157,0.0,0.0
8.7,1332,156,0.0,0.0
8.8,1351,155,0.0,0.0
9.0,1386,154,0.0,0.0
9.1,1404,153,0.0,0.0
9.2,1421,152,0.0,0.0
9.3,1438,152,0.0,0.0
9.4,1455,151,0.0,0.0
9.7,1504,148,0.0,0.0
9.8,1520,147,0.0,0.0
9.9,1536,146,0.0,0.0
10.0,1551,145,0.0,0.0
10.1,1567,144,0.0,0.0
10.2,1582,143,0.0,0.0
10.5,1625,139,0.0,0.0
10.6,1639,138,0.0,0.0
10.7,1653,136,0.0,0.0
10.8,1667,135,0.0,0.0
10.9,1680,134,0.0,0.0
11.0,1693,132,0.0,0.0
11.2,1719,129,0.0,0.0
11.3,1732,128,0.0,0.0
11.4,1744,127,0.0,0.0
11.5,1756,125,0.0,0.0
11.6,1768,124,0.0,0.0
11.9,1803,119,0.0,0.0
12.0,1815,118,0.0,0.0
12.1,1826,117,0.0,0.0
12.2,1837,115,0.0,0.0
12.3,1847,114,0.0,0.0
12.4,1858,112,0.0,0.0
12.9,1908,105,0.0,0.0
13.0,1918,103,0.0,0.0
13.1,1927,102,0.0,0.0
13.2,1937,100,0.0,0.0
13.3,1946,99,0.0,0.0
13.4,1955,97,0.0,0.0
13.6,1972,94,0.0,0.0
13.7,1980,93,0.0,0.0
13.8,1989,91,0.0,0.0
14.0,2004,88,0.0,0.0
14.1,2012,87,0.0,0.0
14.2,2020,85,0.0,0.0
14.4,2034,82,0.0,0.0
14.5,2042,81,0.0,0.0
14.6,2049,79,0.0,0.0
14.7,2055,78,0.0,0.0
14.8,2062,76,0.0,0.0
14.9,2069,75,0.0,0.0
15.3,2095,69,0.0,0.0
15.4,2101,68,0.0,0.0
15.5,2107,67,0.0,0.0
15.6,2113,65,0.0,0.0
15.7,2119,64,0.0,0.0
15.8,2125,63,0.0,0.0
16.0,2136,60,0.0,0.0
16.1,2142,59,0.0,0.0
16.2,2147,58,0.0,0.0
16.3,2153,56,0.0,0.0
16.4,2158,55,0.0,0.0
16.5,2163,54,0.0,0.0
16.6,2168,53,0.0,0.0
16.8,2178,50,0.0,0.0
16.9,2183,49,0.0,0.0
17.0,2187,48,0.0,0.0
17.1,2192,47,0.0,0.0
17.2,2196,46,0.0,0.0
17.4,2205,43,0.0,0.0
17.5,2209,42,0.0,0.0
17.6,2213,41,0.0,0.0
17.7,2217,40,0.0,0.0
17.8,2221,39,0.0,0.0
18.2,2235,35,0.0,0.0
18.4,2242,33,0.0,0.0
18.5,2245,32,0.0,0.0
18.6,2249,31,0.0,0.0
18.8,2255,29,0.0,0.0
19.0,2260,27,0.0,0.0
19.1,2263,25,0.0,0.0
19.4,2270,22,0.0,0.0
19.5,2272,21,0.0,0.0
19.7,2277,20,0.0,0.0
20.0,2282,17,0.0,0.0
20.3,2287,14,0.0,0.0
20.4,2289,13,0.0,0.0
20.6,2291,11,0.0,0.0
20.8,2293,9,0.0,0.0
20.9,2294,8,0.0,0.0
21.0,2294,7,0.0,0.0
21.1,2295,6,0.0,0.0
21.2,2296,5,0.0,0.0
22.3,2296,-3,0.0,0.0
22.4,2295,-3,0.0,0.0
22.6,2290,-7,0.0,0.0
22.7,2286,-10,0.0,0.0
22.8,2284,-12,0.0,0.0
22.9,2284,-11,0.0,0.0
23.1,2283,-9,0.0,0.0
23.3,2284,-7,0.0,0.0
23.4,2283,-6,0.0,0.0
23.5,2283,-6,0.0,0.0
23.6,2283,-5,0.0,0.0
23.7,2283,-5,0.0,0.0
24.0,2285,-1,0.0,0.0
24.1,2286,0,0.0,0.0
24.2,2287,0,0.0,0.0
24.3,2288,0,0.0,0.0
24.4,2287,0,0.0,0.0
24.6,2283,-4,0.0,0.0
24.7,2280,-6,0.0,0.0
24.8,2278,-7,0.0,0.0
24.9,2277,-7,0.0,0.0
25.1,2277,-6,0.0,0.0
25.3,2274,-8,0.0,0.0
25.4,2273,-8,0.0,0.0
25.5,2272,-8,0.0,0.0
25.6,2271,-8,0.0,0.0
25.7,2269,-9,0.0,0.0
25.8,2267,-10,0.0,0.0
25.9,2265,-11,0.0,0.0
26.0,2262,-13,0.0,0.0
26.1,2258,-15,0.0,0.0
26.4,2251,-18,0.0,0.0
26.5,2249,-18,0.0,0.0
26.6,2246,-19,0.0,0.0
26.7,2242,-20,0.0,0.0
26.8,2239,-22,0.0,0.0
26.9,2235,-23,0.0,0.0
27.0,2231,-25,0.0,0.0
27.3,2226,-23,0.0,0.0
27.4,2226,-20,0.0,0.0
27.5,2225,-19,0.0,0.0
27.6,2220,-22,0.0,0.0
27.7,2214,-26,0.0,0.0
27.8,2209,-28,0.0,0.0
27.9,2206,-28,0.0,0.0
28.1,2199,-29,0.0,0.0
28.2,2196,-30,0.0,0.0
28.3,2191,-31,0.0,0.0
28.4,2187,-33,0.0,0.0
28.5,2182,-34,0.0,0.0
28.6,2180,-33,0.0,0.0
28.9,2175,-28,0.0,0.0
29.0,2173,-27,0.0,0.0
29.2,2168,-27,0.0,0.0
29.3,2165,-27,0.0,0.0
29.5,2163,-24,0.0,0.0
29.6,2163,-22,0.0,0.0
29.7,2161,-21,0.0,0.0
30.0,2152,-24,0.0,0.0
30.1,2148,-25,0.0,0.0
30.2,2144,-26,0.0,0.0
30.3,2141,-27,0.0,0.0
30.4,2138,-27,0.0,0.0
30.5,2136,-27,0.0,0.0
30.7,2133,-24,0.0,0.0
30.8,2131,-24,0.0,0.0
30.9,2129,-23,0.0,0.0
31.0,2127,-23,0.0,0.0
31.1,2125,-23,0.0,0.0
31.4,2120,-20,0.0,0.0
31.6,2118,-18,0.0,0.0
31.7,2116,-18,0.0,0.0
31.9,2112,-18,0.0,0.0
32.1,2107,-20,0.0,0.0
32.2,2104,-21,0.0,0.0
32.4,2099,-21,0.0,0.0
32.5,2097,-22,0.0,0.0
32.7,2093,-21,0.0,0.0
32.8,2092,-20,0.0,0.0
32.9,2092,-18,0.0,0.0
33.2,2088,-17,0.0,0.0
33.3,2086,-17,0.0,0.0
33.4,2083,-18,0.0,0.0
33.5,2081,-19,0.0,0.0
33.6,2078,-20,0.0,0.0
33.7,2075,-20,0.0,0.0
33.9,2071,-20,0.0,0.0
34.0,2069,-20,0.0,0.0
34.1,2068,-19,0.0,0.0
34.2,2066,-19,0.0,0.0
34.3,2064,-19,0.0,0.0
34.4,2063,-19,0.0,0.0
34.6,2059,-18,0.0,0.0
34.7,2057,-18,0.0,0.0
34.8,2056,-18,0.0,0.0
34.9,2053,-18,0.0,0.0
35.0,2051,-19,0.0,0.0
35.1,2048,-20,0.0,0.0
35.2,2046,-20,0.0,0.0
35.5,2038,-21,0.0,0.0
35.6,2036,-21,0.0,0.0
35.7,2034,-21,0.0,0.0
35.8,2032,-21,0.0,0.0
36.0,2028,-20,0.0,0.0
36.1,2027,-20,0.0,0.0
36.2,2024,-20,0.0,0.0
36.4,2019,-22,0.0,0.0
36.5,2016,-22,0.0,0.0
36.6,2013,-22,0.0,0.0
36.7,2011,-22,0.0,0.0
36.8,2009,-22,0.0,0.0
36.9,2008,-21,0.0,0.0
37.0,2006,-21,0.0,0.0
37.2,2001,-22,0.0,0.0
37.4,1996,-22,0.0,0.0
37.5,1994,-22,0.0,0.0
37.6,1992,-22,0.0,0.0
37.7,1990,-22,0.0,0.0
37.9,1986,-21,0.0,0.0
38.0,1984,-21,0.0,0.0
38.2,1980,-21,0.0,0.0
38.3,1977,-21,0.0,0.0
38.4,1975,-21,0.0,0.0
38.6,1972,-20,0.0,0.0
40.0,1941,-21,0.0,0.0
40.3,1935,-20,0.0,0.0
40.4,1933,-20,0.0,0.0
40.5,1932,-20,0.0,0.0
40.6,1929,-20,0.0,0.0
40.7,1927,-21,0.0,0.0
40.8,1924,-21,0.0,0.0
41.0,1919,-21,0.0,0.0
41.1,1916,-22,0.0,0.0
41.2,1913,-23,0.0,0.0
41.3,1911,-23,0.0,0.0
41.4,1908,-23,0.0,0.0
41.6,1904,-23,0.0,0.0
41.7,1902,-22,0.0,0.0
41.9,1898,-22,0.0,0.0
42.0,1896,-22,0.0,0.0
42.1,1894,-22,0.0,0.0
42.2,1892,-21,0.0,0.0
42.5,1887,-20,0.0,0.0
42.7,1883,-20,0.0,0.0
42.8,1880,-21,0.0,0.0
43.0,1875,-21,0.0,0.0
43.1,1872,-22,0.0,0.0
43.3,1867,-23,0.0,0.0
43.4,1864,-24,0.0,0.0
43.5,1861,-24,0.0,0.0
43.6,1859,-24,0.0,0.0
43.7,1857,-23,0.0,0.0
43.8,1856,-22,0.0,0.0
43.9,1856,-20,0.0,0.0
44.2,1853,-17,0.0,0.0
44.3,1852,-16,0.0,0.0
44.4,1850,-17,0.0,0.0
44.5,1848,-17,0.0,0.0
44.6,1845,-18,0.0,0.0
45.0,1834,-21,0.0,0.0
45.1,1832,-21,0.0,0.0
45.2,1830,-21,0.0,0.0
45.3,1828,-21,0.0,0.0
45.4,1826,-21,0.0,0.0
45.5,1824,-20,0.0,0.0
45.7,1821,-19,0.0,0.0
46.0,1819,-16,0.0,0.0
46.1,1817,-16,0.0,0.0
46.2,1816,-15,0.0,0.0
46.3,1816,-14,0.0,0.0
46.4,1815,-14,0.0,0.0
46.7,1809,-15,0.0,0.0
46.8,1808,-15,0.0,0.0
46.9,1806,-15,0.0,0.0
47.0,1804,-16,0.0,0.0
47.1,1801,-17,0.0,0.0
47.2,1799,-17,0.0,0.0
47.5,1792,-19,0.0,0.0
47.6,1790,-19,0.0,0.0
47.7,1787,-20,0.0,0.0
47.8,1785,-20,0.0,0.0
48.2,1776,-21,0.0,0.0
48.5,1768,-22,0.0,0.0
48.6,1765,-23,0.0,0.0
48.7,1762,-23,0.0,0.0
48.8,1759,-24,0.0,0.0
48.9,1757,-24,0.0,0.0
49.0,1754,-24,0.0,0.0
49.1,1752,-24,0.0,0.0
49.3,1748,-23,0.0,0.0
49.4,1746,-22,0.0,0.0
49.5,1745,-21,0.0,0.0
49.6,1744,-20,0.0,0.0
49.7,1743,-19,0.0,0.0
49.9,1741,-17,0.0,0.0
50.0,1740,-16,0.0,0.0
50.1,1739,-15,0.0,0.0
50.2,1739,-15,0.0,0.0
50.3,1738,-14,0.0,0.0
50.4,1736,-14,0.0,0.0
50.7,1731,-15,0.0,0.0
50.8,1729,-15,0.0,0.0
51.0,1726,-15,0.0,0.0
51.1,1724,-15,0.0,0.0
51.3,1720,-17,0.0,0.0
51.4,1717,-17,0.0,0.0
51.5,1715,-18,0.0,0.0
51.6,1713,-18,0.0,0.0
51.8,1708,-19,0.0,0.0
51.9,1706,-19,0.0,0.0
52.1,1702,-19,0.0,0.0
52.2,1700,-19,0.0,0.0
52.3,1699,-19,0.0,0.0
52.4,1697,-18,0.0,0.0
52.5,1695,-18,0.0,0.0
52.6,1693,-18,0.0,0.0
52.9,1689,-18,0.0,0.0
53.0,1687,-18,0.0,0.0
53.1,1685,-18,0.0,0.0
53.2,1683,-18,0.0,0.0
53.3,1681,-18,0.0,0.0
53.4,1679,-18,0.0,0.0
53.7,1673,-18,0.0,0.0
53.8,1671,-19,0.0,0.0
53.9,1669,-19,0.0,0.0
54.0,1667,-19,0.0,0.0
54.1,1664,-20,0.0,0.0
54.3,1659,-21,0.0,0.0
54.4,1656,-21,0.0,0.0
54.5,1654,-21,0.0,0.0
54.7,1650,-21,0.0,0.0
54.8,1648,-21,0.0,0.0
54.9,1647,-20,0.0,0.0
55.0,1645,-20,0.0,0.0
55.4,1639,-18,0.0,0.0
55.5,1637,-18,0.0,0.0
55.6,1636,-18,0.0,0.0
55.7,1634,-17,0.0,0.0
56.6,1620,-16,0.0,0.0
56.7,1618,-17,0.0,0.0
56.9,1614,-17,0.0,0.0
57.0,1612,-17,0.0,0.0
57.3,1607,-17,0.0,0.0
57.4,1606,-17,0.0,0.0
57.5,1604,-17,0.0,0.0
57.6,1602,-17,0.0,0.0
57.7,1600,-17,0.0,0.0
57.9,1597,-16,0.0,0.0
58.0,1596,-16,0.0,0.0
58.1,1594,-16,0.0,0.0
58.2,1592,-16,0.0,0.0
58.3,1591,-16,0.0,0.0
58.6,1586,-16,0.0,0.0
58.7,1585,-16,0.0,0.0
58.8,1583,-16,0.0,0.0
58.9,1581,-16,0.0,0.0
59.1,1578,-16,0.0,0.0
59.2,1576,-17,0.0,0.0
59.4,1572,-17,0.0,0.0
59.5,1570,-17,0.0,0.0
59.6,1567,-18,0.0,0.0
59.7,1566,-18,0.0,0.0
59.8,1564,-18,0.0,0.0
59.9,1562,-18,0.0,0.0
60.0,1560,-18,0.0,0.0
60.1,1558,-18,0.0,0.0
60.2,1557,-17,0.0,0.0
60.3,1556,-16,0.0,0.0
60.4,1555,-16,0.0,0.0
60.6,1552,-15,0.0,0.0
60.7,1551,-15,0.0,0.0
60.9,1548,-14,0.0,0.0
61.0,1547,-14,0.0,0.0
61.1,1546,-14,0.0,0.0
61.2,1544,-15,0.0,0.0
61.3,1542,-15,0.0,0.0
