ts,altitude[m],velocity[m/s],latitude,longitude
0.0,2303,4,39.3954,-8.2921
0.9,2304,0,39.3954,-8.2921
1.5,2301,-1,39.3954,-8.2921
1.6,2300,-2,39.3954,-8.2921
1.9,2293,-7,39.3954,-8.2921
2.4,2287,-9,39.3954,-8.2921
2.6,2278,-17,39.3954,-8.2921
2.7,2276,-17,39.3954,-8.2921
3.3,2264,-17,39.3954,-8.2921
3.9,2255,-15,39.3954,-8.2921
4.3,2250,-14,39.3954,-8.2921
4.8,2242,-15,39.3954,-8.2921
5.1,2242,-11,39.3954,-8.2921
5.6,2241,-7,39.3954,-8.2921
5.7,2240,-8,39.3954,-8.2921
6.2,2230,-12,39.3954,-8.2921
6.4,2225,-15,39.3954,-8.2921
6.5,2222,-16,39.3954,-8.2921
6.6,2219,-17,39.3954,-8.2921
6.7,2217,-17,39.3954,-8.2921
6.8,2216,-17,39.3954,-8.2921
6.9,2214,-18,39.3954,-8.2921
7.0,2212,-17,39.3954,-8.2921
7.2,2211,-15,39.3954,-8.2921
7.3,2210,-14,39.3954,-8.2921
7.4,2209,-14,39.3954,-8.2921
7.5,2207,-14,39.3954,-8.2921
7.9,2204,-12,39.3954,-8.2921
8.0,2203,-11,39.3954,-8.2921
8.1,2204,-10,39.3954,-8.2921
8.7,2195,-11,39.3954,-8.2921
9.2,2190,-10,39.3954,-8.2921
9.9,2180,-12,39.3954,-8.2921
10.2,2176,-12,39.3954,-8.2921
10.3,2175,-13,39.3954,-8.2921
10.4,2174,-12,39.3954,-8.2921
10.5,2173,-11,39.3954,-8.2921
10.6,2172,-11,39.3954,-8.2921
10.7,2171,-11,39.3954,-8.2921
11.0,2166,-13,39.3954,-8.2921
11.1,2164,-14,39.3954,-8.2921
11.2,2162,-14,39.3954,-8.2921
11.3,2161,-14,39.3954,-8.2921
11.4,2159,-14,39.3954,-8.2921
11.5,2158,-13,39.3954,-8.2921
11.6,2158,-12,39.3954,-8.2921
11.8,2157,-11,39.3954,-8.2921
11.9,2157,-10,39.3954,-8.2921
12.0,2156,-10,39.3954,-8.2921
12.1,2154,-10,39.3954,-8.2921
12.2,2153,-11,39.3954,-8.2921
12.3,2152,-11,39.3954,-8.2921
12.5,2151,-10,39.3954,-8.2921
12.6,2150,-9,39.3954,-8.2921
12.8,2151,-7,39.3954,-8.2921
12.9,2151,-6,39.3954,-8.2921
13.0,2151,-5,39.3954,-8.2921
13.1,2150,-6,39.3954,-8.2921
13.4,2144,-9,39.3954,-8.2921
13.5,2142,-11,39.3954,-8.2921
13.6,2139,-12,39.3954,-8.2921
13.7,2138,-12,39.3954,-8.2921
13.8,2138,-11,39.3954,-8.2921
13.9,2136,-11,39.3954,-8.2921
14.3,2128,-14,39.3954,-8.2921
14.4,2126,-15,39.3954,-8.2921
14.5,2125,-14,39.3954,-8.2921
14.6,2124,-14,39.3954,-8.2921
14.7,2123,-13,39.3954,-8.2921
16.3,2104,-11,39.3954,-8.2921
17.2,2090,-13,39.3954,-8.2921
17.5,2084,-15,39.3954,-8.2921
17.6,2082,-15,39.3954,-8.2921
17.7,2081,-15,39.3954,-8.2921
17.8,2079,-15,39.3954,-8.2921
17.9,2078,-15,39.3954,-8.2921
18.1,2074,-16,39.3954,-8.2921
18.3,2071,-15,39.3954,-8.2921
18.4,2072,-13,39.3954,-8.2921
18.5,2072,-12,39.3954,-8.2921
18.6,2072,-10,39.3954,-8.2921
18.8,2072,-9,39.3954,-8.2921
18.9,2071,-8,39.3954,-8.2921
19.0,2071,-8,39.3954,-8.2921
19.1,2069,-8,39.3862,-8.2738
19.2,2067,-10,39.3862,-8.2738
19.3,2065,-11,39.3862,-8.2737
19.6,2062,-11,39.3862,-8.2737
19.7,2062,-9,39.3863,-8.2737
19.9,2059,-10,39.3863,-8.2737
20.0,2057,-11,39.3863,-8.2737
20.1,2054,-13,39.3863,-8.2737
20.2,2052,-14,39.3863,-8.2737
20.5,2048,-14,39.3863,-8.2737
20.6,2047,-13,39.3863,-8.2737
20.7,2045,-13,39.3864,-8.2737
20.8,2044,-13,39.3864,-8.2737
21.5,2026,-21,39.3864,-8.2738
21.9,2019,-20,39.3864,-8.2738
22.0,2017,-20,39.3864,-8.2738
22.4,2013,-16,39.3864,-8.2737
22.7,2009,-15,39.3864,-8.2737
23.1,2005,-13,39.3864,-8.2737
23.2,2004,-13,39.3864,-8.2737
23.3,2002,-13,39.3864,-8.2737
23.4,2001,-13,39.3864,-8.2737
23.6,1999,-12,39.3864,-8.2737
23.7,1998,-12,39.3864,-8.2737
23.8,1997,-11,39.3864,-8.2737
23.9,1997,-11,39.3865,-8.2737
24.0,1996,-10,39.3865,-8.2737
24.2,1994,-10,39.3865,-8.2737
24.3,1993,-11,39.3865,-8.2737
24.5,1990,-11,39.3865,-8.2736
24.6,1988,-11,39.3865,-8.2736
24.7,1987,-12,39.3865,-8.2736
24.8,1985,-12,39.3865,-8.2736
25.2,1981,-11,39.3865,-8.2736
25.3,1981,-10,39.3865,-8.2736
25.4,1981,-10,39.3865,-8.2736
25.5,1980,-9,39.3866,-8.2736
