ts,Ax,Ay,Az,Gx,Gy,Gz,T,P,velocity,q0_estimated,q1_estimated,q2_estimated,q3_estimated,filtered_altitude_AGL,filtered_acceleration
-0.75,,,,,,,,,-0.034,,,,,-0.28,0.047
-0.745,0.0137,-0.5073,0.0493,0.2101,-0.1401,-0.2801,31.2,100069.0,,,,,,,
-0.74,,,,,,,,,-0.038,8.188,5.647,-0.867,0.547,-0.2,0.038
-0.735,0.0127,-0.5068,0.0493,0.2101,-0.1401,-0.2801,31.2,100092.0,,,,,,,
-0.73,,,,,,,,,-0.038,8.188,5.647,-0.867,0.547,-0.03,0.038
-0.725,0.0112,-0.5063,0.0498,0.2101,-0.1401,-0.2801,31.2,100085.0,,,,,,,
-0.72,,,,,,,,,-0.042,8.188,5.647,-0.867,0.547,-0.2,0.038
-0.715,0.0137,-0.5078,0.0513,0.2101,-0.2101,-0.2801,31.2,100089.0,,,,,,,
-0.71,,,,,,,,,-0.045,8.189,5.646,-0.867,0.547,-0.2,0.038
-0.705,0.0122,-0.5068,0.0503,0.2101,-0.2101,-0.2801,31.2,100091.0,,,,,,,
-0.7,,,,,,,,,-0.047,8.189,5.646,-0.867,0.547,-0.11,0.038
-0.695,0.0122,-0.5078,0.0513,0.2101,-0.2801,-0.2801,31.2,100097.0,,,,,,,
-0.69,,,,,,,,,-0.049,8.189,5.645,-0.867,0.547,-0.11,0.038
-0.685,0.0137,-0.5083,0.0522,0.1401,-0.2101,-0.2801,31.2,100078.0,,,,,,,
-0.68,,,,,,,,,-0.052,8.19,5.645,-0.867,0.547,-0.2,0.038
-0.675,0.0132,-0.5073,0.0518,0.1401,-0.07,-0.2801,31.2,100083.0,,,,,,,
-0.67,,,,,,,,,-0.054,8.19,5.644,-0.867,0.547,-0.11,0.047
-0.665,0.0137,-0.5054,0.0488,0.1401,0.0,-0.2801,31.2,100092.0,,,,,,,
-0.66,,,,,,,,,-0.052,8.191,5.643,-0.867,0.547,0.06,0.047
-0.655,0.0127,-0.5073,0.0488,0.2101,0.0,-0.2801,31.2,100073.0,,,,,,,
-0.65,,,,,,,,,-0.053,8.191,5.643,-0.867,0.547,-0.11,0.047
-0.645,0.0127,-0.5073,0.0498,0.1401,0.0,-0.2801,31.2,100081.0,,,,,,,
-0.64,,,,,,,,,-0.054,8.191,5.642,-0.866,0.547,-0.11,0.047
-0.635,0.0137,-0.5068,0.0474,0.2101,0.0,-0.2801,31.2,100093.0,,,,,,,
-0.63,,,,,,,,,-0.049,8.192,5.642,-0.866,0.547,0.22,0.047
-0.625,0.0132,-0.5068,0.0503,0.2801,-0.07,-0.3501,31.2,100078.0,,,,,,,
