ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated
-0.74,0.8188,0.5647,-0.0867,0.0547
-0.73,0.8188,0.5647,-0.0867,0.0547
-0.72,0.8188,0.5647,-0.0867,0.0547
-0.71,0.8189,0.5646,-0.0867,0.0547
-0.7,0.8189,0.5646,-0.0867,0.0547
-0.69,0.8189,0.5645,-0.0867,0.0547
-0.68,0.819,0.5645,-0.0867,0.0547
-0.67,0.819,0.5644,-0.0867,0.0547
-0.66,0.8191,0.5643,-0.0867,0.0547
-0.65,0.8191,0.5643,-0.0867,0.0547
-0.64,0.8191,0.5642,-0.0866,0.0547
-0.63,0.8192,0.5642,-0.0866,0.0547
-0.62,0.8192,0.5641,-0.0866,0.0547
-0.61,0.8192,0.5641,-0.0866,0.0547
-0.6,0.8193,0.564,-0.0866,0.0547
-0.59,0.8193,0.564,-0.0866,0.0547
-0.58,0.8194,0.5639,-0.0866,0.0547
-0.57,0.8194,0.5639,-0.0866,0.0547
-0.56,0.8194,0.5638,-0.0866,0.0546
-0.55,0.8195,0.5638,-0.0866,0.0546
-0.54,0.8195,0.5637,-0.0865,0.0546
-0.53,0.8195,0.5637,-0.0865,0.0546
-0.52,0.8196,0.5636,-0.0865,0.0546
-0.51,0.8196,0.5636,-0.0865,0.0546
-0.5,0.8196,0.5635,-0.0865,0.0546
-0.49,0.8197,0.5635,-0.0865,0.0546
-0.48,0.8197,0.5634,-0.0865,0.0546
-0.47,0.8198,0.5634,-0.0865,0.0546
-0.46,0.8198,0.5633,-0.0865,0.0546
-0.45,0.8198,0.5633,-0.0865,0.0546
-0.44,0.8199,0.5632,-0.0864,0.0546
-0.43,0.8199,0.5632,-0.0864,0.0546
-0.42,0.82,0.5631,-0.0864,0.0546
-0.41,0.82,0.563,-0.0864,0.0545
-0.4,0.82,0.563,-0.0864,0.0545
-0.39,0.8201,0.5629,-0.0864,0.0545
-0.38,0.8201,0.5629,-0.0864,0.0545
-0.37,0.8201,0.5629,-0.0864,0.0545
-0.36,0.8202,0.5628,-0.0864,0.0545
-0.35,0.8202,0.5627,-0.0864,0.0545
-0.34,0.8202,0.5627,-0.0863,0.0545
-0.33,0.8203,0.5626,-0.0863,0.0545
-0.32,0.8203,0.5626,-0.0863,0.0545
-0.31,0.8204,0.5625,-0.0863,0.0545
-0.3,0.8204,0.5625,-0.0863,0.0544
-0.29,0.8204,0.5624,-0.0863,0.0544
-0.28,0.8205,0.5624,-0.0863,0.0544
-0.27,0.8205,0.5623,-0.0863,0.0544
-0.26,0.8205,0.5623,-0.0863,0.0544
-0.25,0.8206,0.5622,-0.0863,0.0544
-0.24,0.8206,0.5622,-0.0862,0.0544
-0.23,0.8206,0.5621,-0.0862,0.0544
-0.22,0.8207,0.5621,-0.0862,0.0544
-0.21,0.8207,0.562,-0.0862,0.0544
-0.2,0.8207,0.562,-0.0863,0.0543
-0.19,0.8208,0.5619,-0.0862,0.0543
-0.18,0.8208,0.5619,-0.0862,0.0543
-0.17,0.8209,0.5618,-0.0862,0.0543
-0.16,0.8209,0.5618,-0.0862,0.0543
-0.15,0.8209,0.5617,-0.0862,0.0543
-0.14,0.821,0.5617,-0.0862,0.0543
-0.13,0.821,0.5616,-0.0862,0.0543
-0.12,0.821,0.5616,-0.0862,0.0543
-0.11,0.8211,0.5616,-0.0862,0.0542
-0.1,0.8211,0.5615,-0.0861,0.0543
-0.09,0.8214,0.5611,-0.0858,0.0545
-0.08,0.8222,0.56,-0.0854,0.0543
-0.07,0.8223,0.5599,-0.0849,0.0541
-0.06,0.8226,0.5594,-0.0847,0.0547
-0.05,0.8231,0.5588,-0.0841,0.0547
-0.04,0.8239,0.5578,-0.0823,0.0555
-0.03,0.8242,0.5574,-0.0809,0.0568
-0.02,0.8249,0.5566,-0.079,0.0584
-0.01,0.8248,0.5568,-0.0768,0.0601
0.0,0.825,0.5566,-0.0742,0.0621
0.01,0.9999,0.001,0.0038,0.0003
0.02,0.9999,0.0014,0.0066,0.0006
0.03,0.9999,0.0015,0.0088,0.0006
0.04,0.9999,0.0017,0.0103,0.0004
0.05,0.9999,0.0018,0.0087,-0.0002
0.06,0.9999,0.0018,0.0051,-0.001
0.07,0.9999,0.0011,0.0007,-0.0017
0.08,0.9999,-0.0004,-0.0056,-0.0026
0.09,0.9999,-0.0025,-0.0126,-0.0034
0.1,0.9997,-0.0042,-0.0192,-0.004
0.11,0.9996,-0.0036,-0.0238,-0.0046
0.12,0.9996,-0.0025,-0.0266,-0.0046
0.13,0.9996,-0.001,-0.0265,-0.0041
0.14,0.9996,-0.0005,-0.0248,-0.0035
0.15,0.9997,0.0005,-0.0234,-0.0027
0.16,0.9997,0.0002,-0.0217,-0.0018
0.17,0.9996,-0.0011,-0.0264,-0.002
0.18,0.9995,-0.0038,-0.0293,-0.0035
0.19,0.9995,-0.0062,-0.0293,-0.0046
0.2,0.9995,-0.0067,-0.0282,-0.0051
0.21,0.9998,-0.0062,-0.0178,-0.0055
0.22,0.9999,-0.005,-0.0021,-0.0049
0.23,0.9997,-0.0037,0.0198,-0.0029
0.24,0.9991,-0.0029,0.0399,-0.0008
0.25,0.9984,-0.0031,0.0564,0.0007
0.26,0.9974,-0.0059,0.0709,0.0018
0.27,0.9965,-0.0082,0.0824,0.0029
0.28,0.9956,-0.0079,0.0931,0.0037
0.29,0.9945,-0.007,0.1037,0.0043
