ts,id,T,P
-0.745,BARO0,31.35,100104
-0.735,BARO0,31.35,100094
-0.725,BARO0,31.35,100072
-0.715,BARO0,31.35,100081
-0.705,BARO0,31.35,100062
-0.695,BARO0,31.36,100112
-0.685,BARO0,31.35,100077
-0.675,BARO0,31.34,100098
-0.665,BARO0,31.35,100091
-0.655,BARO0,31.35,100093
-0.645,BARO0,31.35,100103
-0.635,BARO0,31.33,100059
-0.625,BARO0,31.36,100085
-0.615,BARO0,31.38,100120
-0.605,BARO0,31.35,100096
-0.595,BARO0,31.36,100104
-0.585,BARO0,31.35,100099
-0.575,BARO0,31.34,100098
-0.565,BARO0,31.35,100091
-0.555,BARO0,31.35,100095
-0.545,BARO0,31.35,100093
-0.535,BARO0,31.34,100104
-0.525,BARO0,31.34,100074
-0.515,BARO0,31.37,100087
-0.505,BARO0,31.36,100072
-0.495,BARO0,31.34,100101
-0.485,BARO0,31.36,100087
-0.475,BARO0,31.36,100090
-0.465,BARO0,31.35,100092
-0.455,BARO0,31.35,100088
-0.445,BARO0,31.35,100097
-0.435,BARO0,31.36,100097
-0.425,BARO0,31.34,100086
-0.415,BARO0,31.35,100090
-0.405,BARO0,31.35,100095
-0.395,BARO0,31.37,100112
-0.385,BARO0,31.34,100091
-0.375,BARO0,31.36,100098
-0.365,BARO0,31.36,100090
-0.355,BARO0,31.36,100094
-0.345,BARO0,31.35,100102
-0.335,BARO0,31.34,100095
-0.325,BARO0,31.35,100103
-0.315,BARO0,31.35,100111
-0.305,BARO0,31.35,100085
-0.295,BARO0,31.34,100091
-0.285,BARO0,31.37,100103
-0.275,BARO0,31.36,100099
-0.265,BARO0,31.36,100093
-0.255,BARO0,31.35,100096
-0.245,BARO0,31.35,100094
-0.235,BARO0,31.35,100098
-0.225,BARO0,31.35,100102
-0.215,BARO0,31.33,100095
-0.205,BARO0,31.35,100084
-0.195,BARO0,31.35,100080
-0.185,BARO0,31.36,100085
-0.175,BARO0,31.36,100087
-0.165,BARO0,31.35,100092
-0.155,BARO0,31.35,100088
-0.145,BARO0,31.35,100098
-0.135,BARO0,31.37,100101
-0.125,BARO0,31.35,100112
-0.115,BARO0,31.34,100096
-0.105,BARO0,31.36,100017
-0.095,BARO0,31.36,100168
-0.085,BARO0,31.34,100119
-0.075,BARO0,31.34,100079
-0.065,BARO0,31.35,100112
-0.055,BARO0,31.35,100088
-0.045,BARO0,31.35,100128
-0.035,BARO0,31.35,100104
-0.025,BARO0,31.34,100114
-0.015,BARO0,31.35,100099
-0.005,BARO0,31.36,100125
0.005,BARO0,31.35,100119
0.015,BARO0,31.35,100083
0.025,BARO0,31.37,100127
0.035,BARO0,31.35,100060
0.045,BARO0,31.35,100096
0.055,BARO0,31.35,100126
0.065,BARO0,31.34,100100
0.075,BARO0,31.33,100074
0.085,BARO0,31.36,100088
0.095,BARO0,31.37,100081
0.105,BARO0,31.35,100085
0.115,BARO0,31.35,100066
0.125,BARO0,31.34,100036
0.135,BARO0,31.35,100072
0.145,BARO0,31.35,100042
0.155,BARO0,31.35,100033
0.165,BARO0,31.35,100029
0.175,BARO0,31.35,100054
0.185,BARO0,31.34,100027
0.195,BARO0,31.35,100056
0.205,BARO0,31.33,100036
0.215,BARO0,31.36,100020
0.225,BARO0,31.36,100022
0.235,BARO0,31.35,100005
0.245,BARO0,31.34,100017
0.255,BARO0,31.34,100029
0.265,BARO0,31.35,99991
0.275,BARO0,31.34,99982
0.285,BARO0,31.36,99988
0.295,BARO0,31.34,99999
0.305,BARO0,31.33,99981
0.315,BARO0,31.34,99967
0.325,BARO0,31.36,99976
0.335,BARO0,31.34,99962
0.345,BARO0,31.35,99950
0.355,BARO0,31.35,99948
0.365,BARO0,31.35,99930
0.375,BARO0,31.34,99952
0.385,BARO0,31.36,99935
0.395,BARO0,31.35,99926
0.405,BARO0,31.34,99896
0.415,BARO0,31.34,99902
0.425,BARO0,31.35,99907
0.435,BARO0,31.33,99899
0.445,BARO0,31.33,99897
0.455,BARO0,31.34,99874
0.465,BARO0,31.36,99889
0.475,BARO0,31.33,99867
0.485,BARO0,31.35,99867
0.495,BARO0,31.33,99855
0.505,BARO0,31.34,99855
0.515,BARO0,31.33,99850
0.525,BARO0,31.34,99825
0.535,BARO0,31.33,99844
0.545,BARO0,31.34,99829
0.555,BARO0,31.34,99818
0.565,BARO0,31.34,99830
0.575,BARO0,31.33,99791
0.585,BARO0,31.34,99801
0.595,BARO0,31.34,99815
0.605,BARO0,31.34,99798
0.615,BARO0,31.32,99809
0.625,BARO0,31.35,99801
0.635,BARO0,31.33,99781
0.645,BARO0,31.33,99782
0.655,BARO0,31.33,99767
0.665,BARO0,31.33,99762
0.675,BARO0,31.33,99743
0.685,BARO0,31.33,99744
0.695,BARO0,31.33,99732
0.705,BARO0,31.35,99741
0.715,BARO0,31.32,99723
0.725,BARO0,31.32,99700
0.735,BARO0,31.33,99710
0.745,BARO0,31.33,99692
0.755,BARO0,31.33,99680
0.765,BARO0,31.35,99660
0.775,BARO0,31.33,99682
0.785,BARO0,31.35,99655
0.795,BARO0,31.33,99642
0.805,BARO0,31.31,99630
0.815,BARO0,31.33,99621
0.825,BARO0,31.33,99611
0.835,BARO0,31.33,99596
0.845,BARO0,31.33,99586
0.855,BARO0,31.32,99563
0.865,BARO0,31.32,99549
0.875,BARO0,31.31,99560
0.885,BARO0,31.34,99526
0.895,BARO0,31.3,99514
0.905,BARO0,31.31,99521
0.915,BARO0,31.3,99507
0.925,BARO0,31.32,99498
0.935,BARO0,31.32,99505
0.945,BARO0,31.32,99487
0.955,BARO0,31.32,99485
0.965,BARO0,31.29,99482
0.975,BARO0,31.33,99484
0.985,BARO0,31.33,99460
0.995,BARO0,31.33,99457
1.005,BARO0,31.31,99434
1.015,BARO0,31.3,99440
1.025,BARO0,31.31,99454
1.035,BARO0,31.31,99443
1.045,BARO0,31.3,99434
1.055,BARO0,31.32,99437
1.065,BARO0,31.32,99448
1.075,BARO0,31.3,99443
1.085,BARO0,31.31,99454
1.095,BARO0,31.31,99437
1.105,BARO0,31.3,99453
1.115,BARO0,31.3,99459
1.125,BARO0,31.3,99442
1.135,BARO0,31.3,99443
1.145,BARO0,31.31,99427
1.155,BARO0,31.31,99429
1.165,BARO0,31.32,99417
1.175,BARO0,31.3,99417
1.185,BARO0,31.31,99363
1.195,BARO0,31.3,99373
1.205,BARO0,31.29,99351
1.215,BARO0,31.3,99317
1.225,BARO0,31.3,99304
1.235,BARO0,31.31,99298
1.245,BARO0,31.3,99275
1.255,BARO0,31.29,99262
1.265,BARO0,31.3,99223
1.275,BARO0,31.31,99209
1.285,BARO0,31.3,99213
1.295,BARO0,31.29,99217
1.305,BARO0,31.27,99196
1.315,BARO0,31.28,99210
1.325,BARO0,31.28,99195
1.335,BARO0,31.3,99195
1.345,BARO0,31.3,99202
1.355,BARO0,31.28,99178
1.365,BARO0,31.27,99178
1.375,BARO0,31.29,99175
1.385,BARO0,31.28,99176
1.395,BARO0,31.3,99148
1.405,BARO0,31.29,99149
1.415,BARO0,31.28,99127
1.425,BARO0,31.28,99104
1.435,BARO0,31.29,99084
1.445,BARO0,31.29,99055
1.455,BARO0,31.29,99023
1.465,BARO0,31.28,99008
1.475,BARO0,31.29,98985
1.485,BARO0,31.27,98940
1.495,BARO0,31.28,98951
1.505,BARO0,31.28,98922
1.515,BARO0,31.3,98918
1.525,BARO0,31.27,98919
1.535,BARO0,31.28,98909
1.545,BARO0,31.28,98892
1.555,BARO0,31.28,98900
1.565,BARO0,31.29,98893
1.575,BARO0,31.27,98880
1.585,BARO0,31.29,98881
1.595,BARO0,31.28,98918
1.605,BARO0,31.27,98959
1.615,BARO0,31.27,98661
1.625,BARO0,31.27,98503
1.635,BARO0,31.26,98371
1.645,BARO0,31.27,98285
1.655,BARO0,31.28,98239
1.665,BARO0,31.27,98191
1.675,BARO0,31.27,98148
1.685,BARO0,31.26,98071
1.695,BARO0,31.25,97887
1.705,BARO0,31.28,97605
1.715,BARO0,31.26,97383
1.725,BARO0,31.27,97243
1.735,BARO0,31.26,97127
1.745,BARO0,31.26,97073
1.755,BARO0,31.26,97037
1.765,BARO0,31.27,97014
1.775,BARO0,31.26,96994
1.785,BARO0,31.27,97002
1.795,BARO0,31.27,97013
1.805,BARO0,31.26,96953
1.815,BARO0,31.27,96974
1.825,BARO0,31.25,97001
1.835,BARO0,31.26,96973
1.845,BARO0,31.25,96996
1.855,BARO0,31.25,96999
1.865,BARO0,31.27,96991
1.875,BARO0,31.26,97014
1.885,BARO0,31.26,96982
1.895,BARO0,31.25,97000
1.905,BARO0,31.26,97001
1.915,BARO0,31.24,96998
1.925,BARO0,31.25,96992
1.935,BARO0,31.24,96996
1.945,BARO0,31.24,96970
1.955,BARO0,31.25,96985
1.965,BARO0,31.24,96972
1.975,BARO0,31.22,96923
1.985,BARO0,31.24,96879
1.995,BARO0,31.24,96850
2.005,BARO0,31.24,96842
2.015,BARO0,31.25,96809
2.025,BARO0,31.26,96748
2.035,BARO0,31.24,96734
2.045,BARO0,31.24,96691
2.055,BARO0,31.24,96698
2.065,BARO0,31.25,96641
2.075,BARO0,31.23,96605
2.085,BARO0,31.23,96584
2.095,BARO0,31.25,96568
2.105,BARO0,31.24,96529
2.115,BARO0,31.24,96453
2.125,BARO0,31.24,96423
2.135,BARO0,31.24,96357
2.145,BARO0,31.23,96282
2.155,BARO0,31.25,96235
2.165,BARO0,31.25,96214
2.175,BARO0,31.25,96235
2.185,BARO0,31.24,96324
2.195,BARO0,31.24,96409
2.205,BARO0,31.24,96545
2.215,BARO0,31.24,96601
2.225,BARO0,31.25,96600
2.235,BARO0,31.24,96609
2.245,BARO0,31.24,96577
2.255,BARO0,31.24,96498
2.265,BARO0,31.25,96427
2.275,BARO0,31.24,96347
2.285,BARO0,31.25,96283
2.295,BARO0,31.26,96255
2.305,BARO0,31.26,96599
2.315,BARO0,31.24,97034
2.325,BARO0,31.24,97004
2.335,BARO0,31.24,96959
2.345,BARO0,31.23,96956
2.355,BARO0,31.24,97046
2.365,BARO0,31.25,96981
2.375,BARO0,31.26,96857
2.385,BARO0,31.26,96809
2.395,BARO0,31.23,96713
2.405,BARO0,31.24,96632
2.415,BARO0,31.25,96491
2.425,BARO0,31.25,96401
2.435,BARO0,31.23,96253
2.445,BARO0,31.23,96274
2.455,BARO0,31.23,96331
2.465,BARO0,31.24,96281
2.475,BARO0,31.23,96247
2.485,BARO0,31.25,96320
2.495,BARO0,31.24,96191
2.505,BARO0,31.25,96174
2.515,BARO0,31.25,96126
2.525,BARO0,31.25,96071
2.535,BARO0,31.24,96006
2.545,BARO0,31.23,95974
2.555,BARO0,31.23,95928
2.565,BARO0,31.22,95872
2.575,BARO0,31.25,95846
2.585,BARO0,31.24,95768
2.595,BARO0,31.23,95727
2.605,BARO0,31.24,95640
2.615,BARO0,31.23,95643
2.625,BARO0,31.24,95590
2.635,BARO0,31.24,95536
2.645,BARO0,31.23,95479
2.655,BARO0,31.23,95451
2.665,BARO0,31.26,95423
2.675,BARO0,31.23,95342
2.685,BARO0,31.24,95307
2.695,BARO0,31.22,95255
2.705,BARO0,31.23,95216
2.715,BARO0,31.23,95185
2.725,BARO0,31.24,95153
2.735,BARO0,31.25,95127
2.745,BARO0,31.23,95058
2.755,BARO0,31.24,95015
2.765,BARO0,31.23,94977
2.775,BARO0,31.22,94940
2.785,BARO0,31.24,94903
2.795,BARO0,31.22,94856
2.805,BARO0,31.24,94850
2.815,BARO0,31.22,94812
2.825,BARO0,31.22,94730
2.835,BARO0,31.24,94700
2.845,BARO0,31.22,94680
2.855,BARO0,31.23,94625
2.865,BARO0,31.24,94616
2.875,BARO0,31.23,94538
2.885,BARO0,31.24,94494
2.895,BARO0,31.22,94465
2.905,BARO0,31.22,94450
2.915,BARO0,31.25,94413
2.925,BARO0,31.22,94328
2.935,BARO0,31.22,94333
2.945,BARO0,31.21,94276
2.955,BARO0,31.22,94230
2.965,BARO0,31.21,94200
2.975,BARO0,31.21,94153
2.985,BARO0,31.21,94103
2.995,BARO0,31.2,94070
3.005,BARO0,31.21,94026
3.015,BARO0,31.22,93989
3.025,BARO0,31.21,93977
3.035,BARO0,31.21,93896
3.045,BARO0,31.21,93857
3.055,BARO0,31.2,93831
3.065,BARO0,31.2,93785
3.075,BARO0,31.23,93742
3.085,BARO0,31.2,93675
3.095,BARO0,31.2,93663
3.105,BARO0,31.22,93591
3.115,BARO0,31.2,93564
3.125,BARO0,31.2,93511
3.135,BARO0,31.21,93482
3.145,BARO0,31.2,93445
3.155,BARO0,31.2,93409
3.165,BARO0,31.19,93379
3.175,BARO0,31.2,93339
3.185,BARO0,31.21,93302
3.195,BARO0,31.18,93267
3.205,BARO0,31.21,93246
3.215,BARO0,31.19,93203
3.225,BARO0,31.19,93136
3.235,BARO0,31.19,93128
3.245,BARO0,31.19,93084
3.255,BARO0,31.19,93070
3.265,BARO0,31.18,93007
3.275,BARO0,31.2,92963
3.285,BARO0,31.19,92937
3.295,BARO0,31.18,92902
3.305,BARO0,31.19,92874
3.315,BARO0,31.19,92821
3.325,BARO0,31.18,92789
3.335,BARO0,31.18,92753
3.345,BARO0,31.18,92697
3.355,BARO0,31.17,92662
3.365,BARO0,31.15,92602
3.375,BARO0,31.15,92575
3.385,BARO0,31.18,92568
3.395,BARO0,31.17,92514
3.405,BARO0,31.18,92479
3.415,BARO0,31.16,92432
3.425,BARO0,31.17,92402
3.435,BARO0,31.17,92346
3.445,BARO0,31.17,92306
3.455,BARO0,31.16,92265
3.465,BARO0,31.17,92237
3.475,BARO0,31.18,92202
3.485,BARO0,31.17,92154
3.495,BARO0,31.14,92115
3.505,BARO0,31.16,92106
3.515,BARO0,31.16,92060
3.525,BARO0,31.15,92027
3.535,BARO0,31.15,91981
3.545,BARO0,31.15,91966
3.555,BARO0,31.14,91932
3.565,BARO0,31.14,91899
3.575,BARO0,31.12,91865
3.585,BARO0,31.15,91826
3.595,BARO0,31.14,91818
3.605,BARO0,31.14,91770
3.615,BARO0,31.13,91709
3.625,BARO0,31.14,91677
3.635,BARO0,31.14,91641
3.645,BARO0,31.12,91605
3.655,BARO0,31.13,91575
3.665,BARO0,31.13,91547
3.675,BARO0,31.12,91518
3.685,BARO0,31.14,91460
3.695,BARO0,31.13,91430
3.705,BARO0,31.12,91385
3.715,BARO0,31.12,91354
3.725,BARO0,31.12,91294
3.735,BARO0,31.11,91296
3.745,BARO0,31.11,91238
3.755,BARO0,31.11,91212
3.765,BARO0,31.11,91184
3.775,BARO0,31.11,91111
3.785,BARO0,31.1,91111
3.795,BARO0,31.1,91098
3.805,BARO0,31.1,91090
3.815,BARO0,31.11,91030
3.825,BARO0,31.11,90982
3.835,BARO0,31.1,90955
3.845,BARO0,31.1,90921
3.855,BARO0,31.1,90902
3.865,BARO0,31.09,90862
3.875,BARO0,31.09,90814
3.885,BARO0,31.07,90808
3.895,BARO0,31.12,90766
3.905,BARO0,31.1,90740
3.915,BARO0,31.1,90694
3.925,BARO0,31.11,90654
3.935,BARO0,31.09,90604
3.945,BARO0,31.09,90585
3.955,BARO0,31.08,90545
3.965,BARO0,31.1,90552
3.975,BARO0,31.07,90512
3.985,BARO0,31.1,90464
3.995,BARO0,31.07,90414
4.005,BARO0,31.09,90383
4.015,BARO0,31.09,90313
4.025,BARO0,31.07,90298
4.035,BARO0,31.07,90261
4.045,BARO0,31.07,90216
4.055,BARO0,31.07,90171
4.065,BARO0,31.07,90142
4.075,BARO0,31.09,90129
4.085,BARO0,31.08,90067
4.095,BARO0,31.06,90085
4.105,BARO0,31.06,90016
4.115,BARO0,31.06,89997
4.125,BARO0,31.06,89937
4.135,BARO0,31.07,89940
