ts,voltage
0.07,9.927
1.07,9.918
2.07,9.935
3.07,9.918
4.07,9.918
5.07,9.902
6.07,9.877
7.07,9.894
8.07,9.927
9.07,9.902
10.07,9.894
11.07,9.902
12.07,9.869
13.07,9.894
14.07,9.902
15.07,9.877
16.07,9.877
17.07,9.902
18.07,9.852
19.07,9.885
20.07,9.885
21.07,9.827
22.07,9.852
23.07,9.894
24.07,9.861
25.07,9.885
26.07,9.885
27.07,9.869
28.07,9.894
29.07,9.861
30.07,9.861
31.07,9.869
32.07,9.869
33.07,9.869
34.07,9.861
35.07,9.894
36.07,9.885
37.07,9.885
38.07,9.852
39.07,9.852
40.07,9.885
41.07,9.869
42.07,9.844
43.07,9.877
44.07,9.877
45.07,9.877
46.07,9.877
47.07,9.877
48.07,9.877
49.07,9.894
50.07,9.869
51.07,9.877
52.07,9.861
53.07,9.894
54.07,9.885
55.07,9.877
56.07,9.869
57.07,9.885
58.07,9.885
59.07,9.894
60.07,9.894
61.07,9.877
62.07,9.91
63.07,9.894
64.07,9.91
65.07,9.894
66.07,9.894
67.07,9.894
68.07,9.894
69.07,9.894
70.07,9.902
71.07,9.894
72.07,9.894
73.07,9.902
74.07,9.91
75.07,9.902
76.07,9.918
77.07,9.91
78.07,9.894
79.07,9.927
80.07,9.927
81.07,9.91
82.07,9.91
83.07,9.927
84.07,9.902
85.07,9.91
86.07,9.918
87.07,9.91
88.07,9.918
89.07,9.91
90.07,9.951
91.07,9.943
92.07,9.918
93.07,9.935
94.07,9.96
95.07,9.935
96.07,9.943
97.07,10.125
98.07,9.935
99.07,9.943
100.07,9.885
101.07,9.877
102.07,9.918
103.07,9.91
104.07,9.902
105.07,9.935
106.07,9.877
107.07,9.927
108.07,9.902
109.07,9.918
110.07,9.935
111.07,9.918
112.07,9.918
113.07,9.902
114.07,9.91
115.07,9.91
116.07,9.918
117.07,9.935
118.07,9.951
119.07,9.894
120.07,9.894
121.07,9.91
122.07,9.902
123.07,9.918
124.07,9.91
125.07,9.91
126.07,9.927
127.07,9.902
128.07,9.902
129.07,9.927
130.07,9.927
131.07,9.91
132.07,9.91
133.07,9.91
134.07,9.927
135.07,9.902
136.07,9.902
137.07,9.902
138.07,9.918
139.07,9.91
140.07,9.918
141.07,9.902
142.07,9.894
143.07,9.935
144.07,9.985
145.07,9.918
146.07,9.927
147.07,9.902
148.07,9.91
149.07,9.968
150.07,9.894
151.07,9.91
152.07,9.935
153.07,9.877
154.07,9.91
155.07,9.902
156.07,10.009
157.07,9.918
158.07,9.902
159.07,9.894
160.07,9.885
161.07,9.885
162.07,9.918
163.07,9.885
164.07,9.918
165.07,9.885
166.07,9.885
167.07,9.918
168.07,9.902
169.07,9.918
170.07,9.894
171.07,9.885
172.07,9.885
173.07,9.894
174.07,9.91
175.07,9.894
176.07,9.902
177.07,9.894
178.07,9.869
179.07,9.927
180.07,9.894
181.07,9.927
182.07,9.902
183.07,9.91
184.07,9.885
185.07,9.91
186.07,9.902
187.07,9.885
188.07,9.885
189.07,9.877
190.07,9.91
191.07,9.885
192.07,9.91
193.07,9.885
194.07,9.894
195.07,9.877
196.07,9.885
197.07,9.894
198.07,9.91
199.07,9.927
200.07,9.877
201.07,9.894
202.07,9.894
203.07,9.885
204.07,9.91
205.07,9.885
206.07,9.91
207.07,9.894
208.07,9.918
209.07,9.885
210.07,9.894
211.07,9.91
212.07,9.91
213.07,9.885
214.07,9.894
215.07,9.877
216.07,9.935
217.07,9.918
218.07,9.902
219.07,9.869
220.07,9.902
221.07,9.927
222.07,9.885
223.07,9.877
224.07,9.91
225.07,9.877
226.07,9.885
227.07,9.902
228.07,9.894
229.07,9.894
230.07,9.91
231.07,9.869
232.07,9.869
233.07,9.918
234.07,9.894
235.07,9.902
236.07,9.91
237.07,9.902
238.07,9.91
239.07,9.91
240.07,9.91
241.07,9.885
242.07,9.877
243.07,9.894
244.07,9.902
245.07,9.902
246.07,9.861
247.07,9.91
248.07,9.869
249.07,9.894
250.07,9.894
251.07,9.902
252.07,9.877
253.07,9.902
254.07,9.91
255.07,9.877
256.07,9.885
257.07,9.902
258.07,9.877
259.07,9.869
260.07,9.869
261.07,9.885
262.07,9.902
263.07,9.885
264.07,9.894
265.07,9.902
266.07,9.91
267.07,9.869
268.07,9.91
269.07,9.894
270.07,9.885
271.07,9.885
