ts,altitude[m],velocity[m/s],latitude,longitude
0.0,1,20,39.3899,-8.2897
0.1,3,39,39.3899,-8.2897
0.2,8,59,39.3899,-8.2897
0.3,15,79,39.3899,-8.2897
0.4,24,98,39.3899,-8.2897
1.5,251,316,39.3899,-8.2898
1.9,381,346,39.3898,-8.2898
2.4,524,312,39.3898,-8.2898
2.8,614,281,39.3898,-8.2899
2.9,634,274,39.3898,-8.2899
3.1,675,261,39.3898,-8.2899
3.2,695,255,39.3898,-8.2899
3.3,714,249,39.3898,-8.2899
3.4,734,244,39.3898,-8.2899
3.5,755,239,39.3898,-8.29
3.6,775,234,39.3898,-8.29
3.9,837,223,39.3898,-8.29
4.0,858,220,39.3898,-8.29
4.1,880,218,39.3898,-8.29
4.2,902,215,39.3898,-8.29
4.3,925,213,39.3898,-8.2901
4.5,971,210,39.3898,-8.2901
4.6,994,208,39.3898,-8.2901
4.8,1042,206,39.3898,-8.2901
4.9,1066,205,39.3898,-8.2902
5.0,1091,204,39.3898,-8.2902
5.1,1115,204,39.3898,-8.2902
5.4,1190,202,39.3898,-8.2902
5.5,1215,202,39.3898,-8.2902
5.6,1240,202,39.3898,-8.2902
5.7,1265,201,39.3898,-8.2902
5.8,1291,201,39.3898,-8.2902
6.4,1441,200,39.3898,-8.2905
7.0,1588,198,39.3901,-8.2905
7.5,1706,197,39.3902,-8.2905
7.9,1798,194,39.3902,-8.2905
8.3,1886,192,39.3903,-8.2907
8.5,1930,190,39.3903,-8.2908
8.8,1992,188,39.3903,-8.2908
8.9,2013,187,39.3903,-8.2908
9.0,2033,186,39.3903,-8.2908
9.1,2053,185,39.3904,-8.2909
9.2,2073,184,39.3904,-8.2909
9.4,2112,181,39.3904,-8.2909
9.5,2132,180,39.3904,-8.2909
9.6,2151,179,39.3904,-8.2909
9.7,2169,178,39.3904,-8.2909
9.8,2188,177,39.3904,-8.2909
9.9,2206,175,39.3904,-8.2909
10.2,2260,172,39.3904,-8.2909
10.3,2278,170,39.3904,-8.2909
10.4,2295,169,39.3904,-8.2909
10.5,2312,168,39.3904,-8.2909
10.6,2329,166,39.3908,-8.2912
10.8,2363,164,39.3909,-8.2913
11.1,2411,159,39.3909,-8.2913
11.2,2427,158,39.3909,-8.2913
11.3,2443,157,39.3909,-8.2913
11.4,2458,155,39.3909,-8.2913
11.5,2474,154,39.3909,-8.2913
11.8,2519,149,39.3909,-8.2913
11.9,2533,148,39.3909,-8.2913
12.2,2576,144,39.3909,-8.2913
12.3,2590,142,39.3909,-8.2913
12.4,2604,141,39.3909,-8.2913
12.5,2617,139,39.3909,-8.2913
12.8,2657,135,39.3909,-8.2913
12.9,2670,134,39.3909,-8.2913
13.0,2683,132,39.3909,-8.2913
13.1,2696,131,39.3909,-8.2913
13.3,2721,128,39.3909,-8.2913
13.4,2733,126,39.3909,-8.2913
13.7,2769,122,39.3909,-8.2913
13.8,2781,121,39.3909,-8.2913
13.9,2793,120,39.3909,-8.2913
14.0,2804,118,39.3909,-8.2913
14.1,2815,117,39.3909,-8.2913
14.2,2826,115,39.3909,-8.2913
14.3,2837,114,39.3909,-8.2913
14.5,2859,111,39.3909,-8.2913
14.6,2870,110,39.3909,-8.2913
14.8,2891,107,39.3909,-8.2913
14.9,2901,106,39.3909,-8.2913
15.0,2911,105,39.3909,-8.2913
15.3,2941,101,39.3909,-8.2913
15.4,2950,99,39.3909,-8.2913
15.5,2960,98,39.3909,-8.2913
15.6,2969,97,39.3909,-8.2913
15.7,2979,96,39.3909,-8.2913
15.8,2988,94,39.3909,-8.2913
15.9,2997,93,39.3909,-8.2913
16.1,3014,90,39.3909,-8.2913
16.3,3031,88,39.3909,-8.2913
16.4,3039,87,39.3909,-8.2913
16.5,3048,85,39.3909,-8.2913
16.7,3064,83,39.3909,-8.2913
16.8,3072,82,39.3909,-8.2913
16.9,3080,80,39.3909,-8.2913
17.0,3087,79,39.3909,-8.2913
17.2,3103,77,39.3909,-8.2913
17.3,3110,76,39.3909,-8.2913
17.4,3118,75,39.3909,-8.2913
17.6,3132,73,39.3909,-8.2913
17.7,3140,71,39.3909,-8.2913
17.8,3147,70,39.3909,-8.2913
17.9,3154,69,39.3909,-8.2913
18.0,3161,68,39.3909,-8.2913
18.1,3168,67,39.3909,-8.2913
18.3,3181,65,39.3909,-8.2913
18.4,3188,64,39.3909,-8.2913
