ts,Ax,Ay,Az,Gx,Gy,Gz,T,P,velocity,q0_estimated,q1_estimated,q2_estimated,q3_estimated,filtered_altitude_AGL,filtered_acceleration
-0.75,,,,,,,,,0.133,1.35,8.63,-4.831,-0.59,0.91,0.028
-0.745,0.0034,-0.5078,0.0649,-0.2801,-1.0504,-0.1401,44.6,99961.0,,,,,,,
-0.74,,,,,,,,,0.149,1.35,8.63,-4.831,-0.59,0.9,0.028
-0.735,0.0039,-0.5059,0.0649,-0.2801,-1.1204,-0.1401,44.6,100001.0,,,,,,,
-0.73,,,,,,,,,0.166,1.35,8.63,-4.831,-0.59,0.91,0.028
-0.725,0.0029,-0.5078,0.0654,-0.2801,-1.0504,-0.1401,44.6,100007.0,,,,,,,
-0.72,,,,,,,,,0.182,1.35,8.63,-4.831,-0.59,0.9,0.028
-0.715,0.0034,-0.5059,0.0664,-0.2101,-1.1204,-0.1401,44.6,99996.0,,,,,,,
-0.71,,,,,,,,,0.198,1.35,8.63,-4.831,-0.59,0.9,0.028
-0.705,0.0044,-0.5078,0.0688,-0.2101,-1.1204,-0.1401,44.6,99963.0,,,,,,,
-0.7,,,,,,,,,0.204,1.35,8.63,-4.831,-0.59,0.48,0.028
-0.695,0.0039,-0.5083,0.0669,-0.2101,-1.1204,-0.1401,44.6,99953.0,,,,,,,
-0.69,,,,,,,,,0.21,1.35,8.63,-4.831,-0.59,0.48,0.028
-0.685,0.0044,-0.5078,0.0654,-0.2801,-1.1905,-0.1401,44.6,99971.0,,,,,,,
-0.68,,,,,,,,,0.225,1.349,8.63,-4.831,-0.59,0.9,0.028
-0.675,0.0034,-0.5083,0.0669,-0.5602,-1.2605,-0.07,44.6,99977.0,,,,,,,
-0.67,,,,,,,,,0.235,1.349,8.63,-4.831,-0.59,0.65,0.028
-0.665,0.0034,-0.5063,0.0654,-0.3501,-1.2605,-0.1401,44.6,99972.0,,,,,,,
-0.66,,,,,,,,,0.233,1.349,8.63,-4.831,-0.59,0.14,0.028
-0.655,0.0029,-0.5078,0.0649,-0.1401,-1.2605,-0.1401,44.6,99979.0,,,,,,,
-0.65,,,,,,,,,0.24,1.349,8.63,-4.831,-0.59,0.56,0.028
-0.645,0.0024,-0.5063,0.063,-0.2801,-1.0504,-0.1401,44.6,99998.0,,,,,,,
-0.64,,,,,,,,,0.238,1.349,8.63,-4.831,-0.59,0.14,0.028
-0.635,0.0039,-0.5063,0.0625,-0.2101,-0.9804,-0.1401,44.6,99994.0,,,,,,,
-0.63,,,,,,,,,0.236,1.349,8.63,-4.831,-0.59,0.14,0.028
-0.625,0.002,-0.5078,0.0635,-0.2101,-0.9104,-0.1401,44.6,99974.0,,,,,,,
-0.62,,,,,,,,,0.234,1.349,8.63,-4.831,-0.59,0.14,0.028
-0.615,0.0054,-0.5073,0.0659,-0.3501,-0.8403,-0.1401,44.6,99995.0,,,,,,,
-0.61,,,,,,,,,0.238,1.349,8.63,-4.831,-0.59,0.4,0.028
-0.605,0.0029,-0.5073,0.0674,-0.3501,-0.9804,-0.1401,44.6,99966.0,,,,,,,
-0.6,,,,,,,,,0.236,1.349,8.63,-4.83,-0.59,0.14,0.028
-0.595,0.0078,-0.5083,0.0684,-0.4902,-1.0504,-0.1401,44.6,99964.0,,,,,,,
-0.59,,,,,,,,,0.234,1.349,8.63,-4.83,-0.59,0.14,0.019
-0.585,0.0024,-0.5078,0.0679,-0.2101,-1.2605,-0.1401,44.6,99980.0,,,,,,,
-0.58,,,,,,,,,0.232,1.349,8.63,-4.83,-0.59,0.14,0.019
-0.575,0.0059,-0.5063,0.0659,0.0,-1.4006,-0.1401,44.6,99981.0,,,,,,,
-0.57,,,,,,,,,0.226,1.349,8.63,-4.83,-0.59,-0.03,0.019
