ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated
-0.75,0.135,0.8630000000000001,-0.48310000000000003,-0.059
-0.74,0.135,0.8630000000000001,-0.48310000000000003,-0.059
-0.73,0.135,0.8630000000000001,-0.48310000000000003,-0.059
-0.72,0.135,0.8630000000000001,-0.48310000000000003,-0.059
-0.71,0.135,0.8630000000000001,-0.48310000000000003,-0.059
-0.7,0.135,0.8630000000000001,-0.48310000000000003,-0.059
-0.69,0.135,0.8630000000000001,-0.48310000000000003,-0.059
-0.68,0.1349,0.8630000000000001,-0.48310000000000003,-0.059
-0.67,0.1349,0.8630000000000001,-0.48310000000000003,-0.059
-0.66,0.1349,0.8630000000000001,-0.48310000000000003,-0.059
-0.65,0.1349,0.8630000000000001,-0.48310000000000003,-0.059
-0.64,0.1349,0.8630000000000001,-0.48310000000000003,-0.059
-0.63,0.1349,0.8630000000000001,-0.48310000000000003,-0.059
-0.62,0.1349,0.8630000000000001,-0.48310000000000003,-0.059
-0.61,0.1349,0.8630000000000001,-0.48310000000000003,-0.059
-0.6,0.1349,0.8630000000000001,-0.483,-0.059
-0.59,0.1349,0.8630000000000001,-0.483,-0.059
-0.58,0.1349,0.8630000000000001,-0.483,-0.059
-0.57,0.1349,0.8630000000000001,-0.483,-0.059
-0.56,0.1348,0.8630000000000001,-0.483,-0.059
-0.55,0.1348,0.8630000000000001,-0.483,-0.059
-0.54,0.1348,0.8630000000000001,-0.483,-0.059
-0.53,0.1348,0.8630000000000001,-0.483,-0.059
-0.52,0.1348,0.8630000000000001,-0.48310000000000003,-0.059
-0.51,0.1348,0.8630000000000001,-0.48310000000000003,-0.059
-0.5,0.1348,0.8631,-0.48310000000000003,-0.059
-0.49,0.1348,0.8631,-0.48310000000000003,-0.059
-0.48,0.1348,0.8631,-0.483,-0.058899999999999994
-0.47,0.1347,0.8631,-0.483,-0.058899999999999994
-0.46,0.1347,0.8631,-0.48310000000000003,-0.058899999999999994
-0.45,0.1347,0.8631,-0.48310000000000003,-0.058899999999999994
-0.44,0.1347,0.8631,-0.48310000000000003,-0.059
-0.43,0.1346,0.8631,-0.48310000000000003,-0.059
-0.42,0.1346,0.8631,-0.48310000000000003,-0.059
-0.41,0.1346,0.8631,-0.48310000000000003,-0.059
-0.4,0.1346,0.8631,-0.48310000000000003,-0.059
-0.39,0.1346,0.8631,-0.48310000000000003,-0.059
-0.38,0.1346,0.8631,-0.48310000000000003,-0.059
-0.37,0.1346,0.8631,-0.48310000000000003,-0.058899999999999994
-0.36,0.1346,0.8631,-0.48310000000000003,-0.058899999999999994
-0.35,0.1346,0.8631,-0.48310000000000003,-0.058899999999999994
-0.34,0.1346,0.8631,-0.48310000000000003,-0.058899999999999994
-0.33,0.1346,0.8631,-0.48310000000000003,-0.058899999999999994
-0.32,0.1345,0.8631,-0.48310000000000003,-0.058899999999999994
-0.31,0.1345,0.8631,-0.48310000000000003,-0.058899999999999994
-0.3,0.1345,0.8631,-0.48310000000000003,-0.058899999999999994
-0.29,0.1345,0.8631,-0.48310000000000003,-0.059
-0.28,0.1345,0.8631,-0.48310000000000003,-0.059
-0.27,0.1345,0.8631,-0.48310000000000003,-0.059
-0.26,0.13440000000000002,0.8631,-0.48310000000000003,-0.059
-0.25,0.13440000000000002,0.8631,-0.48310000000000003,-0.059
-0.24,0.13440000000000002,0.8631,-0.48310000000000003,-0.058899999999999994
-0.23,0.13440000000000002,0.8631,-0.48310000000000003,-0.058899999999999994
-0.22,0.13440000000000002,0.8631,-0.48310000000000003,-0.058899999999999994
-0.21,0.13440000000000002,0.8631,-0.48310000000000003,-0.058899999999999994
-0.2,0.13440000000000002,0.8631,-0.48310000000000003,-0.058899999999999994
-0.19,0.13440000000000002,0.8631,-0.48310000000000003,-0.058899999999999994
-0.18,0.13440000000000002,0.8631,-0.48310000000000003,-0.058899999999999994
-0.17,0.1343,0.8631,-0.48310000000000003,-0.059
-0.16,0.1343,0.8631,-0.48310000000000003,-0.059
-0.15,0.1343,0.8631,-0.48310000000000003,-0.059
-0.14,0.1342,0.8631,-0.48310000000000003,-0.058899999999999994
-0.13,0.1342,0.8631,-0.48310000000000003,-0.0588
-0.12,0.1343,0.8632,-0.483,-0.058699999999999995
-0.11,0.1343,0.8632,-0.483,-0.058499999999999996
-0.1,0.13440000000000002,0.8632,-0.483,-0.058399999999999994
-0.09,0.1345,0.8632,-0.483,-0.0583
-0.08,0.1343,0.8632,-0.483,-0.058199999999999995
-0.07,0.1342,0.8632,-0.483,-0.0581
-0.06,0.1343,0.8632,-0.483,-0.0581
-0.05,0.13440000000000002,0.8632,-0.4829,-0.057999999999999996
-0.04,0.1342,0.8633,-0.483,-0.0581
-0.03,0.1342,0.8632,-0.483,-0.058199999999999995
-0.02,0.1341,0.8633,-0.483,-0.0581
-0.01,0.1341,0.8633,-0.4829,-0.0581
0.0,0.134,0.8633,-0.4829,-0.0583
0.01,1.0,0.0,-0.0004,-0.0001
0.02,0.9999,0.0,-0.0009,-0.0002
0.03,0.9999,0.0,-0.0016,-0.00030000000000000003
0.04,0.9999,0.0,-0.0032,-0.0004
0.05,0.9999,0.0001,-0.0056,-0.0005
0.06,0.9999,0.0001,-0.0081,-0.0006000000000000001
0.07,0.9999,0.0,-0.0106,-0.0006000000000000001
0.08,0.9999,0.0,-0.013300000000000001,-0.0007
0.09,0.9997999999999999,0.0,-0.0155,-0.0007
