ts,voltage
-0.42,6.719
0.58,6.702
1.58,6.719
2.58,6.719
3.58,6.743
4.58,6.727
5.58,6.702
6.58,6.71
7.58,6.685
8.58,6.71
9.58,6.677
10.58,6.743
11.58,6.719
12.58,6.735
13.58,6.735
14.58,6.727
15.58,6.702
16.58,6.71
17.58,6.727
18.58,6.727
19.58,6.727
20.58,6.735
21.58,6.76
22.58,6.719
23.58,6.719
24.58,6.727
25.58,6.743
26.58,6.694
27.58,6.719
28.58,6.76
29.58,6.735
30.58,6.735
31.58,6.71
32.58,6.71
33.58,6.71
34.58,6.685
35.58,6.677
36.58,6.661
37.58,6.661
38.58,6.661
39.58,6.652
40.58,6.661
41.58,6.661
42.58,6.677
43.58,6.669
44.58,6.652
45.58,6.661
46.58,6.661
47.58,6.669
48.58,6.677
49.58,6.694
50.58,6.719
51.58,6.727
52.58,6.694
53.58,6.71
54.58,6.71
55.58,6.702
56.58,6.719
57.58,6.727
58.58,6.71
59.58,6.694
60.58,6.719
61.58,6.719
62.58,6.694
63.58,6.727
64.58,6.71
65.58,6.719
66.58,6.702
67.58,6.694
68.58,6.685
69.58,6.71
70.58,6.719
71.58,6.727
72.58,6.71
73.58,6.694
74.58,6.719
75.58,6.727
76.58,6.727
77.58,6.735
78.58,6.735
79.58,6.752
80.58,6.702
81.58,6.727
82.58,6.702
83.58,6.685
84.58,6.685
85.58,6.677
86.58,6.661
87.58,6.661
88.58,6.661
89.58,6.661
90.58,6.661
91.58,6.652
92.58,6.661
93.58,6.669
94.58,6.652
95.58,6.644
96.58,6.702
97.58,6.685
98.58,6.727
99.58,6.71
100.58,6.719
101.58,6.669
102.58,6.677
103.58,6.735
104.58,6.694
105.58,6.727
106.58,6.71
107.58,6.677
108.58,6.685
109.58,6.727
110.58,6.719
111.58,6.752
112.58,6.743
113.58,6.71
114.58,6.71
115.58,6.71
116.58,6.719
117.58,6.71
118.58,6.727
119.58,6.719
120.58,6.71
121.58,6.727
122.58,6.743
123.58,6.71
124.58,6.727
125.58,6.727
126.58,6.694
127.58,6.685
128.58,6.685
129.58,6.685
130.58,6.661
131.58,6.661
132.58,6.669
133.58,6.669
134.58,6.669
135.58,6.636
136.58,6.652
137.58,6.652
138.58,6.669
139.58,6.669
140.58,6.685
141.58,6.685
142.58,6.677
143.58,6.669
144.58,6.71
145.58,6.685
146.58,6.685
147.58,6.694
148.58,6.735
149.58,6.727
150.58,6.669
151.58,6.727
152.58,6.702
153.58,6.727
154.58,6.735
155.58,6.702
156.58,6.719
157.58,6.719
158.58,6.685
159.58,6.694
160.58,6.727
161.58,6.719
162.58,6.752
163.58,6.735
164.58,6.735
165.58,6.735
166.58,6.71
167.58,6.694
168.58,6.719
169.58,6.71
170.58,6.677
171.58,6.677
172.58,6.661
173.58,6.661
174.58,6.669
175.58,6.669
176.58,6.661
177.58,6.677
