ts,altitude[m],velocity[m/s],latitude,longitude
0.0,4,29,39.3899,-8.2897
0.1,7,39,39.3899,-8.2897
0.2,12,48,39.3899,-8.2897
0.3,17,57,39.3899,-8.2897
0.4,23,66,39.3899,-8.2897
0.5,30,75,39.3899,-8.2897
0.7,47,94,39.3899,-8.2897
0.9,68,112,39.3899,-8.2897
1.0,80,122,39.3899,-8.2897
1.1,92,131,39.3899,-8.2897
1.2,106,141,39.3899,-8.2897
1.4,135,159,39.3899,-8.2897
1.5,152,168,39.3899,-8.2897
1.6,169,177,39.3899,-8.2897
1.7,186,185,39.3899,-8.2897
1.8,205,193,39.3899,-8.2897
2.0,243,207,39.3899,-8.2897
2.1,263,214,39.3899,-8.2897
2.2,283,220,39.3899,-8.2897
2.3,304,227,39.3899,-8.2897
2.4,325,232,39.3899,-8.2897
2.6,369,242,39.3899,-8.2897
2.7,391,247,39.3899,-8.2897
2.8,414,252,39.3899,-8.2897
2.9,437,256,39.3899,-8.2897
3.0,459,259,39.3899,-8.2897
3.2,505,266,39.3899,-8.2897
3.3,527,268,39.3899,-8.2897
3.4,550,270,39.3899,-8.2897
3.5,573,272,39.3899,-8.2897
3.6,596,270,39.3899,-8.2897
3.7,620,267,39.3899,-8.2897
3.9,667,259,39.3899,-8.2897
4.0,692,255,39.3899,-8.2897
4.1,713,250,39.3899,-8.2897
4.2,735,246,39.3899,-8.2897
4.3,759,243,39.3899,-8.2897
4.5,804,236,39.3899,-8.2897
4.6,827,233,39.3899,-8.2897
4.7,850,230,39.3899,-8.2897
4.8,873,228,39.3899,-8.2897
4.9,897,226,39.3899,-8.2897
5.0,920,224,39.3899,-8.2897
5.2,967,220,39.3899,-8.2897
5.4,1015,216,39.3899,-8.2897
5.5,1038,215,39.3899,-8.2897
5.6,1062,213,39.3899,-8.2897
5.9,1131,208,39.3899,-8.2897
6.0,1155,207,39.3899,-8.2897
6.1,1178,206,39.3899,-8.2897
6.2,1201,204,39.3899,-8.2897
6.3,1224,203,39.3899,-8.2897
6.6,1292,199,39.3899,-8.2897
6.7,1314,198,39.3899,-8.2897
6.8,1336,196,39.3899,-8.2897
6.9,1358,195,39.3899,-8.2897
7.0,1379,194,39.3899,-8.2897
7.1,1401,192,39.3899,-8.2897
7.3,1443,190,39.3899,-8.2897
7.4,1463,188,39.3899,-8.2897
7.5,1484,187,39.3899,-8.2897
7.6,1504,186,39.3899,-8.2897
7.7,1525,184,39.3899,-8.2897
7.8,1545,183,39.3899,-8.2897
7.9,1565,182,39.3899,-8.2897
8.0,1584,181,39.3899,-8.2897
8.2,1624,178,39.3899,-8.2897
8.3,1643,177,39.3899,-8.2897
8.4,1663,176,39.3899,-8.2897
8.5,1682,175,39.3899,-8.2897
8.8,1739,171,39.3899,-8.2897
9.0,1776,169,39.3899,-8.2897
9.1,1794,167,39.3899,-8.2897
9.2,1811,166,39.3899,-8.2897
9.3,1828,165,39.3899,-8.2897
9.4,1845,163,39.3899,-8.2897
9.6,1878,160,39.3899,-8.2897
9.8,1911,157,39.3899,-8.2897
9.9,1927,156,39.3899,-8.2897
10.1,1958,153,39.3899,-8.2897
10.2,1973,151,39.3899,-8.2897
10.3,1989,150,39.3899,-8.2897
10.6,2034,145,39.3899,-8.2897
10.7,2048,144,39.3899,-8.2897
10.8,2063,143,39.3899,-8.2897
10.9,2077,141,39.3899,-8.2897
11.1,2105,138,39.3899,-8.2897
11.6,2175,132,39.3899,-8.2897
11.9,2216,128,39.3899,-8.2897
12.4,2280,122,39.3899,-8.2897
12.8,2327,117,39.3899,-8.2897
12.9,2339,115,39.3899,-8.2897
13.0,2350,114,39.3899,-8.2897
13.1,2361,112,39.3899,-8.2897
13.2,2371,111,39.3899,-8.2897
13.3,2382,110,39.3899,-8.2897
13.4,2392,108,39.3899,-8.2897
13.7,2422,104,39.3899,-8.2897
13.8,2432,102,39.3899,-8.2897
13.9,2442,101,39.3899,-8.2897
14.0,2451,100,39.3899,-8.2897
14.1,2461,98,39.3899,-8.2897
14.3,2479,95,39.3899,-8.2897
14.5,2497,93,39.3899,-8.2897
14.8,2524,89,39.3899,-8.2897
15.1,2549,85,39.3899,-8.2897
15.4,2574,81,39.3899,-8.2897
15.5,2581,80,39.3899,-8.2897
15.7,2597,78,39.3899,-8.2897
15.8,2605,77,39.3899,-8.2897
15.9,2612,76,39.3899,-8.2897
16.0,2620,74,39.3899,-8.2897
16.1,2627,73,39.3899,-8.2897
16.2,2635,72,39.3899,-8.2897
16.4,2649,70,39.3899,-8.2897
16.5,2656,69,39.3899,-8.2897
16.6,2663,68,39.3899,-8.2897
16.7,2670,67,39.3899,-8.2897
