ts,Ax,Ay,Az,Gx,Gy,Gz,T,P,velocity,q0_estimated,q1_estimated,q2_estimated,q3_estimated,filtered_altitude_AGL,filtered_acceleration,latitude,longitude,satellites
-0.75,,,,,,,,,-0.067,-8.553,4.73,2.111,0.057,-0.89,-0.01,,,
-0.745,-0.0049,0.4897,-0.0596,1.2605,-1.7507,-0.2801,31.5,100230.0,,,,,,,,,,
-0.74,,,,,,,,,-0.087,-8.553,4.729,2.112,0.057,-0.89,-0.01,39.389984130859375,-8.289515495300293,11.0
-0.735,-0.0049,0.4878,-0.063,1.3305,-1.3305,-0.2801,31.5,100215.0,,,,,,,,,,
-0.73,,,,,,,,,-0.105,-8.553,4.728,2.113,0.056,-0.8,-0.058,,,
-0.725,0.0049,0.4941,-0.0679,1.3305,-2.1008,-0.2801,31.4,100210.0,,,,,,,,,,
-0.72,,,,,,,,,-0.115,-8.553,4.728,2.114,0.055,-0.39,-0.058,,,
-0.715,0.0107,0.4897,-0.0645,1.1905,-2.1008,-0.2101,31.5,100230.0,,,,,,,,,,
-0.71,,,,,,,,,-0.124,-8.553,4.727,2.116,0.054,-0.39,-0.058,,,
-0.705,-0.0127,0.501,-0.0576,1.1204,-0.2801,-0.2101,31.5,100228.0,,,,,,,,,,
-0.7,,,,,,,,,-0.141,-8.553,4.727,2.118,0.053,-0.8,-0.058,,,
-0.695,0.0625,0.4785,-0.0757,1.4006,9.4538,-0.2101,31.5,100230.0,,,,,,,,,,
-0.69,,,,,,,,,-0.154,-8.553,4.726,2.118,0.053,-0.63,-0.058,,,
-0.685,-0.0029,0.4902,-0.0693,1.0504,12.1148,-0.07,31.5,100210.0,,,,,,,,,,
-0.68,,,,,,,,,-0.171,-8.555,4.726,2.111,0.056,-0.8,-0.058,,,
-0.675,0.0073,0.5059,-0.0493,1.1905,13.0252,-0.4902,31.5,100200.0,,,,,,,,,,
-0.67,,,,,,,,,-0.184,-8.558,4.725,2.102,0.061,-0.63,-0.049,,,
-0.665,0.0156,0.4678,-0.04,1.2605,7.7731,-0.6303,31.5,100238.0,,,,,,,,,,
-0.66,,,,,,,,,-0.189,-8.56,4.724,2.093,0.066,-0.3,-0.049,,,
-0.655,0.0176,0.4644,-0.0376,1.3305,1.5406,-0.8403,31.5,100231.0,,,,,,,,,,
-0.65,,,,,,,,,-0.202,-8.562,4.724,2.087,0.07,-0.63,-0.058,,,
