ts,Ax,Ay,Az,Gx,Gy,Gz,T,P,velocity,q0_estimated,q1_estimated,q2_estimated,q3_estimated,filtered_altitude_AGL,filtered_acceleration,latitude,longitude,satellites
-0.75,,,,,,,,,-0.08,-1.904,2.004,-9.575,0.817,0.06,0.019,,,
-0.745,0.0547,0.4888,0.0444,0.7703,-2.3109,-0.3501,32.2,100155.0,,,,,,,,,,
-0.74,,,,,,,,,-0.075,-1.906,2.004,-9.574,0.817,0.06,0.038,,,
-0.735,0.0508,0.5049,0.0278,1.0504,-3.3613,-0.2801,32.2,100149.0,,,,,,,,,,
-0.73,,,,,,,,,-0.069,-1.907,2.004,-9.574,0.816,0.06,0.038,,,
-0.725,0.0586,0.4966,0.0386,0.7703,-3.4314,-0.4202,32.2,100133.0,,,,,,,,,,
-0.72,,,,,,,,,-0.068,-1.91,2.004,-9.574,0.816,-0.11,0.038,,,
-0.715,0.0366,0.5005,0.0449,0.5602,-1.6807,-0.4202,32.2,100142.0,,,,,,,,,,
-0.71,,,,,,,,,-0.067,-1.912,2.005,-9.573,0.815,-0.11,-0.019,,,
-0.705,0.0352,0.5015,0.0771,0.6303,8.0532,-0.2101,32.2,100135.0,,,,,,,,,,
-0.7,,,,,,,,,-0.052,-1.913,2.005,-9.573,0.815,0.47,0.038,,,
-0.695,0.0405,0.5005,0.0576,0.4202,11.2045,-0.2101,32.2,100137.0,,,,,,,,,,
-0.69,,,,,,,,,-0.033,-1.906,2.004,-9.574,0.816,0.73,0.048,,,
-0.685,0.0522,0.5117,0.0801,0.9104,11.4146,0.0,32.2,100126.0,,,,,,,,,,
-0.68,,,,,,,,,-0.014,-1.896,2.003,-9.576,0.818,0.73,0.048,,,
-0.675,0.0562,0.4731,0.0557,1.4006,6.6527,0.0,32.2,100162.0,,,,,,,,,,
-0.67,,,,,,,,,0.004,-1.887,2.002,-9.578,0.82,0.73,0.048,39.389991760253906,-8.289570808410645,12.0
-0.665,0.0679,0.5,0.061,1.5406,1.4006,-0.1401,32.2,100141.0,,,,,,,,,,
