ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated
-0.75,-8.553,4.73,2.111,0.057
-0.74,-8.553,4.729,2.112,0.057
-0.73,-8.553,4.728,2.113,0.056
-0.72,-8.553,4.728,2.114,0.055
-0.71,-8.553,4.727,2.116,0.054
-0.7,-8.553,4.727,2.118,0.053
-0.69,-8.553,4.726,2.118,0.053
-0.68,-8.555,4.726,2.111,0.056
-0.67,-8.558,4.725,2.102,0.061
-0.66,-8.56,4.724,2.093,0.066
-0.65,-8.562,4.724,2.087,0.07
-0.64,-8.563,4.723,2.086,0.071
-0.63,-8.563,4.723,2.086,0.071
-0.62,-8.563,4.722,2.086,0.07
-0.61,-8.564,4.722,2.085,0.071
-0.6,-8.563,4.721,2.089,0.068
-0.59,-8.562,4.721,2.094,0.065
-0.58,-8.561,4.72,2.101,0.061
-0.57,-8.56,4.719,2.105,0.059
-0.56,-8.56,4.719,2.106,0.058
-0.55,-8.56,4.718,2.107,0.057
-0.54,-8.561,4.718,2.107,0.057
-0.53,-8.561,4.717,2.106,0.057
-0.52,-8.562,4.717,2.105,0.058
-0.51,-8.563,4.716,2.102,0.059
-0.5,-8.564,4.716,2.099,0.061
-0.49,-8.564,4.715,2.097,0.062
-0.48,-8.565,4.715,2.094,0.063
-0.47,-8.566,4.714,2.093,0.064
-0.46,-8.566,4.714,2.094,0.064
-0.45,-8.566,4.713,2.096,0.062
-0.44,-8.566,4.712,2.099,0.061
-0.43,-8.566,4.712,2.1,0.06
-0.42,-8.566,4.711,2.101,0.059
-0.41,-8.566,4.711,2.101,0.059
-0.4,-8.566,4.71,2.101,0.058
-0.39,-8.567,4.71,2.101,0.059
-0.38,-8.567,4.709,2.1,0.059
-0.37,-8.567,4.709,2.1,0.059
-0.36,-8.569,4.708,2.097,0.061
-0.35,-8.57,4.708,2.093,0.063
-0.34,-8.571,4.707,2.09,0.065
-0.33,-8.571,4.706,2.09,0.065
-0.32,-8.571,4.706,2.092,0.063
-0.31,-8.57,4.705,2.095,0.061
-0.3,-8.57,4.705,2.099,0.059
-0.29,-8.57,4.704,2.101,0.058
-0.28,-8.57,4.704,2.102,0.057
-0.27,-8.57,4.703,2.101,0.058
-0.26,-8.571,4.703,2.099,0.059
-0.25,-8.572,4.702,2.096,0.06
-0.24,-8.573,4.701,2.095,0.061
-0.23,-8.573,4.701,2.093,0.062
-0.22,-8.574,4.7,2.092,0.063
-0.21,-8.574,4.7,2.091,0.064
-0.2,-8.575,4.699,2.09,0.064
-0.19,-8.575,4.699,2.091,0.063
-0.18,-8.575,4.698,2.093,0.062
-0.17,-8.575,4.697,2.095,0.061
-0.16,-8.574,4.697,2.097,0.06
-0.15,-8.575,4.697,2.097,0.059
-0.14,-8.575,4.697,2.096,0.06
-0.13,-8.576,4.696,2.095,0.06
-0.12,-8.576,4.695,2.094,0.06
-0.11,-8.576,4.695,2.096,0.059
-0.1,-8.575,4.694,2.099,0.058
-0.09,-8.576,4.694,2.098,0.058
-0.08,-8.577,4.694,2.095,0.06
-0.07,-8.577,4.693,2.095,0.06
-0.06,-8.576,4.693,2.098,0.059
-0.05,-8.576,4.693,2.097,0.059
-0.04,-8.578,4.692,2.091,0.062
-0.03,-8.58,4.692,2.088,0.063
-0.02,-8.58,4.692,2.088,0.063
-0.01,-8.581,4.691,2.084,0.065
0.0,-8.582,4.691,2.078,0.068
0.01,10.0,0.0,-0.001,0.0
0.02,9.999,0.0,-0.006,0.001
0.03,9.999,0.001,-0.013,0.002
0.04,9.999,0.002,-0.014,0.002
0.05,9.999,0.003,-0.012,0.002
