ts,voltage
0.15,8.05
1.15,8.091
2.15,8.116
3.15,8.099
4.15,8.083
5.15,8.083
6.15,8.066
7.15,8.091
8.15,8.099
9.15,8.099
10.15,8.075
11.15,8.108
12.15,8.099
13.15,8.058
14.15,8.058
15.15,8.041
16.15,8.025
17.15,8.033
18.15,8.0
19.15,8.017
20.15,8.008
21.15,8.008
22.15,8.0
23.15,7.992
24.15,7.992
25.15,8.0
26.15,7.992
27.15,7.992
28.15,7.992
29.15,7.967
30.15,7.992
31.15,7.975
32.15,7.992
33.15,7.992
34.15,8.041
35.15,8.041
36.15,8.041
37.15,8.041
38.15,8.058
39.15,8.058
40.15,8.066
41.15,8.05
42.15,8.058
43.15,8.05
44.15,8.05
45.15,8.058
46.15,8.083
47.15,8.091
48.15,8.083
49.15,8.066
50.15,8.083
51.15,8.083
52.15,8.041
53.15,8.066
54.15,8.075
55.15,8.099
56.15,8.091
57.15,8.091
58.15,8.05
59.15,8.066
60.15,8.083
61.15,8.075
62.15,8.083
63.15,8.091
64.15,8.091
65.15,8.075
66.15,8.066
67.15,8.116
68.15,8.083
69.15,8.083
70.15,8.116
71.15,8.066
72.15,8.058
73.15,8.091
74.15,8.083
75.15,8.149
76.15,8.091
77.15,8.132
78.15,8.091
79.15,8.075
80.15,8.05
81.15,8.083
82.15,8.05
83.15,8.05
84.15,8.033
85.15,8.033
86.15,8.017
87.15,7.992
88.15,8.0
89.15,8.0
90.15,7.992
91.15,8.008
92.15,7.975
93.15,8.0
94.15,7.975
95.15,8.0
96.15,7.992
97.15,7.984
98.15,7.984
99.15,7.984
100.15,8.0
101.15,7.975
102.15,7.967
103.15,7.942
104.15,7.951
105.15,8.017
106.15,7.992
107.15,8.017
108.15,8.033
109.15,8.025
110.15,8.066
111.15,8.041
112.15,8.025
113.15,8.041
114.15,8.066
115.15,8.041
116.15,8.066
117.15,8.066
118.15,8.05
119.15,8.05
120.15,8.066
121.15,8.058
122.15,8.066
123.15,8.041
124.15,8.033
125.15,8.091
126.15,8.041
127.15,8.041
128.15,8.083
129.15,8.066
130.15,8.083
131.15,8.075
132.15,8.066
133.15,8.075
134.15,8.066
135.15,8.091
136.15,8.075
137.15,8.05
138.15,8.066
139.15,8.091
140.15,8.066
141.15,8.083
142.15,8.058
143.15,8.033
144.15,8.124
145.15,8.108
146.15,8.091
147.15,8.075
148.15,8.091
149.15,8.091
150.15,8.099
151.15,8.091
152.15,8.05
153.15,8.083
154.15,8.091
155.15,8.099
156.15,8.356
157.15,8.058
158.15,8.066
159.15,8.033
160.15,8.017
161.15,8.025
162.15,8.008
163.15,7.992
164.15,7.992
165.15,7.975
166.15,7.984
167.15,7.967
168.15,7.975
169.15,7.959
170.15,7.984
171.15,7.984
172.15,7.984
173.15,7.951
174.15,7.992
175.15,7.959
176.15,7.984
177.15,7.628
178.15,7.951
179.15,7.992
180.15,8.025
181.15,7.992
182.15,8.033
183.15,8.033
184.15,8.025
185.15,8.05
186.15,8.058
187.15,8.033
188.15,8.066
189.15,8.058
190.15,8.058
191.15,8.066
192.15,8.05
193.15,8.041
194.15,8.075
195.15,8.05
196.15,8.033
197.15,8.124
198.15,8.041
199.15,8.041
200.15,8.05
201.15,8.066
202.15,8.05
203.15,8.075
204.15,8.058
205.15,8.041
206.15,8.05
207.15,8.058
208.15,8.075
209.15,8.066
210.15,8.058
211.15,8.066
212.15,8.091
213.15,8.05
214.15,8.058
215.15,8.075
216.15,8.066
217.15,8.05
218.15,8.041
219.15,8.066
220.15,8.066
221.15,8.083
222.15,8.083
223.15,8.041
224.15,8.041
225.15,8.008
226.15,8.008
227.15,8.008
228.15,7.992
229.15,8.0
230.15,7.967
231.15,7.975
232.15,7.975
233.15,7.975
234.15,7.967
235.15,7.967
236.15,7.967
237.15,7.975
238.15,7.967
239.15,7.959
240.15,7.967
241.15,7.967
242.15,7.975
243.15,8.0
244.15,7.967
245.15,8.017
246.15,8.041
247.15,8.066
248.15,8.041
249.15,8.066
250.15,8.033
251.15,8.041
252.15,8.033
253.15,8.033
254.15,8.058
255.15,8.033
256.15,8.041
257.15,8.058
258.15,8.041
259.15,8.091
260.15,8.066
261.15,8.075
262.15,8.041
263.15,8.066
264.15,8.066
265.15,8.05
266.15,8.025
267.15,8.075
268.15,8.083
269.15,8.041
270.15,8.075
271.15,8.041
272.15,8.041
273.15,8.033
