ts,id,T,P
-0.745,BARO0,32.23,100155
-0.735,BARO0,32.22,100149
-0.725,BARO0,32.22,100133
-0.715,BARO0,32.23,100142
-0.705,BARO0,32.21,100135
-0.695,BARO0,32.21,100137
-0.685,BARO0,32.22,100126
-0.675,BARO0,32.22,100162
-0.665,BARO0,32.21,100141
-0.655,BARO0,32.22,100166
-0.645,BARO0,32.22,100149
-0.635,BARO0,32.21,100150
-0.625,BARO0,32.21,100133
-0.615,BARO0,32.24,100147
-0.605,BARO0,32.23,100132
-0.595,BARO0,32.21,100142
-0.585,BARO0,32.23,100166
-0.575,BARO0,32.22,100150
-0.565,BARO0,32.23,100158
-0.555,BARO0,32.23,100155
-0.545,BARO0,32.21,100170
-0.535,BARO0,32.23,100149
-0.525,BARO0,32.22,100142
-0.515,BARO0,32.2,100160
-0.505,BARO0,32.23,100142
-0.495,BARO0,32.21,100164
-0.485,BARO0,32.22,100139
-0.475,BARO0,32.21,100161
-0.465,BARO0,32.23,100136
-0.455,BARO0,32.23,100152
-0.445,BARO0,32.22,100150
-0.435,BARO0,32.21,100174
-0.425,BARO0,32.21,100115
-0.415,BARO0,32.24,100144
-0.405,BARO0,32.22,100150
-0.395,BARO0,32.22,100126
-0.385,BARO0,32.21,100141
-0.375,BARO0,32.22,100154
-0.365,BARO0,32.21,100157
-0.355,BARO0,32.22,100138
-0.345,BARO0,32.21,100154
-0.335,BARO0,32.21,100133
-0.325,BARO0,32.21,100150
-0.315,BARO0,32.21,100121
-0.305,BARO0,32.22,100121
-0.295,BARO0,32.22,100161
-0.285,BARO0,32.22,100157
-0.275,BARO0,32.22,100166
-0.265,BARO0,32.23,100143
-0.255,BARO0,32.24,100159
-0.245,BARO0,32.24,100159
-0.235,BARO0,32.22,100155
-0.225,BARO0,32.22,100156
-0.215,BARO0,32.22,100149
-0.205,BARO0,32.21,100122
-0.195,BARO0,32.22,100137
-0.185,BARO0,32.22,100150
-0.175,BARO0,32.22,100154
-0.165,BARO0,32.22,100147
-0.155,BARO0,32.22,100141
-0.145,BARO0,32.21,100164
-0.135,BARO0,32.21,100142
-0.125,BARO0,32.24,100170
-0.115,BARO0,32.25,100139
-0.105,BARO0,32.23,100162
-0.095,BARO0,32.22,100143
-0.085,BARO0,32.22,100149
-0.075,BARO0,32.22,100097
-0.065,BARO0,32.21,100144
-0.055,BARO0,32.23,100122
-0.045,BARO0,32.23,100116
-0.035,BARO0,32.23,100127
-0.025,BARO0,32.22,100127
-0.015,BARO0,32.24,100154
-0.005,BARO0,32.22,100125
0.005,BARO0,32.23,100181
0.015,BARO0,32.23,100166
0.025,BARO0,32.22,100161
0.035,BARO0,32.23,100140
0.045,BARO0,32.22,100114
0.055,BARO0,32.24,100124
0.065,BARO0,32.21,100133
0.075,BARO0,32.23,100104
0.085,BARO0,32.21,100102
0.095,BARO0,32.22,100100
0.105,BARO0,32.23,100118
0.115,BARO0,32.22,100121
0.125,BARO0,32.22,100115
0.135,BARO0,32.22,100080
0.145,BARO0,32.24,100090
0.155,BARO0,32.23,100090
0.165,BARO0,32.24,100140
0.175,BARO0,32.23,100123
0.185,BARO0,32.24,100110
0.195,BARO0,32.24,100131
0.205,BARO0,32.21,100124
0.215,BARO0,32.22,100126
0.225,BARO0,32.23,100094
0.235,BARO0,32.22,100119
0.245,BARO0,32.22,100095
0.255,BARO0,32.22,100059
0.265,BARO0,32.24,100082
0.275,BARO0,32.23,100096
0.285,BARO0,32.22,100096
0.295,BARO0,32.22,100070
0.305,BARO0,32.21,100060
0.315,BARO0,32.22,100064
0.325,BARO0,32.23,100083
0.335,BARO0,32.23,100060
0.345,BARO0,32.23,100057
0.355,BARO0,32.21,100076
0.365,BARO0,32.21,100075
0.375,BARO0,32.23,100064
0.385,BARO0,32.22,100065
0.395,BARO0,32.23,100045
0.405,BARO0,32.22,100065
0.415,BARO0,32.22,100037
0.425,BARO0,32.23,100028
0.435,BARO0,32.23,100039
0.445,BARO0,32.23,100077
0.455,BARO0,32.24,100025
0.465,BARO0,32.23,99995
0.475,BARO0,32.23,100026
0.485,BARO0,32.22,100013
0.495,BARO0,32.22,100050
0.505,BARO0,32.23,100022
0.515,BARO0,32.22,100021
0.525,BARO0,32.23,100013
0.535,BARO0,32.23,100017
0.545,BARO0,32.24,100034
0.555,BARO0,32.23,100038
0.565,BARO0,32.23,100029
0.575,BARO0,32.24,100024
0.585,BARO0,32.22,100028
0.595,BARO0,32.23,100016
0.605,BARO0,32.24,100032
0.615,BARO0,32.22,100005
0.625,BARO0,32.23,100022
0.635,BARO0,32.23,100013
0.645,BARO0,32.23,100015
0.655,BARO0,32.23,100031
0.665,BARO0,32.23,100023
0.675,BARO0,32.26,100014
0.685,BARO0,32.24,100010
0.695,BARO0,32.23,100001
0.705,BARO0,32.23,100014
0.715,BARO0,32.24,100009
0.725,BARO0,32.22,99998
0.735,BARO0,32.22,99980
0.745,BARO0,32.23,99999
0.755,BARO0,32.24,99973
0.765,BARO0,32.23,99980
0.775,BARO0,32.22,99973
0.785,BARO0,32.23,99971
0.795,BARO0,32.22,99952
0.805,BARO0,32.23,99962
0.815,BARO0,32.24,99985
0.825,BARO0,32.23,99942
0.835,BARO0,32.24,99948
0.845,BARO0,32.24,99996
0.855,BARO0,32.25,99957
0.865,BARO0,32.25,99969
0.875,BARO0,32.24,99941
0.885,BARO0,32.24,99958
0.895,BARO0,32.22,99947
0.905,BARO0,32.23,99930
0.915,BARO0,32.24,99932
0.925,BARO0,32.22,99923
0.935,BARO0,32.25,99937
0.945,BARO0,32.23,99922
0.955,BARO0,32.21,99926
0.965,BARO0,32.24,99929
0.975,BARO0,32.23,99921
0.985,BARO0,32.23,99909
0.995,BARO0,32.22,99915
1.005,BARO0,32.24,99905
1.015,BARO0,32.23,99916
1.025,BARO0,32.24,99874
1.035,BARO0,32.24,99876
1.045,BARO0,32.27,99897
1.055,BARO0,32.24,99918
1.065,BARO0,32.24,99878
1.075,BARO0,32.24,99871
1.085,BARO0,32.23,99856
1.095,BARO0,32.24,99860
1.105,BARO0,32.24,99868
1.115,BARO0,32.25,99847
1.125,BARO0,32.24,99903
1.135,BARO0,32.23,99834
1.145,BARO0,32.24,99847
1.155,BARO0,32.25,99834
1.165,BARO0,32.25,99855
1.175,BARO0,32.22,99891
1.185,BARO0,32.24,99805
1.195,BARO0,32.24,99828
1.205,BARO0,32.25,99839
1.215,BARO0,32.24,99847
1.225,BARO0,32.26,99812
1.235,BARO0,32.23,99808
1.245,BARO0,32.26,99815
1.255,BARO0,32.24,99807
1.265,BARO0,32.25,99788
1.275,BARO0,32.23,99824
1.285,BARO0,32.26,99811
1.295,BARO0,32.24,99761
1.305,BARO0,32.25,99772
1.315,BARO0,32.25,99752
1.325,BARO0,32.24,99762
1.335,BARO0,32.25,99771
1.345,BARO0,32.24,99762
1.355,BARO0,32.23,99750
1.365,BARO0,32.26,99733
1.375,BARO0,32.25,99762
