ts,latitude,longitude,satellites
-0.67,39.389991760253906,-8.289570808410645,12
-0.47,39.389991760253906,-8.289570808410645,12
-0.07,39.389991760253906,-8.289570808410645,12
0.13,39.389991760253906,-8.289570808410645,12
1.03,39.389991760253906,-8.289570808410645,0
2.63,39.38984298706055,-8.289429664611816,0
2.93,39.38982391357422,-8.289420127868652,12
3.13,39.38982391357422,-8.289420127868652,12
3.83,39.38982391357422,-8.289420127868652,0
4.33,39.38941192626953,-8.289182662963867,0
4.43,39.38941192626953,-8.289182662963867,12
4.53,39.38935470581055,-8.289149284362793,12
4.93,39.389217376708984,-8.28908920288086,12
5.13,39.389217376708984,-8.28908920288086,12
5.43,39.38906478881836,-8.289041519165039,0
5.53,39.38898468017578,-8.289022445678711,12
5.93,39.38882064819336,-8.288982391357422,12
6.13,39.38882064819336,-8.288982391357422,12
6.23,39.388736724853516,-8.288959503173828,12
6.33,39.388736724853516,-8.288959503173828,12
6.53,39.38857650756836,-8.28890609741211,0
6.63,39.38857650756836,-8.28890609741211,0
6.83,39.38849639892578,-8.288874626159668,12
7.13,39.38835144042969,-8.288797378540039,12
7.33,39.38827896118164,-8.288759231567383,12
7.53,39.388206481933594,-8.288724899291992,12
8.03,39.388065338134766,-8.28865909576416,12
8.23,39.388065338134766,-8.28865909576416,12
8.33,39.388065338134766,-8.28865909576416,0
8.43,39.3879280090332,-8.28858470916748,0
8.73,39.3879280090332,-8.28858470916748,12
9.03,39.3879280090332,-8.28858470916748,0
13.33,39.38642120361328,-8.287657737731934,0
13.53,39.38636779785156,-8.28763484954834,12
13.93,39.386253356933594,-8.287559509277344,12
14.13,39.386199951171875,-8.287530899047852,12
14.43,39.38615036010742,-8.287503242492676,12
14.63,39.3860969543457,-8.287473678588867,12
15.03,39.385986328125,-8.2874116897583,12
15.33,39.385986328125,-8.2874116897583,12
15.53,39.385826110839844,-8.287318229675293,0
15.93,39.38572692871094,-8.287256240844727,12
16.23,39.38572692871094,-8.287256240844727,12
16.33,39.38572692871094,-8.287256240844727,0
16.63,39.38557052612305,-8.28715991973877,0
16.93,39.385467529296875,-8.287099838256836,12
17.13,39.38541793823242,-8.287068367004395,12
17.33,39.38536834716797,-8.287035942077637,12
17.73,39.38531494140625,-8.287001609802246,12
18.13,39.38516616821289,-8.286910057067871,12
18.33,39.38511657714844,-8.286880493164062,12
18.63,39.385066986083984,-8.286849021911621,12
18.93,39.38496780395508,-8.286785125732422,12
19.13,39.384918212890625,-8.28675365447998,12
19.33,39.38486862182617,-8.286723136901855,12
19.53,39.38481903076172,-8.286691665649414,12
19.93,39.38472366333008,-8.28663158416748,12
20.13,39.384674072265625,-8.286601066589355,12
20.33,39.38462829589844,-8.286571502685547,12
20.63,39.384578704833984,-8.286540985107422,12
20.73,39.3845329284668,-8.286510467529297,12
20.93,39.384483337402344,-8.286479949951172,12
21.13,39.384437561035156,-8.286449432373047,12
21.33,39.38439178466797,-8.286417961120605,12
21.53,39.384342193603516,-8.28638744354248,12
21.93,39.38425064086914,-8.28632640838623,12
22.13,39.38420104980469,-8.286295890808105,12
22.53,39.38410949707031,-8.286234855651855,12
22.93,39.38401794433594,-8.286173820495605,12
23.13,39.383968353271484,-8.28614330291748,12
23.33,39.3839225769043,-8.286112785339355,12
23.53,39.38387680053711,-8.28608226776123,12
23.93,39.383785247802734,-8.28602123260498,12
24.13,39.38373947143555,-8.285991668701172,12
24.53,39.38364791870117,-8.285930633544922,12
24.93,39.3835563659668,-8.285869598388672,12
