ts,altitude[m],velocity[m/s],latitude,longitude
0.0,0,3,39.3899,-8.2895
0.1,0,9,39.3899,-8.2895
0.2,2,16,39.3899,-8.2895
0.3,4,22,39.3899,-8.2895
0.5,9,35,39.3899,-8.2895
0.6,13,41,39.3899,-8.2895
0.8,23,54,39.3899,-8.2894
0.9,29,61,39.3899,-8.2894
1.0,35,67,39.3899,-8.2894
1.1,42,73,39.3899,-8.2894
1.2,50,80,39.3899,-8.2894
1.4,67,93,39.3899,-8.2894
1.5,76,99,39.3899,-8.2894
1.7,97,112,39.3899,-8.2894
2.0,132,130,39.39,-8.2893
2.1,144,135,39.3899,-8.2893
2.6,210,159,39.3899,-8.2892
2.7,224,162,39.3899,-8.2892
2.8,238,166,39.3899,-8.2891
2.9,251,169,39.3899,-8.2891
3.0,265,172,39.3899,-8.2891
3.1,278,174,39.3899,-8.2891
3.2,292,177,39.3899,-8.2891
3.4,319,181,39.3899,-8.289
3.5,333,183,39.3899,-8.2889
3.6,346,185,39.3899,-8.2889
3.7,360,187,39.3899,-8.2889
3.8,376,190,39.3899,-8.2889
3.9,393,192,39.3898,-8.2888
4.1,427,198,39.3898,-8.2888
4.2,444,200,39.3898,-8.2888
4.4,479,205,39.3898,-8.2887
4.5,497,207,39.3897,-8.2887
4.6,515,210,39.3897,-8.2887
6.4,875,208,39.3897,-8.2886
6.6,920,206,39.3897,-8.2886
6.8,965,204,39.3897,-8.2886
6.9,988,203,39.3897,-8.2886
7.0,1012,202,39.3897,-8.2886
7.1,1035,201,39.3897,-8.2886
7.2,1059,200,39.3897,-8.2886
7.4,1106,199,39.3897,-8.2886
7.5,1130,198,39.3891,-8.2879
7.6,1153,197,39.3891,-8.2879
7.7,1177,197,39.3891,-8.2879
7.8,1201,196,39.389,-8.2879
7.9,1224,196,39.389,-8.2878
8.1,1272,195,39.389,-8.2879
8.2,1295,194,39.389,-8.2879
8.4,1342,193,39.3889,-8.288
8.5,1366,193,39.3888,-8.2883
8.6,1389,192,39.3888,-8.2883
8.9,1458,191,39.3887,-8.2881
9.0,1480,191,39.3887,-8.2881
9.1,1503,190,39.3887,-8.2881
9.2,1525,189,39.3887,-8.2881
9.3,1548,189,39.3886,-8.2881
9.5,1591,188,39.3886,-8.2881
9.6,1613,187,39.3886,-8.2881
9.7,1635,186,39.3886,-8.2881
9.8,1656,186,39.3886,-8.2881
10.0,1699,184,39.3885,-8.288
10.1,1720,183,39.3885,-8.288
10.2,1740,183,39.3885,-8.288
10.6,1821,179,39.3884,-8.2879
10.7,1841,178,39.3884,-8.2879
10.9,1879,176,39.3882,-8.2878
11.0,1899,175,39.3882,-8.2878
11.1,1917,174,39.3882,-8.2877
11.3,1955,172,39.3882,-8.2877
11.4,1973,171,39.3882,-8.2877
11.5,1991,170,39.3882,-8.2877
11.6,2009,168,39.3882,-8.2877
11.7,2027,167,39.3882,-8.2877
11.8,2044,166,39.3881,-8.2876
12.0,2078,164,39.3881,-8.2876
12.1,2095,162,39.388,-8.2875
12.2,2112,161,39.388,-8.2875
12.4,2145,158,39.388,-8.2875
12.5,2161,157,39.3879,-8.2874
12.7,2192,154,39.3879,-8.2874
12.9,2223,152,39.3879,-8.2874
13.0,2239,150,39.3879,-8.2874
13.1,2254,149,39.3877,-8.2875
13.2,2268,147,39.3877,-8.2875
13.3,2283,146,39.3877,-8.2875
13.5,2312,143,39.3877,-8.2875
13.6,2326,142,39.3877,-8.2875
13.7,2340,141,39.3877,-8.2875
13.8,2354,139,39.3877,-8.2875
13.9,2367,138,39.3877,-8.2875
14.0,2381,136,39.3877,-8.2875
14.4,2433,131,39.3874,-8.2876
14.5,2446,129,39.3873,-8.2875
14.6,2459,128,39.3873,-8.2875
14.7,2471,126,39.3873,-8.2875
14.8,2483,125,39.3873,-8.2876
14.9,2495,124,39.3873,-8.2876
15.1,2519,121,39.3872,-8.2876
15.2,2531,119,39.3872,-8.2876
15.3,2542,118,39.3872,-8.2876
15.4,2554,117,39.3872,-8.2876
15.5,2565,115,39.3871,-8.2876
15.6,2576,114,39.3871,-8.2876
15.8,2598,111,39.387,-8.2877
15.9,2608,110,39.387,-8.2877
16.0,2619,108,39.387,-8.2877
16.2,2640,106,39.3869,-8.2878
16.3,2650,104,39.3869,-8.2878
16.4,2660,103,39.3869,-8.2878
16.5,2670,102,39.3868,-8.2878
16.8,2698,98,39.3868,-8.2879
16.9,2708,96,39.3867,-8.2879
17.0,2717,95,39.3867,-8.2879
17.1,2726,94,39.3867,-8.2879
17.2,2735,93,39.3867,-8.2879
17.5,2761,89,39.3866,-8.288
17.6,2770,87,39.3866,-8.288
17.7,2778,86,39.3866,-8.288
17.8,2786,85,39.3865,-8.288
18.0,2803,82,39.3865,-8.288
18.2,2818,80,39.3864,-8.2881
18.3,2826,79,39.3863,-8.2881
18.4,2834,77,39.3863,-8.2881
18.5,2841,76,39.3863,-8.2882
18.7,2856,74,39.3863,-8.2882
18.8,2863,73,39.3863,-8.2882
18.9,2870,71,39.3863,-8.2882
19.2,2891,68,39.3863,-8.2882
19.3,2898,67,39.3863,-8.2882
19.4,2904,66,39.3863,-8.2882
19.5,2911,65,39.3863,-8.2882
19.7,2923,62,39.3863,-8.2882
19.8,2929,61,39.3863,-8.2882
19.9,2935,60,39.3863,-8.2882
20.1,2947,58,39.3863,-8.2882
20.2,2953,57,39.3863,-8.2882
20.3,2958,56,39.3863,-8.2882
20.5,2969,54,39.3863,-8.2882
20.6,2975,52,39.3863,-8.2882
20.8,2985,50,39.3863,-8.2882
21.0,2995,48,39.3863,-8.2882
21.1,3000,47,39.3863,-8.2882
21.2,3005,46,39.3863,-8.2882
21.3,3009,45,39.3857,-8.2878
21.4,3014,44,39.3857,-8.2878
21.5,3018,43,39.3857,-8.2878
21.7,3027,41,39.3857,-8.2878
21.8,3031,40,39.3857,-8.2878
21.9,3035,39,39.3857,-8.2878
22.0,3039,38,39.3857,-8.2878
22.1,3043,37,39.3857,-8.2878
22.4,3054,34,39.3854,-8.2878
22.5,3057,33,39.3854,-8.2878
22.6,3061,32,39.3854,-8.2878
22.8,3067,30,39.3854,-8.2878
22.9,3070,29,39.3854,-8.2878
23.0,3073,28,39.3854,-8.2878
23.1,3076,27,39.3852,-8.2877
23.2,3078,26,39.3852,-8.2877
23.3,3081,25,39.3852,-8.2877
23.4,3084,24,39.3852,-8.2877
23.5,3086,23,39.3852,-8.2877
23.6,3088,22,39.3852,-8.2877
23.9,3095,19,39.3851,-8.2876
24.0,3096,18,39.3851,-8.2876
24.1,3098,17,39.3851,-8.2876
24.2,3100,16,39.3851,-8.2876
24.3,3102,15,39.3851,-8.2876
24.4,3103,14,39.3851,-8.2876
24.7,3108,11,39.3851,-8.2876
24.8,3109,11,39.3849,-8.2875
24.9,3110,10,39.3849,-8.2875
25.0,3111,9,39.3849,-8.2875
25.1,3112,8,39.3849,-8.2875
25.2,3113,7,39.3849,-8.2875
25.5,3114,4,39.3849,-8.2875
25.7,3115,2,39.3849,-8.2875
25.8,3115,1,39.3849,-8.2875
25.9,3116,0,39.3846,-8.2873
26.0,3115,0,39.3846,-8.2873
26.3,3115,-1,39.3846,-8.2873
26.6,3114,-2,39.3846,-8.2873
26.8,3117,0,39.3846,-8.2873
26.9,3119,2,39.3846,-8.2873
27.0,3120,3,39.3846,-8.2873
27.2,3122,4,39.3843,-8.2872
27.3,3122,4,39.3843,-8.2872
27.4,3122,3,39.3843,-8.2872
27.5,3121,2,39.3843,-8.2871
27.6,3122,3,39.3843,-8.2871
27.7,3123,3,39.3843,-8.2871
28.0,3119,-1,39.3843,-8.2871
28.1,3117,-2,39.3843,-8.2871
28.3,3113,-5,39.3843,-8.2871
28.5,3110,-7,39.3843,-8.2871
28.6,3108,-9,39.3843,-8.2871
28.7,3106,-10,39.3843,-8.2871
28.9,3103,-11,39.3843,-8.2871
29.0,3102,-10,39.3843,-8.2871
29.1,3101,-10,39.3843,-8.287
29.2,3098,-12,39.3843,-8.287
29.3,3095,-14,39.3843,-8.287
29.7,3088,-14,39.3843,-8.287
29.8,3088,-13,39.3843,-8.287
29.9,3087,-13,39.3843,-8.287
30.0,3085,-13,39.3843,-8.287
30.1,3084,-13,39.3843,-8.287
30.2,3083,-13,39.3843,-8.287
30.4,3080,-13,39.3843,-8.2869
30.5,3079,-13,39.3843,-8.2869
30.6,3079,-11,39.3843,-8.2869
30.8,3078,-10,39.3843,-8.2869
30.9,3077,-10,39.3843,-8.2869
31.0,3076,-10,39.3843,-8.2869
31.2,3072,-12,39.3844,-8.2868
31.3,3070,-13,39.3844,-8.2868
31.4,3068,-13,39.3844,-8.2868
31.5,3066,-14,39.3844,-8.2868
31.7,3062,-15,39.3844,-8.2868
31.8,3058,-17,39.3844,-8.2868
31.9,3055,-18,39.3844,-8.2868
32.0,3053,-18,39.3844,-8.2868
32.2,3051,-17,39.3844,-8.2868
32.3,3049,-17,39.3844,-8.2868
32.4,3048,-16,39.3844,-8.2868
32.5,3048,-15,39.3844,-8.2868
32.6,3047,-15,39.3844,-8.2868
32.8,3045,-14,39.3844,-8.2866
32.9,3044,-13,39.3844,-8.2866
33.0,3042,-13,39.3844,-8.2866
33.1,3041,-13,39.3844,-8.2866
33.2,3040,-13,39.3844,-8.2866
33.3,3039,-12,39.3844,-8.2866
33.4,3037,-13,39.3844,-8.2866
33.8,3025,-19,39.3844,-8.2866
33.9,3022,-20,39.3844,-8.2866
34.0,3021,-19,39.3844,-8.2866
34.1,3021,-17,39.3845,-8.2865
34.2,3021,-16,39.3845,-8.2865
34.3,3020,-15,39.3845,-8.2865
34.7,3014,-14,39.3845,-8.2865
34.8,3013,-14,39.3846,-8.2864
34.9,3012,-13,39.3846,-8.2864
35.0,3012,-13,39.3846,-8.2864
35.1,3008,-15,39.3846,-8.2864
35.2,3004,-17,39.3846,-8.2864
35.5,2996,-19,39.3846,-8.2864
35.6,2995,-18,39.3846,-8.2864
35.7,2995,-17,39.3846,-8.2864
35.8,2994,-16,39.3846,-8.2864
35.9,2995,-14,39.3846,-8.2864
36.0,2994,-13,39.3846,-8.2864
36.1,2994,-12,39.3846,-8.2864
36.3,2993,-11,39.3847,-8.2862
36.4,2991,-11,39.3847,-8.2862
36.6,2987,-13,39.3847,-8.2862
36.8,2982,-15,39.3847,-8.2862
36.9,2980,-16,39.3847,-8.2861
37.1,2975,-17,39.3847,-8.2861
37.2,2972,-18,39.3847,-8.2861
37.3,2970,-19,39.3847,-8.2861
37.4,2967,-19,39.3847,-8.2861
37.5,2965,-20,39.3847,-8.286
37.6,2964,-18,39.3847,-8.286
37.9,2966,-11,39.3847,-8.286
38.0,2966,-11,39.3847,-8.286
38.1,2965,-11,39.3847,-8.286
38.3,2961,-12,39.3847,-8.286
38.4,2959,-13,39.3847,-8.286
38.5,2957,-13,39.3847,-8.286
38.6,2956,-14,39.3847,-8.286
38.8,2953,-13,39.3847,-8.286
38.9,2952,-13,39.3847,-8.286
39.0,2951,-13,39.3847,-8.286
39.1,2948,-14,39.3847,-8.286
39.2,2945,-16,39.3847,-8.286
39.3,2943,-16,39.3847,-8.286
39.5,2943,-13,39.3847,-8.286
39.6,2943,-12,39.3847,-8.286
39.7,2943,-11,39.3847,-8.286
39.8,2941,-11,39.3849,-8.2858
39.9,2939,-12,39.3849,-8.2858
40.3,2935,-12,39.3849,-8.2857
40.4,2933,-12,39.3849,-8.2857
40.5,2932,-12,39.3849,-8.2857
40.6,2931,-12,39.3849,-8.2857
40.8,2928,-13,39.3849,-8.2856
40.9,2926,-13,39.3849,-8.2856
41.0,2924,-13,39.3849,-8.2856
41.2,2920,-15,39.3849,-8.2856
41.3,2917,-16,39.3849,-8.2856
41.4,2914,-17,39.3849,-8.2856
41.5,2911,-19,39.385,-8.2855
41.7,2907,-19,39.385,-8.2855
41.8,2906,-18,39.385,-8.2855
42.0,2904,-16,39.385,-8.2855
42.2,2901,-16,39.385,-8.2855
42.3,2900,-15,39.385,-8.2854
42.6,2896,-15,39.385,-8.2854
42.8,2893,-14,39.385,-8.2854
43.1,2890,-13,39.3851,-8.2854
43.2,2889,-13,39.3851,-8.2854
43.3,2888,-12,39.3851,-8.2853
43.4,2887,-12,39.3851,-8.2853
43.7,2884,-12,39.3851,-8.2853
43.8,2883,-11,39.3851,-8.2853
44.0,2877,-15,39.3851,-8.2853
44.1,2875,-15,39.3851,-8.2853
44.2,2874,-15,39.3851,-8.2853
44.3,2873,-13,39.3851,-8.2852
44.6,2869,-14,39.3851,-8.2852
44.9,2865,-14,39.3851,-8.2852
45.0,2862,-15,39.3851,-8.2852
45.1,2859,-16,39.3851,-8.2852
45.2,2857,-17,39.3851,-8.2852
45.3,2856,-16,39.3851,-8.2852
45.4,2855,-15,39.3851,-8.2852
45.7,2851,-15,39.3851,-8.2852
45.8,2850,-14,39.3851,-8.2852
46.1,2845,-15,39.385,-8.285
46.2,2843,-16,39.385,-8.285
46.3,2840,-17,39.385,-8.2849
46.6,2839,-13,39.385,-8.2849
46.7,2838,-12,39.385,-8.2849
46.8,2838,-12,39.385,-8.2849
46.9,2837,-11,39.385,-8.2849
47.0,2835,-12,39.385,-8.2849
47.1,2834,-12,39.385,-8.2848
