ts,altitude[m],velocity[m/s],latitude,longitude
0.0,0,3,39.3899,-8.2895
0.2,1,14,39.3899,-8.2895
0.3,3,21,39.3899,-8.2895
0.4,6,27,39.3899,-8.2895
0.5,9,33,39.3899,-8.2895
0.6,12,39,39.3899,-8.2895
0.8,21,52,39.3899,-8.2895
0.9,27,58,39.3899,-8.2895
1.0,33,64,39.3899,-8.2895
1.1,40,71,39.3899,-8.2895
1.2,47,77,39.3899,-8.2895
1.3,55,83,39.3899,-8.2895
1.5,72,96,39.3899,-8.2895
1.6,82,102,39.3899,-8.2895
1.8,102,114,39.3899,-8.2895
1.9,113,119,39.3899,-8.2895
2.0,124,125,39.3899,-8.2895
2.2,147,134,39.3899,-8.2895
2.3,159,139,39.3899,-8.2895
2.4,170,143,39.3899,-8.2895
2.5,182,146,39.3899,-8.2895
2.6,194,150,39.3899,-8.2895
2.7,205,153,39.3898,-8.2894
3.0,239,160,39.3898,-8.2894
3.3,271,164,39.3898,-8.2894
3.4,281,166,39.3898,-8.2894
3.5,292,167,39.3898,-8.2894
3.6,302,168,39.3898,-8.2894
3.7,313,169,39.3898,-8.2894
4.0,373,184,39.3898,-8.2894
4.1,395,189,39.3898,-8.2894
4.2,416,194,39.3898,-8.2894
4.3,438,198,39.3898,-8.2894
4.4,460,202,39.3894,-8.2891
4.5,482,207,39.3894,-8.2891
4.8,550,218,39.3893,-8.2891
4.9,573,222,39.3892,-8.2891
5.0,596,225,39.3892,-8.289
5.1,619,228,39.3892,-8.289
5.3,667,234,39.3892,-8.289
5.4,691,236,39.3892,-8.289
5.5,715,237,39.389,-8.289
5.6,739,238,39.3889,-8.289
5.7,764,237,39.3889,-8.289
5.8,788,237,39.3889,-8.289
5.9,813,236,39.3889,-8.289
6.0,838,235,39.3888,-8.2889
6.2,887,232,39.3888,-8.2889
6.4,937,230,39.3887,-8.2889
6.5,962,229,39.3887,-8.2889
6.6,987,228,39.3885,-8.2889
6.9,1062,224,39.3884,-8.2888
7.0,1087,223,39.3884,-8.2888
7.1,1112,222,39.3884,-8.2888
7.2,1136,221,39.3883,-8.2887
7.4,1186,219,39.3882,-8.2887
7.5,1210,218,39.3882,-8.2887
7.7,1259,216,39.3882,-8.2887
7.8,1283,215,39.3881,-8.2886
8.0,1331,213,39.3881,-8.2886
8.1,1354,212,39.388,-8.2886
8.2,1378,211,39.388,-8.2886
8.3,1401,210,39.388,-8.2886
8.5,1447,207,39.3879,-8.2885
8.8,1515,204,39.3879,-8.2885
8.9,1537,203,39.3879,-8.2885
9.0,1559,202,39.3879,-8.2885
9.1,1581,201,39.3879,-8.2885
9.2,1603,199,39.3879,-8.2885
9.3,1625,198,39.3879,-8.2885
9.7,1709,193,39.3879,-8.2885
9.9,1749,191,39.3879,-8.2885
10.0,1769,190,39.3879,-8.2885
10.1,1789,188,39.3879,-8.2885
10.2,1809,187,39.3879,-8.2885
10.3,1828,186,39.3879,-8.2885
10.5,1867,183,39.3879,-8.2885
10.7,1904,180,39.3879,-8.2885
10.8,1923,179,39.3879,-8.2885
10.9,1941,177,39.3879,-8.2885
11.0,1959,176,39.3879,-8.2885
11.1,1977,175,39.3879,-8.2885
11.9,2113,163,39.3879,-8.2885
12.5,2207,154,39.3879,-8.2885
12.9,2266,148,39.3879,-8.2885
13.1,2294,145,39.3879,-8.2885
13.2,2308,143,39.3879,-8.2885
13.3,2322,142,39.3879,-8.2885
13.4,2336,140,39.3864,-8.2876
13.5,2349,139,39.3864,-8.2876
13.6,2363,137,39.3863,-8.2876
13.9,2402,133,39.3863,-8.2875
14.0,2415,131,39.3862,-8.2875
14.1,2427,130,39.3862,-8.2875
14.2,2440,128,39.3862,-8.2875
14.3,2452,127,39.3862,-8.2875
14.5,2476,124,39.3861,-8.2875
14.8,2511,120,39.386,-8.2874
14.9,2523,118,39.386,-8.2874
15.0,2534,117,39.386,-8.2874
15.1,2545,116,39.3859,-8.2874
15.2,2557,114,39.3859,-8.2874
15.3,2568,113,39.3859,-8.2874
15.6,2600,109,39.3858,-8.2873
15.7,2610,107,39.3858,-8.2873
15.8,2620,106,39.3858,-8.2873
15.9,2631,105,39.3857,-8.2872
16.0,2641,103,39.3857,-8.2872
16.2,2661,101,39.3857,-8.2872
16.3,2670,100,39.3857,-8.2872
16.5,2689,97,39.3857,-8.2872
16.7,2708,94,39.3855,-8.2871
16.8,2717,93,39.3855,-8.2871
16.9,2726,92,39.3855,-8.2871
17.0,2735,91,39.3854,-8.2871
17.2,2752,88,39.3854,-8.287
17.4,2769,86,39.3853,-8.287
17.5,2777,84,39.3853,-8.287
17.6,2785,83,39.3853,-8.287
17.7,2793,82,39.3853,-8.287
17.8,2801,81,39.3853,-8.287
17.9,2809,80,39.3853,-8.287
18.3,2840,75,39.3851,-8.2869
18.6,2862,72,39.3851,-8.2868
18.7,2869,70,39.385,-8.2868
18.8,2876,69,39.385,-8.2868
19.0,2889,67,39.3849,-8.2867
19.1,2896,66,39.3849,-8.2867
19.3,2909,64,39.3849,-8.2867
19.4,2915,63,39.3848,-8.2867
19.6,2928,61,39.3848,-8.2866
19.7,2934,60,39.3848,-8.2866
19.8,2940,59,39.3848,-8.2866
20.0,2951,56,39.3847,-8.2866
20.2,2962,54,39.3846,-8.2866
20.3,2968,53,39.3846,-8.2866
20.4,2974,52,39.3846,-8.2865
20.5,2979,51,39.3846,-8.2865
20.7,2990,50,39.3845,-8.2865
20.8,2994,49,39.3845,-8.2865
20.9,2999,48,39.3845,-8.2865
21.0,3004,47,39.3844,-8.2864
21.1,3009,46,39.3844,-8.2864
21.2,3014,45,39.3844,-8.2864
21.3,3019,44,39.3844,-8.2864
21.4,3023,43,39.3843,-8.2864
21.7,3036,40,39.3843,-8.2863
21.8,3040,39,39.3843,-8.2863
21.9,3044,38,39.3842,-8.2863
22.0,3048,37,39.3842,-8.2863
22.1,3051,36,39.3842,-8.2863
22.2,3055,35,39.3842,-8.2862
22.4,3062,33,39.3841,-8.2862
22.5,3066,32,39.3841,-8.2862
22.6,3069,31,39.3841,-8.2862
22.7,3071,30,39.3841,-8.2862
22.8,3074,29,39.384,-8.2862
22.9,3077,28,39.384,-8.2862
23.0,3080,26,39.384,-8.2861
23.2,3085,24,39.3839,-8.2861
23.3,3088,24,39.3839,-8.2861
23.4,3090,23,39.3839,-8.2861
23.5,3092,22,39.3839,-8.2861
23.6,3095,21,39.3838,-8.286
23.7,3097,20,39.3838,-8.286
23.8,3099,19,39.3838,-8.286
24.1,3104,16,39.3837,-8.286
24.2,3106,15,39.3837,-8.2859
24.3,3107,14,39.3837,-8.2859
24.4,3109,13,39.3836,-8.2859
24.5,3110,12,39.3836,-8.2859
24.8,3114,9,39.3836,-8.2859
24.9,3115,8,39.3836,-8.2859
25.0,3116,7,39.3835,-8.2858
25.1,3116,6,39.3835,-8.2858
25.2,3117,6,39.3835,-8.2858
25.3,3118,5,39.3835,-8.2858
25.4,3118,4,39.3834,-8.2858
25.5,3119,3,39.3834,-8.2858
