ts,altitude[m],velocity[m/s],latitude,longitude
0.0,0,7,39.39,-8.2895
0.1,1,14,39.39,-8.2895
0.2,3,20,39.39,-8.2895
0.4,8,34,39.39,-8.2895
0.5,12,41,39.39,-8.2895
0.6,17,49,39.39,-8.2895
0.9,35,72,39.39,-8.2895
1.0,43,81,39.39,-8.2895
1.1,51,89,39.39,-8.2895
1.2,61,98,39.39,-8.2895
1.3,71,106,39.39,-8.2895
1.5,94,124,39.3899,-8.2895
1.6,107,132,39.3899,-8.2895
1.7,121,141,39.3899,-8.2895
1.8,135,149,39.3899,-8.2894
1.9,149,157,39.3899,-8.2894
2.1,180,172,39.3899,-8.2894
2.2,196,178,39.3899,-8.2894
2.4,228,190,39.3899,-8.2894
2.5,245,196,39.3899,-8.2894
2.6,262,201,39.3899,-8.2894
2.7,282,207,39.3899,-8.2894
3.0,383,244,39.3899,-8.2894
3.1,463,289,39.3899,-8.2894
3.2,504,312,39.3899,-8.2894
3.3,556,336,39.3897,-8.2892
3.4,562,331,39.3897,-8.2892
3.5,582,332,39.3897,-8.2892
3.8,671,340,39.3897,-8.2892
3.9,692,337,39.3897,-8.2892
4.0,711,333,39.3897,-8.2892
4.1,729,328,39.3897,-8.2892
4.2,746,324,39.3897,-8.2892
4.4,784,315,39.3897,-8.289
4.5,800,310,39.3897,-8.289
4.6,814,304,39.3897,-8.289
4.7,823,297,39.3897,-8.289
4.8,830,289,39.3897,-8.289
5.1,849,265,39.3898,-8.2889
5.2,854,256,39.3898,-8.2889
5.3,858,248,39.3898,-8.2887
5.4,862,240,39.3898,-8.2887
5.5,865,232,39.3898,-8.2887
5.6,867,224,39.3898,-8.2887
6.0,871,193,39.3898,-8.2887
6.1,870,185,39.3898,-8.2887
6.2,870,178,39.3898,-8.2887
6.3,868,170,39.3897,-8.2886
6.4,866,163,39.3897,-8.2886
6.5,864,155,39.3897,-8.2886
6.8,856,134,39.3897,-8.2886
6.9,853,127,39.3897,-8.2886
7.0,850,121,39.3897,-8.2886
7.1,846,114,39.3897,-8.2886
7.2,842,108,39.3897,-8.2886
7.5,825,88,39.3898,-8.2883
7.6,812,80,39.3898,-8.2883
7.7,792,68,39.3898,-8.2883
7.9,720,36,39.3898,-8.2883
8.0,681,18,39.3898,-8.2883
8.1,669,12,39.3898,-8.2882
8.3,665,6,39.3898,-8.2881
8.4,665,4,39.3898,-8.2881
8.5,664,2,39.3898,-8.2881
8.6,664,1,39.3898,-8.2881
8.7,663,0,39.3898,-8.2881
8.8,663,-1,39.3898,-8.2881
9.0,662,-3,39.3898,-8.2881
9.1,662,-2,39.3898,-8.2881
9.4,662,-2,39.3898,-8.2881
9.5,662,-1,39.3898,-8.2881
9.6,662,-1,39.3898,-8.2881
9.9,662,-1,39.3898,-8.2881
10.0,662,-1,39.3898,-8.2881
10.1,661,-1,39.3898,-8.2881
10.2,661,-2,39.3898,-8.2881
10.3,661,-2,39.3898,-8.2878
10.6,658,-3,39.3898,-8.2878
10.7,657,-4,39.3898,-8.2878
10.8,656,-5,39.3898,-8.2878
10.9,655,-6,39.3898,-8.2878
11.0,653,-6,39.3898,-8.2878
11.4,649,-8,39.3899,-8.2877
11.5,647,-9,39.3899,-8.2877
11.6,645,-10,39.3899,-8.2877
11.7,642,-12,39.3899,-8.2877
11.8,639,-13,39.3899,-8.2877
12.0,636,-14,39.3899,-8.2877
12.1,635,-14,39.3899,-8.2877
12.2,634,-13,39.3899,-8.2877
12.3,632,-13,39.3899,-8.2877
12.4,631,-13,39.3899,-8.2877
12.7,622,-18,39.39,-8.2876
12.8,618,-20,39.39,-8.2876
12.9,614,-22,39.39,-8.2876
13.0,611,-23,39.39,-8.2876
13.1,608,-23,39.39,-8.2876
13.2,606,-23,39.39,-8.2876
13.5,600,-23,39.39,-8.2875
13.6,596,-24,39.39,-8.2875
13.7,592,-26,39.39,-8.2875
13.8,588,-27,39.39,-8.2875
13.9,584,-28,39.39,-8.2875
14.2,573,-30,39.39,-8.2875
14.6,568,-24,39.39,-8.2875
15.0,551,-30,39.39,-8.2875
15.4,526,-41,39.3902,-8.2873
15.7,507,-47,39.3902,-8.2873
16.2,488,-43,39.3902,-8.2873
16.6,477,-37,39.3902,-8.2872
16.7,475,-36,39.3902,-8.2872
16.8,472,-35,39.3902,-8.2872
16.9,469,-34,39.3902,-8.2872
17.0,466,-34,39.3903,-8.2872
17.2,460,-32,39.3903,-8.2872
17.3,458,-31,39.3902,-8.2872
17.4,456,-31,39.3902,-8.2872
17.5,453,-31,39.3902,-8.2872
17.6,449,-31,39.3902,-8.2872
17.8,439,-35,39.3902,-8.2872
17.9,434,-36,39.3902,-8.2872
