ts,altitude[m],velocity[m/s],latitude,longitude
0.0,0,8,39.39,-8.2895
0.1,1,17,39.39,-8.2895
0.2,3,25,39.39,-8.2895
0.3,6,34,39.39,-8.2895
0.4,10,43,39.39,-8.2895
0.5,15,53,39.39,-8.2895
0.7,28,70,39.39,-8.2895
0.8,35,79,39.39,-8.2895
0.9,44,88,39.39,-8.2895
1.0,53,97,39.39,-8.2895
1.1,63,106,39.39,-8.2895
1.2,74,116,39.39,-8.2895
1.4,100,134,39.39,-8.2896
1.5,114,144,39.39,-8.2896
1.6,130,153,39.39,-8.2896
1.7,146,162,39.39,-8.2896
2.0,203,189,39.39,-8.2896
2.1,224,198,39.39,-8.2896
2.2,246,206,39.39,-8.2896
2.3,269,215,39.39,-8.2896
2.4,293,223,39.39,-8.2896
2.6,346,239,39.39,-8.2896
2.7,373,247,39.39,-8.2896
2.8,402,254,39.39,-8.2896
2.9,432,261,39.39,-8.2896
3.0,462,268,39.39,-8.2896
3.1,493,275,39.3901,-8.2898
3.3,558,287,39.3901,-8.2898
3.4,591,293,39.3901,-8.2898
3.5,625,299,39.3901,-8.2898
3.6,660,305,39.3901,-8.2898
3.7,694,310,39.3901,-8.2898
3.8,729,314,39.3901,-8.2898
4.0,798,316,39.3901,-8.2899
4.4,920,305,39.3901,-8.2899
7.0,1477,203,39.3894,-8.2904
7.4,1544,190,39.3894,-8.2904
8.1,1653,171,39.3885,-8.2902
8.2,1668,168,39.3885,-8.2902
8.4,1698,163,39.3885,-8.2902
8.5,1713,161,39.3885,-8.2902
8.6,1727,158,39.3885,-8.2902
8.7,1742,156,39.3885,-8.2902
8.8,1756,154,39.3885,-8.2902
8.9,1770,152,39.3881,-8.2903
9.0,1784,150,39.3881,-8.2903
9.3,1826,144,39.3881,-8.2903
9.4,1840,142,39.3881,-8.2903
9.5,1853,140,39.3881,-8.2903
9.6,1867,138,39.3881,-8.2903
9.7,1880,136,39.3881,-8.2903
9.8,1893,135,39.3881,-8.2903
10.1,1932,130,39.3877,-8.2904
10.2,1945,128,39.3877,-8.2904
10.3,1958,127,39.3877,-8.2905
10.4,1971,125,39.3877,-8.2905
10.5,1983,124,39.3876,-8.2905
10.6,1996,122,39.3876,-8.2905
10.9,2032,118,39.3874,-8.2906
11.1,2057,115,39.3873,-8.2907
11.2,2068,114,39.3873,-8.2907
11.3,2080,113,39.3873,-8.2907
11.4,2092,112,39.3873,-8.2907
11.5,2104,110,39.3872,-8.2907
11.8,2138,107,39.3871,-8.2908
12.1,2172,103,39.3869,-8.2909
12.2,2183,102,39.3869,-8.2909
12.3,2194,101,39.3869,-8.2909
12.4,2204,100,39.3869,-8.2909
12.5,2215,99,39.3868,-8.2909
12.6,2226,98,39.3868,-8.2909
12.8,2247,96,39.3867,-8.2909
13.4,2308,90,39.3865,-8.291
13.9,2356,86,39.3863,-8.2911
14.4,2402,81,39.3862,-8.2911
14.8,2437,77,39.3861,-8.2912
15.2,2470,74,39.386,-8.2912
15.4,2485,72,39.3859,-8.2912
15.6,2501,70,39.3859,-8.2912
15.7,2508,69,39.3859,-8.2912
15.8,2516,68,39.3859,-8.2912
15.9,2523,67,39.3859,-8.2912
16.0,2530,66,39.3859,-8.2912
16.3,2551,64,39.3856,-8.2913
16.4,2558,63,39.3856,-8.2913
17.7,2637,51,39.3855,-8.2912
18.0,2652,48,39.3855,-8.2912
18.1,2657,47,39.3855,-8.2912
18.2,2662,46,39.3855,-8.2912
18.3,2667,45,39.3855,-8.2912
18.5,2676,43,39.3855,-8.2912
18.8,2690,41,39.3855,-8.2912
18.9,2694,40,39.3855,-8.2912
19.0,2698,39,39.3855,-8.2912
19.1,2702,38,39.3855,-8.2912
19.2,2706,37,39.3855,-8.2912
19.3,2710,36,39.3855,-8.2912
19.6,2720,33,39.3855,-8.2912
19.7,2724,32,39.3855,-8.2912
19.8,2727,31,39.3855,-8.2912
19.9,2730,30,39.3855,-8.2912
20.0,2733,29,39.3855,-8.2912
20.4,2745,25,39.3855,-8.2912
20.5,2747,24,39.3855,-8.2912
20.8,2755,22,39.3855,-8.2912
21.1,2762,19,39.3855,-8.2912
21.4,2767,17,39.3855,-8.2912
21.9,2775,12,39.3855,-8.2912
22.0,2777,11,39.3855,-8.2912
22.3,2780,9,39.3855,-8.2912
22.4,2781,8,39.3855,-8.2912
22.5,2782,7,39.3855,-8.2912
22.6,2782,6,39.3855,-8.2912
22.7,2783,5,39.3842,-8.2913
22.9,2784,3,39.3841,-8.2913
23.0,2784,2,39.3841,-8.2913
23.1,2785,1,39.3841,-8.2913
23.2,2785,0,39.3841,-8.2913
23.3,2785,0,39.3841,-8.2913
23.4,2784,-2,39.3841,-8.2913
23.7,2787,0,39.3841,-8.2913
23.8,2789,2,39.3841,-8.2913
24.0,2785,-2,39.3841,-8.2913
24.1,2782,-4,39.3841,-8.2913
24.2,2781,-5,39.3841,-8.2913
24.3,2779,-6,39.3841,-8.2913
24.6,2777,-6,39.3841,-8.2913
24.7,2777,-6,39.3841,-8.2913
24.8,2776,-6,39.3841,-8.2913
24.9,2776,-6,39.3841,-8.2913
25.0,2775,-6,39.3841,-8.2913
25.2,2773,-6,39.3841,-8.2913
25.4,2769,-9,39.3841,-8.2913
25.8,2758,-15,39.3841,-8.2913
26.2,2748,-19,39.3841,-8.2913
26.5,2740,-21,39.3841,-8.2913
26.9,2728,-23,39.3841,-8.2913
27.1,2723,-24,39.3841,-8.2913
27.2,2720,-25,39.3841,-8.2913
27.4,2713,-26,39.3841,-8.2913
27.6,2705,-28,39.3841,-8.2913
27.7,2702,-29,39.3841,-8.2913
27.8,2698,-30,39.3841,-8.2913
28.1,2685,-33,39.3841,-8.2913
28.2,2681,-34,39.3841,-8.2913
28.3,2677,-34,39.3841,-8.2913
