ts,altitude[m],velocity[m/s],latitude,longitude
0.0,11,14,39.3898,-8.29
0.1,13,17,39.3898,-8.29
0.2,15,22,39.3898,-8.29
0.3,18,27,39.3898,-8.29
0.4,21,33,39.3898,-8.29
0.5,24,40,39.3898,-8.29
0.9,46,64,39.3898,-8.29
1.0,53,70,39.3898,-8.29
1.1,60,76,39.3898,-8.29
1.2,68,82,39.3898,-8.29
1.4,86,93,39.3898,-8.29
1.5,97,99,39.3898,-8.29
1.6,107,104,39.3898,-8.29
1.8,131,115,39.3898,-8.29
1.9,144,120,39.3898,-8.29
2.0,157,125,39.3898,-8.29
2.4,212,128,39.3899,-8.2901
3.2,306,118,39.3899,-8.2902
4.5,422,95,39.3905,-8.2901
5.0,453,84,39.3907,-8.2901
5.8,496,68,39.3908,-8.2901
6.0,507,65,39.3908,-8.2901
6.1,513,64,39.3908,-8.2901
6.2,519,63,39.3908,-8.2901
6.4,530,60,39.3912,-8.2896
6.5,536,59,39.3912,-8.2896
6.6,542,58,39.3913,-8.2895
6.7,547,57,39.3913,-8.2895
6.8,553,56,39.3913,-8.2895
8.0,621,47,39.3915,-8.2887
8.6,651,43,39.3915,-8.2881
9.2,677,38,39.3915,-8.288
9.8,701,34,39.3909,-8.2885
10.1,711,31,39.3908,-8.2885
10.6,726,27,39.3906,-8.2885
11.1,740,23,39.3906,-8.2885
11.8,754,16,39.3904,-8.2884
12.2,761,13,39.3904,-8.2884
12.3,762,12,39.3904,-8.2884
12.4,763,11,39.3903,-8.2884
12.5,764,10,39.3903,-8.2884
12.6,765,9,39.3903,-8.2884
12.8,767,8,39.3902,-8.2884
12.9,768,7,39.3902,-8.2884
13.0,769,6,39.3902,-8.2884
13.1,770,5,39.3902,-8.2884
13.2,770,4,39.3902,-8.2884
13.4,771,2,39.3901,-8.2884
13.6,772,1,39.3901,-8.2884
13.8,772,0,39.39,-8.2884
13.9,772,-1,39.39,-8.2884
14.0,772,-2,39.39,-8.2884
14.1,772,-2,39.39,-8.2884
14.2,772,-2,39.39,-8.2884
14.5,771,-2,39.3899,-8.2884
14.6,771,-2,39.3898,-8.2884
14.7,770,-2,39.3898,-8.2884
14.9,769,-3,39.3898,-8.2884
15.1,768,-3,39.3897,-8.2884
15.4,765,-5,39.3897,-8.2884
15.5,763,-6,39.3897,-8.2884
15.6,762,-7,39.3897,-8.2884
15.8,758,-9,39.3895,-8.2885
15.9,756,-10,39.3895,-8.2885
16.0,754,-11,39.3895,-8.2885
16.2,750,-12,39.3895,-8.2885
16.3,749,-13,39.3895,-8.2885
16.4,746,-14,39.3895,-8.2885
16.5,745,-14,39.3895,-8.2885
16.6,743,-15,39.3895,-8.2885
16.9,737,-16,39.3893,-8.2885
17.0,734,-16,39.3892,-8.2886
17.1,732,-17,39.3892,-8.2886
17.2,730,-18,39.3892,-8.2886
17.4,724,-20,39.3891,-8.2886
17.8,710,-24,39.389,-8.2887
17.9,712,-20,39.389,-8.2887
18.0,715,-15,39.389,-8.2887
