ts,altitude[m],velocity[m/s],latitude,longitude
0.0,0,8,39.3902,-8.289
0.2,3,22,39.3902,-8.289
0.4,9,38,39.3902,-8.289
0.5,13,46,39.3902,-8.289
0.6,18,54,39.3902,-8.289
0.7,24,62,39.3902,-8.289
0.9,38,79,39.3902,-8.289
1.0,47,87,39.3902,-8.289
1.1,56,95,39.3902,-8.289
1.3,77,112,39.3902,-8.289
1.4,88,120,39.3902,-8.289
1.5,101,128,39.3902,-8.289
1.6,114,137,39.3902,-8.289
1.7,128,145,39.3902,-8.289
1.8,143,153,39.3902,-8.289
1.9,158,161,39.3902,-8.289
2.0,175,169,39.3902,-8.289
2.1,192,177,39.3902,-8.289
2.2,209,185,39.3902,-8.289
2.4,247,200,39.3902,-8.289
2.5,267,207,39.3902,-8.289
2.7,308,221,39.3902,-8.289
2.8,330,228,39.3902,-8.289
2.9,352,235,39.3902,-8.289
3.1,399,249,39.3902,-8.289
3.2,423,256,39.3902,-8.289
3.3,448,263,39.3902,-8.289
3.5,499,277,39.3902,-8.289
3.6,526,283,39.3902,-8.2891
3.7,554,290,39.3902,-8.2891
3.8,583,297,39.3902,-8.2891
3.9,613,304,39.3902,-8.2891
4.0,643,311,39.3902,-8.2891
4.4,772,337,39.3902,-8.2891
4.5,801,341,39.3902,-8.2891
4.6,834,346,39.3902,-8.2891
4.7,865,350,39.3902,-8.2891
4.8,895,354,39.3902,-8.2891
5.0,956,361,39.3896,-8.289
5.1,987,364,39.3896,-8.289
5.2,1017,367,39.3896,-8.289
5.3,1047,370,39.3896,-8.289
5.4,1078,373,39.3891,-8.2889
5.5,1108,376,39.3891,-8.2889
5.7,1170,381,39.3891,-8.2889
5.8,1201,383,39.3891,-8.2889
6.2,1335,394,39.3891,-8.2889
7.6,1865,415,39.3891,-8.2889
7.9,1992,412,39.3891,-8.2889
8.0,2036,412,39.3891,-8.2889
8.1,2081,411,39.3891,-8.2889
8.4,2221,412,39.3891,-8.2889
8.5,2269,412,39.3891,-8.2889
8.6,2318,413,39.3891,-8.2889
8.7,2368,414,39.3891,-8.2889
8.8,2417,414,39.3891,-8.2889
9.0,2515,414,39.3891,-8.2889
9.1,2565,415,39.3891,-8.2889
9.2,2615,416,39.3891,-8.2889
9.3,2666,416,39.3891,-8.2889
9.5,2766,417,39.3891,-8.2889
9.6,2816,417,39.3891,-8.2889
9.7,2864,417,39.3891,-8.2889
10.0,3010,415,39.3891,-8.2889
