ts,altitude[m],velocity[m/s],latitude,longitude
0.0,0,8,39.3902,-8.289
0.1,1,15,39.3902,-8.289
0.2,3,22,39.3902,-8.289
0.4,9,38,39.3902,-8.289
0.5,13,46,39.3902,-8.289
0.7,24,62,39.3902,-8.289
0.8,31,71,39.3902,-8.289
0.9,38,79,39.3902,-8.289
1.0,47,87,39.3902,-8.289
1.1,56,95,39.3902,-8.289
1.3,77,112,39.3902,-8.289
1.4,88,120,39.3902,-8.289
1.5,101,128,39.3902,-8.289
1.6,114,137,39.3902,-8.289
1.7,128,145,39.3902,-8.289
1.9,158,161,39.3902,-8.289
2.0,175,169,39.3902,-8.289
2.1,192,177,39.3902,-8.289
2.2,209,185,39.3902,-8.289
2.4,247,200,39.3902,-8.289
2.6,287,214,39.3902,-8.289
2.7,308,221,39.3902,-8.289
2.8,330,228,39.3902,-8.289
2.9,352,235,39.3902,-8.289
3.1,399,249,39.3902,-8.289
3.2,423,256,39.3902,-8.289
3.4,473,270,39.3902,-8.289
3.5,499,277,39.3902,-8.289
3.6,526,283,39.3902,-8.2891
3.7,554,290,39.3902,-8.2891
3.8,583,297,39.3902,-8.2891
3.9,613,304,39.3902,-8.2891
4.2,707,325,39.3902,-8.2891
4.3,741,331,39.3902,-8.2891
4.4,772,337,39.3902,-8.2891
4.5,801,341,39.3902,-8.2891
4.6,834,346,39.3902,-8.2891
4.8,895,354,39.3902,-8.2891
4.9,926,358,39.3902,-8.2891
5.0,956,361,39.3896,-8.289
5.1,987,364,39.3896,-8.289
5.2,1017,367,39.3896,-8.289
5.3,1047,370,39.3896,-8.289
5.4,1078,373,39.3891,-8.2889
5.6,1139,378,39.3891,-8.2889
5.7,1170,381,39.3891,-8.2889
5.8,1201,383,39.3891,-8.2889
5.9,1234,386,39.3891,-8.2889
6.2,1335,394,39.3891,-8.2889
6.3,1370,397,39.3891,-8.2889
6.4,1404,399,39.3891,-8.2889
6.5,1439,402,39.3891,-8.2889
6.6,1474,404,39.3891,-8.2889
6.7,1510,407,39.3891,-8.2889
6.9,1585,413,39.3891,-8.2889
7.0,1623,415,39.3891,-8.2889
7.3,1743,417,39.3891,-8.2889
7.4,1783,417,39.3891,-8.2889
7.5,1824,416,39.3891,-8.2889
7.8,1949,413,39.3891,-8.2889
7.9,1992,412,39.3891,-8.2889
8.0,2036,412,39.3891,-8.2889
8.1,2081,411,39.3891,-8.2889
8.2,2126,411,39.3891,-8.2889
8.4,2221,412,39.3891,-8.2889
8.5,2269,412,39.3891,-8.2889
8.8,2417,414,39.3891,-8.2889
8.9,2466,414,39.3891,-8.2889
9.0,2515,414,39.3891,-8.2889
9.2,2615,416,39.3891,-8.2889
9.3,2666,416,39.3891,-8.2889
9.4,2716,417,39.3891,-8.2889
9.6,2816,417,39.3891,-8.2889
9.7,2864,417,39.3891,-8.2889
9.8,2913,416,39.3891,-8.2889
9.9,2962,416,39.3891,-8.2889
10.0,3010,415,39.3891,-8.2889
10.1,3057,415,39.3891,-8.2889
10.2,3105,414,39.3891,-8.2889
10.4,3198,412,39.3891,-8.2889
10.6,3289,409,39.3891,-8.2889
10.7,3335,408,39.3891,-8.2889
10.8,3381,407,39.3891,-8.2889
10.9,3426,406,39.3891,-8.2889
11.0,3472,405,39.3891,-8.2889
11.1,3517,404,39.3891,-8.2889
11.5,3695,399,39.3891,-8.2889
11.6,3738,397,39.3891,-8.2889
11.7,3782,396,39.3891,-8.2889
11.8,3824,394,39.3891,-8.2889
11.9,3867,393,39.3891,-8.2889
12.0,3910,391,39.3891,-8.2889
12.3,4035,386,39.3891,-8.2889
12.4,4076,385,39.3891,-8.2889
12.5,4117,383,39.3891,-8.2889
12.6,4158,381,39.3891,-8.2889
12.7,4198,379,39.3891,-8.2889
12.8,4239,378,39.3891,-8.2889
13.1,4358,373,39.3891,-8.2889
13.2,4397,371,39.3891,-8.2889
13.3,4436,369,39.3891,-8.2889
13.4,4474,367,39.3891,-8.2889
13.5,4512,365,39.3891,-8.2889
13.6,4549,363,39.3891,-8.2889
13.9,4657,356,39.3891,-8.2889
14.0,4696,355,39.3891,-8.2889
14.1,4733,354,39.3891,-8.2889
14.2,4771,353,39.3891,-8.2889
14.4,4842,349,39.3891,-8.2889
14.5,4875,347,39.3891,-8.2889
14.7,4939,341,39.3891,-8.2889
14.8,4970,338,39.3891,-8.2889
14.9,4999,335,39.3891,-8.2889
15.0,5028,332,39.3891,-8.2889
15.1,5056,328,39.3891,-8.2889
15.4,5136,317,39.3891,-8.2889
15.6,5187,309,39.3891,-8.2889
15.7,5211,305,39.3891,-8.2889
15.8,5235,301,39.3891,-8.2889
15.9,5258,297,39.3891,-8.2889
16.0,5281,293,39.3891,-8.2889
16.2,5326,285,39.3891,-8.2889
16.4,5369,277,39.3891,-8.2889
16.5,5390,273,39.3891,-8.2889
16.6,5411,269,39.3891,-8.2889
16.7,5432,266,39.3891,-8.2889
16.8,5452,262,39.3891,-8.2889
16.9,5472,258,39.3891,-8.2889
17.5,5589,237,39.3891,-8.2889
17.6,5607,234,39.3891,-8.2889
17.7,5626,231,39.3891,-8.2889
17.8,5645,228,39.3891,-8.2889
18.0,5682,222,39.3891,-8.2889
18.1,5700,219,39.3891,-8.2889
18.2,5719,217,39.3891,-8.2889
18.4,5755,211,39.3891,-8.2889
18.6,5791,206,39.3891,-8.2889
18.7,5809,204,39.3891,-8.2889
18.8,5827,202,39.3891,-8.2889
18.9,5845,199,39.3891,-8.2889
19.0,5863,197,39.3891,-8.2889
19.1,5881,195,39.3891,-8.2889
19.5,5951,187,39.3891,-8.2889
19.8,6003,182,39.3891,-8.2889
20.0,6037,178,39.3891,-8.2889
20.1,6055,177,39.3891,-8.2889
20.4,6106,172,39.3891,-8.2889
20.5,6123,171,39.3891,-8.2889
20.6,6140,169,39.3891,-8.2889
20.8,6174,167,39.3891,-8.2889
20.9,6191,165,39.3891,-8.2889
21.0,6208,164,39.3891,-8.2889
21.1,6224,163,39.3891,-8.2889
21.2,6241,162,39.3891,-8.2889
21.3,6258,161,39.3891,-8.2889
21.4,6274,159,39.3891,-8.2889
21.6,6308,157,39.3891,-8.2889
21.7,6324,156,39.3891,-8.2889
21.8,6341,155,39.3891,-8.2889
21.9,6357,154,39.3891,-8.2889
22.0,6373,153,39.3891,-8.2889
22.1,6389,152,39.3891,-8.2889
22.4,6438,149,39.3891,-8.2889
22.5,6454,149,39.3891,-8.2889
22.6,6470,148,39.3891,-8.2889
22.7,6486,147,39.3891,-8.2889
22.8,6501,146,39.3891,-8.2889
23.1,6548,143,39.3891,-8.2889
23.2,6564,142,39.3891,-8.2889
23.3,6579,142,39.3891,-8.2889
23.4,6594,141,39.3891,-8.2889
23.6,6625,139,39.3891,-8.2889
24.1,6700,135,39.3891,-8.2889
24.7,6786,130,39.3891,-8.2889
25.0,6828,128,39.3891,-8.2889
25.1,6842,127,39.3891,-8.2889
25.2,6856,126,39.3891,-8.2889
25.3,6870,125,39.3891,-8.2889
25.4,6883,125,39.3891,-8.2889
25.5,6897,124,39.3891,-8.2889
25.7,6924,122,39.3891,-8.2889
25.8,6937,121,39.3891,-8.2889
25.9,6950,120,39.3891,-8.2889
26.0,6963,120,39.3891,-8.2889
26.3,7001,117,39.3891,-8.2889
26.4,7014,116,39.3891,-8.2889
26.6,7039,115,39.3891,-8.2889
26.9,7075,112,39.3891,-8.2889
27.1,7099,110,39.3891,-8.2889
27.2,7111,110,39.3891,-8.2889
27.3,7123,109,39.3891,-8.2889
27.4,7135,108,39.3891,-8.2889
27.6,7158,106,39.3891,-8.2889
27.7,7169,105,39.3891,-8.2889
27.8,7181,104,39.3891,-8.2889
27.9,7192,104,39.3891,-8.2889
28.0,7203,103,39.3891,-8.2889
28.3,7235,100,39.3891,-8.2889
28.4,7246,99,39.3891,-8.2889
28.5,7256,98,39.3891,-8.2889
28.6,7267,97,39.3891,-8.2889
28.7,7277,97,39.3891,-8.2889
28.8,7287,96,39.3891,-8.2889
28.9,7298,95,39.3891,-8.2889
29.0,7308,94,39.3891,-8.2889
29.1,7318,93,39.3891,-8.2889
29.2,7328,92,39.3891,-8.2889
29.3,7337,91,39.3891,-8.2889
29.4,7347,90,39.3891,-8.2889
29.7,7376,88,39.3891,-8.2889
29.9,7394,86,39.3891,-8.2889
30.0,7403,85,39.3891,-8.2889
30.1,7412,84,39.3891,-8.2889
30.3,7430,82,39.3891,-8.2889
30.4,7438,81,39.3891,-8.2889
30.7,7464,79,39.3891,-8.2889
30.8,7472,78,39.3891,-8.2889
30.9,7481,77,39.3891,-8.2889
31.0,7489,76,39.3891,-8.2889
31.1,7497,75,39.3891,-8.2889
31.2,7505,74,39.3891,-8.2889
31.5,7528,72,39.3891,-8.2889
31.6,7535,71,39.3891,-8.2889
31.7,7543,70,39.3891,-8.2889
31.8,7550,69,39.3891,-8.2889
31.9,7557,68,39.3891,-8.2889
32.3,7584,64,39.3891,-8.2889
32.4,7591,63,39.3891,-8.2889
32.6,7604,61,39.3891,-8.2889
32.7,7611,60,39.3891,-8.2889
32.8,7617,59,39.3891,-8.2889
32.9,7623,59,39.3891,-8.2889
33.2,7641,56,39.3891,-8.2889
33.3,7647,55,39.3891,-8.2889
33.4,7653,54,39.3891,-8.2889
33.5,7659,53,39.3891,-8.2889
33.6,7664,52,39.3891,-8.2889
33.9,7680,49,39.3891,-8.2889
34.0,7685,48,39.3891,-8.2889
34.3,7700,46,39.3891,-8.2889
34.4,7705,45,39.3891,-8.2889
34.5,7710,44,39.3891,-8.2889
34.6,7714,43,39.3891,-8.2889
34.9,7727,40,39.3891,-8.2889
35.0,7731,39,39.3891,-8.2889
35.1,7736,39,39.3891,-8.2889
35.2,7740,38,39.3891,-8.2889
35.3,7744,37,39.3891,-8.2889
35.4,7748,36,39.3891,-8.2889
35.8,7762,32,39.3891,-8.2889
36.1,7772,29,39.3891,-8.2889
36.2,7775,29,39.3891,-8.2889
36.3,7778,28,39.3891,-8.2889
36.4,7781,27,39.3891,-8.2889
36.5,7784,26,39.3891,-8.2889
36.6,7786,25,39.3891,-8.2889
36.8,7792,23,39.3891,-8.2889
36.9,7794,22,39.3891,-8.2889
37.0,7796,21,39.3891,-8.2889
37.1,7798,20,39.3891,-8.2889
37.2,7800,19,39.3891,-8.2889
37.3,7802,18,39.3891,-8.2889
37.6,7809,16,39.3891,-8.2889
37.7,7811,16,39.3891,-8.2889
37.9,7814,14,39.3891,-8.2889
38.0,7815,13,39.3891,-8.2889
38.1,7816,11,39.3891,-8.2889
38.4,7820,9,39.3891,-8.2889
38.5,7821,8,39.3891,-8.2889
38.6,7822,7,39.3891,-8.2889
38.7,7822,6,39.3891,-8.2889
38.8,7823,5,39.3891,-8.2889
38.9,7824,4,39.3891,-8.2889
39.0,7824,3,39.3891,-8.2889
39.2,7825,2,39.3891,-8.2889
39.3,7825,1,39.3891,-8.2889
39.4,7825,0,39.3891,-8.2889
39.5,7826,0,39.3891,-8.2889
39.6,7826,-1,39.3891,-8.2889
39.7,7826,-2,39.3891,-8.2889
39.8,7826,-2,39.3891,-8.2889
40.1,7825,-2,39.3891,-8.2889
40.2,7824,-2,39.3891,-8.2889
40.3,7824,-3,39.3891,-8.2889
40.4,7823,-3,39.3891,-8.2889
40.5,7824,-2,39.3891,-8.2889
40.6,7822,-4,39.3891,-8.2889
40.8,7821,-4,39.3891,-8.2889
40.9,7821,-3,39.3891,-8.2889
41.0,7821,-3,39.3891,-8.2889
41.1,7822,-2,39.3891,-8.2889
41.2,7822,-1,39.3891,-8.2889
41.3,7825,1,39.3891,-8.2889
41.4,7829,4,39.3891,-8.2889
41.5,7832,7,39.3891,-8.2889
41.7,7837,10,39.3891,-8.2889
41.8,7838,11,39.3891,-8.2889
41.9,7840,11,39.3891,-8.2889
42.0,7840,11,39.3891,-8.2889
42.2,7840,8,39.3891,-8.2889
42.5,7836,2,39.3891,-8.2889
42.6,7834,0,39.3891,-8.2889
42.7,7832,-2,39.3891,-8.2889
42.8,7828,-5,39.3891,-8.2889
42.9,7825,-7,39.3891,-8.2889
43.0,7822,-10,39.3891,-8.2889
43.3,7813,-15,39.3891,-8.2889
43.4,7810,-17,39.3891,-8.2889
43.5,7806,-19,39.3891,-8.2889
43.6,7801,-22,39.3891,-8.2889
43.7,7796,-25,39.3891,-8.2889
43.8,7790,-28,39.3891,-8.2889
44.0,7776,-36,39.3891,-8.2889
44.1,7769,-39,39.3891,-8.2889
44.2,7762,-43,39.3891,-8.2889
44.3,7754,-46,39.3891,-8.2889
44.4,7747,-49,39.3891,-8.2889
44.6,7734,-51,39.3891,-8.2889
44.7,7730,-50,39.3891,-8.2889
44.8,7726,-49,39.3891,-8.2889
44.9,7723,-47,39.3891,-8.2889
45.0,7719,-46,39.3891,-8.2889
45.3,7710,-42,39.3891,-8.2889
45.4,7706,-41,39.3891,-8.2889
45.5,7702,-41,39.3891,-8.2889
45.6,7697,-42,39.3891,-8.2889
45.7,7691,-44,39.3891,-8.2889
45.8,7685,-46,39.3891,-8.2889
46.1,7668,-48,39.3891,-8.2889
46.2,7664,-47,39.3891,-8.2889
46.3,7660,-46,39.3891,-8.2889
46.4,7656,-46,39.3891,-8.2889
46.5,7652,-45,39.3891,-8.2889
46.6,7646,-46,39.3891,-8.2889
46.8,7635,-48,39.3891,-8.2889
46.9,7628,-50,39.3891,-8.2889
47.0,7623,-51,39.3891,-8.2889
47.1,7617,-51,39.3891,-8.2889
47.2,7611,-52,39.3891,-8.2889
47.3,7605,-53,39.3891,-8.2889
47.6,7588,-54,39.3891,-8.2889
47.7,7583,-53,39.3891,-8.2889
47.8,7580,-51,39.3891,-8.2889
47.9,7576,-49,39.3891,-8.2889
48.0,7573,-48,39.3891,-8.2889
48.3,7559,-47,39.3891,-8.2889
48.4,7553,-48,39.3891,-8.2889
48.6,7537,-54,39.3891,-8.2889
48.7,7529,-57,39.3891,-8.2889
48.8,7518,-62,39.3891,-8.2889
48.9,7508,-66,39.3891,-8.2889
49.1,7492,-68,39.3891,-8.2889
49.2,7484,-69,39.3891,-8.2889
49.3,7476,-70,39.3891,-8.2889
49.4,7468,-71,39.3891,-8.2889
49.5,7459,-73,39.3891,-8.2889
49.6,7453,-72,39.3891,-8.2889
49.8,7438,-72,39.3891,-8.2889
49.9,7431,-72,39.3891,-8.2889
50.0,7424,-72,39.3891,-8.2889
50.1,7417,-72,39.3891,-8.2889
50.2,7410,-72,39.3891,-8.2889
50.4,7394,-73,39.3891,-8.2889
50.5,7387,-73,39.3891,-8.2889
50.7,7369,-76,39.3891,-8.2889
50.8,7360,-77,39.3891,-8.2889
50.9,7352,-77,39.3891,-8.2889
51.0,7343,-78,39.3891,-8.2889
51.3,7319,-78,39.3891,-8.2889
51.4,7314,-76,39.3891,-8.2889
51.5,7307,-76,39.3891,-8.2889
51.6,7300,-74,39.3891,-8.2889
51.7,7293,-75,39.3891,-8.2889
51.8,7285,-75,39.3891,-8.2889
51.9,7278,-74,39.3891,-8.2889
52.2,7254,-75,39.3891,-8.2889
52.3,7243,-79,39.3891,-8.2889
52.4,7233,-81,39.3891,-8.2889
52.5,7226,-80,39.3891,-8.2889
52.6,7216,-82,39.3891,-8.2889
52.9,7197,-76,39.3891,-8.2889
53.0,7187,-79,39.3891,-8.2889
53.1,7178,-80,39.3891,-8.2889
53.2,7169,-81,39.3891,-8.2889
53.3,7159,-82,39.3891,-8.2889
54.4,7063,-84,39.3891,-8.2889
54.5,7056,-82,39.3891,-8.2889
54.6,7049,-81,39.3891,-8.2889
54.7,7043,-79,39.3891,-8.2889
54.8,7039,-75,39.3891,-8.2889
55.2,7001,-83,39.3891,-8.2889
55.3,6991,-84,39.3891,-8.2889
55.4,6983,-84,39.3891,-8.2889
55.5,6972,-86,39.3891,-8.2889
55.6,6959,-91,39.3891,-8.2889
55.8,6935,-96,39.3891,-8.2889
55.9,6925,-96,39.3891,-8.2889
56.0,6915,-96,39.3891,-8.2889
56.1,6906,-96,39.3891,-8.2889
56.2,6896,-96,39.3891,-8.2889
56.3,6885,-97,39.3891,-8.2889
56.6,6856,-97,39.3891,-8.2889
56.7,6846,-98,39.3891,-8.2889
56.9,6823,-101,39.3891,-8.2889
57.0,6811,-102,39.3891,-8.2889
57.1,6797,-106,39.3891,-8.2889
57.4,6768,-104,39.3891,-8.2889
57.5,6758,-103,39.3891,-8.2889
57.6,6746,-105,39.3891,-8.2889
57.7,6733,-107,39.3891,-8.2889
57.8,6722,-107,39.3891,-8.2889
57.9,6707,-111,39.3891,-8.2889
58.1,6690,-106,39.3891,-8.2889
58.2,6685,-101,39.3891,-8.2889
58.3,6674,-102,39.3891,-8.2889
58.4,6665,-100,39.3891,-8.2889
58.5,6656,-99,39.3891,-8.2889
58.8,6627,-98,39.3891,-8.2889
58.9,6617,-98,39.3891,-8.2889
59.0,6607,-98,39.3891,-8.2889
59.1,6595,-101,39.3891,-8.2889
59.2,6584,-102,39.3891,-8.2889
59.5,6554,-100,39.3891,-8.2889
59.6,6550,-95,39.3891,-8.2889
59.8,6531,-94,39.3891,-8.2889
59.9,6516,-100,39.3891,-8.2889
60.0,6500,-106,39.3891,-8.2889
60.1,6487,-108,39.3891,-8.2889
60.3,6465,-109,39.3891,-8.2889
60.4,6453,-109,39.3891,-8.2889
60.5,6439,-112,39.3891,-8.2889
60.6,6431,-110,39.3891,-8.2889
60.7,6423,-107,39.3891,-8.2889
61.0,6391,-107,39.3891,-8.2889
61.1,6379,-108,39.3891,-8.2889
61.2,6368,-108,39.3891,-8.2889
61.3,6357,-108,39.3891,-8.2889
61.4,6349,-106,39.3891,-8.2889
61.5,6340,-104,39.3891,-8.2889
61.9,6297,-105,39.3891,-8.2889
62.0,6290,-102,39.3891,-8.2889
62.1,6290,-92,39.3891,-8.2889
62.2,6277,-96,39.3891,-8.2889
62.3,6261,-102,39.3891,-8.2889
62.6,6228,-103,39.3891,-8.2889
62.7,6223,-97,39.3891,-8.2889
62.8,6205,-105,39.3891,-8.2889
62.9,6188,-112,39.3891,-8.2889
63.1,6165,-112,39.3891,-8.2889
63.2,6152,-114,39.3891,-8.2889
63.4,6127,-116,39.3891,-8.2889
63.5,6117,-114,39.3891,-8.2889
63.6,6101,-119,39.3891,-8.2889
63.7,6087,-121,39.3891,-8.2889
63.8,6072,-124,39.3891,-8.2889
64.1,6036,-122,39.3891,-8.2889
64.2,6025,-121,39.3891,-8.2889
64.3,6014,-120,39.3891,-8.2889
64.4,6004,-118,39.3891,-8.2889
64.5,5994,-116,39.3891,-8.2889
65.0,5943,-110,39.3891,-8.2889
65.1,5936,-106,39.3891,-8.2889
65.2,5928,-103,39.3891,-8.2889
65.3,5921,-99,39.3891,-8.2889
65.4,5912,-99,39.3891,-8.2889
65.5,5897,-104,39.3891,-8.2889
65.7,5876,-104,39.3891,-8.2889
65.8,5869,-101,39.3891,-8.2889
65.9,5865,-94,39.3891,-8.2889
66.0,5864,-85,39.3891,-8.2889
66.1,5856,-86,39.3891,-8.2889
66.4,5812,-101,39.3891,-8.2889
66.5,5806,-96,39.3891,-8.2889
66.6,5799,-95,39.3891,-8.2889
66.7,5792,-92,39.3891,-8.2889
66.8,5782,-93,39.3891,-8.2889
66.9,5770,-95,39.3891,-8.2889
67.2,5733,-102,39.3891,-8.2889
67.3,5724,-101,39.3891,-8.2889
67.4,5714,-101,39.3891,-8.2889
67.5,5703,-101,39.3891,-8.2889
67.6,5690,-104,39.3891,-8.2889
67.9,5639,-121,39.3891,-8.2889
68.0,5631,-117,39.3891,-8.2889
68.1,5617,-120,39.3891,-8.2889
68.2,5603,-122,39.3891,-8.2889
68.3,5585,-127,39.3891,-8.2889
68.6,5549,-124,39.3891,-8.2889
68.7,5540,-120,39.3891,-8.2889
68.8,5526,-122,39.3891,-8.2889
68.9,5512,-124,39.3891,-8.2889
69.1,5485,-126,39.3891,-8.2889
69.4,5449,-124,39.3891,-8.2889
69.5,5437,-123,39.3891,-8.2889
69.6,5426,-123,39.3891,-8.2889
69.7,5414,-122,39.3891,-8.2889
