ts,Ax,Ay,Az,Gx,Gy,Gz,T,P,velocity,q0_estimated,q1_estimated,q2_estimated,q3_estimated,filtered_altitude_AGL,filtered_acceleration,latitude,longitude,satellites
-0.75,,,,,,,,,-0.015,-5.157,7.835,-3.413,-0.594,-0.59,0.048,,,
-0.745,0.0649,-0.5049,0.0132,-0.5602,0.6303,0.4202,39.2,100072.0,,,,,,,,,,
-0.74,,,,,,,,,-0.025,-5.156,7.835,-3.413,-0.594,-0.59,0.048,,,
-0.735,0.0664,-0.5044,0.0142,-0.6303,0.6303,0.4202,39.2,100101.0,,,,,,,,,,
-0.73,,,,,,,,,-0.033,-5.156,7.835,-3.413,-0.594,-0.5,0.048,,,
-0.725,0.063,-0.5059,0.0127,-0.5602,0.5602,0.4202,39.2,100085.0,,,,,,,,,,
-0.72,,,,,,,,,-0.04,-5.156,7.836,-3.413,-0.594,-0.5,0.048,,,
-0.715,0.063,-0.5034,0.0112,-0.6303,0.7003,0.4902,39.2,100114.0,,,,,,,,,,
-0.71,,,,,,,,,-0.046,-5.155,7.836,-3.413,-0.594,-0.42,0.048,,,
-0.705,0.0635,-0.5044,0.0122,-0.5602,0.5602,0.4902,39.2,100114.0,,,,,,,,,,
-0.7,,,,,,,,,-0.053,-5.155,7.836,-3.414,-0.594,-0.5,0.048,,,
-0.695,0.0649,-0.5054,0.0107,-0.5602,0.6303,0.4202,39.2,100106.0,,,,,,,,,,
-0.69,,,,,,,,,-0.071,-5.155,7.836,-3.414,-0.594,-1.0,0.048,,,
-0.685,0.062,-0.5059,0.0103,-0.6303,0.7003,0.4202,39.2,100098.0,,,,,,,,,,
-0.68,,,,,,,,,-0.097,-5.154,7.836,-3.414,-0.594,-1.41,0.048,,,
-0.675,0.064,-0.5059,0.0078,-0.4202,0.4902,0.4202,39.2,100075.0,,,,,,,,,,
-0.67,,,,,,,,,-0.114,-5.154,7.836,-3.414,-0.594,-1.0,0.057,,,
-0.665,0.0649,-0.5039,0.0112,-0.5602,0.5602,0.4902,39.2,100116.0,,,,,,,,,,
-0.66,,,,,,,,,-0.125,-5.154,7.837,-3.414,-0.594,-0.74,0.057,,,
-0.655,0.0635,-0.5039,0.0127,-0.5602,0.4902,0.4202,39.2,100074.0,,,,,,,,,,
-0.65,,,,,,,,,-0.141,-5.154,7.837,-3.414,-0.594,-1.0,0.057,,,
-0.645,0.0645,-0.5044,0.0112,-0.5602,0.4202,0.4902,39.2,100094.0,,,,,,,,,,
-0.64,,,,,,,,,-0.157,-5.153,7.837,-3.414,-0.594,-1.0,0.048,,,
-0.635,0.0649,-0.5044,0.0137,-0.5602,0.5602,0.4902,39.2,100071.0,,,,,,,,,,
-0.63,,,,,,,,,-0.167,-5.153,7.837,-3.414,-0.594,-0.74,0.048,39.3900032043457,-8.289538383483887,12.0
-0.625,0.0659,-0.5039,0.0142,-0.5602,0.6303,0.4202,39.2,100073.0,,,,,,,,,,
-0.62,,,,,,,,,-0.176,-5.153,7.837,-3.414,-0.594,-0.74,0.048,,,
-0.615,0.064,-0.5034,0.0137,-0.5602,0.6303,0.4902,39.2,100125.0,,,,,,,,,,
-0.61,,,,,,,,,-0.179,-5.152,7.837,-3.414,-0.594,-0.4,0.048,,,
-0.605,0.063,-0.5024,0.0127,-0.5602,0.7003,0.4902,39.2,100091.0,,,,,,,,,,
-0.6,,,,,,,,,-0.181,-5.152,7.837,-3.415,-0.594,-0.4,0.048,,,
-0.595,0.063,-0.5034,0.0127,-0.4902,0.6303,0.4902,39.2,100099.0,,,,,,,,,,
-0.59,,,,,,,,,-0.178,-5.152,7.838,-3.415,-0.594,-0.15,0.038,,,
-0.585,0.0625,-0.5054,0.0117,-0.4902,0.9804,0.4902,39.2,100085.0,,,,,,,,,,
-0.58,,,,,,,,,-0.175,-5.152,7.838,-3.415,-0.594,-0.15,0.038,,,
-0.575,0.063,-0.5029,0.0103,-0.4202,0.7703,0.4902,39.2,100095.0,,,,,,,,,,
-0.57,,,,,,,,,-0.172,-5.151,7.838,-3.415,-0.594,-0.15,0.038,,,
-0.565,0.062,-0.5049,0.0117,-0.6303,0.7003,0.4202,39.2,100071.0,,,,,,,,,,
-0.56,,,,,,,,,-0.168,-5.151,7.838,-3.415,-0.594,-0.15,0.038,,,
-0.555,0.0659,-0.5044,0.0117,-0.5602,0.4902,0.4202,39.2,100109.0,,,,,,,,,,
-0.55,,,,,,,,,-0.165,-5.151,7.838,-3.416,-0.594,-0.15,0.038,,,
-0.545,0.0649,-0.5059,0.0098,-0.6303,0.4202,0.4202,39.2,100083.0,,,,,,,,,,
-0.54,,,,,,,,,-0.162,-5.15,7.838,-3.416,-0.594,-0.15,0.038,,,
-0.535,0.0645,-0.5029,0.0127,-0.6303,0.4202,0.4202,39.2,100072.0,,,,,,,,,,
-0.53,,,,,,,,,-0.16,-5.15,7.838,-3.416,-0.594,-0.15,0.038,,,
-0.525,0.064,-0.5059,0.0137,-0.6303,0.4202,0.4202,39.2,100099.0,,,,,,,,,,
-0.52,,,,,,,,,-0.157,-5.15,7.839,-3.416,-0.594,-0.15,0.029,,,
-0.515,0.0645,-0.5044,0.0127,-0.6303,0.5602,0.4202,39.2,100079.0,,,,,,,,,,
-0.51,,,,,,,,,-0.154,-5.149,7.839,-3.416,-0.594,-0.15,0.048,,,
-0.505,0.064,-0.5034,0.0132,-0.5602,0.5602,0.4202,39.2,100080.0,,,,,,,,,,
-0.5,,,,,,,,,-0.14,-5.149,7.839,-3.416,-0.594,0.36,0.048,,,
-0.495,0.0635,-0.5049,0.0142,-0.5602,0.5602,0.4902,39.2,100109.0,,,,,,,,,,
-0.49,,,,,,,,,-0.123,-5.149,7.839,-3.416,-0.594,0.53,0.048,,,
-0.485,0.0625,-0.502,0.0137,-0.6303,0.5602,0.4902,39.2,100070.0,,,,,,,,,,
-0.48,,,,,,,,,-0.106,-5.148,7.839,-3.416,-0.594,0.53,0.048,,,
-0.475,0.0625,-0.5044,0.0117,-0.6303,0.8403,0.4902,39.2,100101.0,,,,,,,,,,
-0.47,,,,,,,,,-0.085,-5.148,7.84,-3.416,-0.594,0.77,0.048,,,
-0.465,0.0615,-0.5044,0.0137,-0.6303,0.7703,0.4202,39.2,100069.0,,,,,,,,,,
-0.46,,,,,,,,,-0.069,-5.148,7.84,-3.416,-0.594,0.53,0.048,,,
-0.455,0.064,-0.5044,0.0122,-0.6303,0.7703,0.4902,39.2,100089.0,,,,,,,,,,
-0.45,,,,,,,,,-0.048,-5.147,7.84,-3.416,-0.594,0.77,0.048,,,
-0.445,0.0645,-0.5049,0.0112,-0.5602,0.7003,0.4202,39.2,100104.0,,,,,,,,,,
-0.44,,,,,,,,,-0.027,-5.147,7.84,-3.416,-0.594,0.77,0.048,,,
-0.435,0.0615,-0.5039,0.0117,-0.6303,0.5602,0.4202,39.2,100109.0,,,,,,,,,,
