ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated
-0.75,-0.5157,0.7835,-0.3413,-0.059399999999999994
-0.74,-0.5156,0.7835,-0.3413,-0.059399999999999994
-0.73,-0.5156,0.7835,-0.3413,-0.059399999999999994
-0.72,-0.5156,0.7836000000000001,-0.3413,-0.059399999999999994
-0.71,-0.5155000000000001,0.7836000000000001,-0.3413,-0.059399999999999994
-0.7,-0.5155000000000001,0.7836000000000001,-0.34140000000000004,-0.059399999999999994
-0.69,-0.5155000000000001,0.7836000000000001,-0.34140000000000004,-0.059399999999999994
-0.68,-0.5154,0.7836000000000001,-0.34140000000000004,-0.059399999999999994
-0.67,-0.5154,0.7836000000000001,-0.34140000000000004,-0.059399999999999994
-0.66,-0.5154,0.7837,-0.34140000000000004,-0.059399999999999994
-0.65,-0.5154,0.7837,-0.34140000000000004,-0.059399999999999994
-0.64,-0.5153,0.7837,-0.34140000000000004,-0.059399999999999994
-0.63,-0.5153,0.7837,-0.34140000000000004,-0.059399999999999994
-0.62,-0.5153,0.7837,-0.34140000000000004,-0.059399999999999994
-0.61,-0.5152,0.7837,-0.34140000000000004,-0.059399999999999994
-0.6,-0.5152,0.7837,-0.3415,-0.059399999999999994
-0.59,-0.5152,0.7838,-0.3415,-0.059399999999999994
-0.58,-0.5152,0.7838,-0.3415,-0.059399999999999994
-0.57,-0.5151,0.7838,-0.3415,-0.059399999999999994
-0.56,-0.5151,0.7838,-0.3415,-0.059399999999999994
-0.55,-0.5151,0.7838,-0.3416,-0.059399999999999994
-0.54,-0.515,0.7838,-0.3416,-0.059399999999999994
-0.53,-0.515,0.7838,-0.3416,-0.059399999999999994
-0.52,-0.515,0.7839,-0.3416,-0.059399999999999994
-0.51,-0.5149,0.7839,-0.3416,-0.059399999999999994
-0.5,-0.5149,0.7839,-0.3416,-0.059399999999999994
-0.49,-0.5149,0.7839,-0.3416,-0.059399999999999994
-0.48,-0.5147999999999999,0.7839,-0.3416,-0.059399999999999994
-0.47,-0.5147999999999999,0.784,-0.3416,-0.059399999999999994
-0.46,-0.5147999999999999,0.784,-0.3416,-0.059399999999999994
-0.45,-0.5147,0.784,-0.3416,-0.059399999999999994
-0.44,-0.5147,0.784,-0.3416,-0.059399999999999994
-0.43,-0.5147,0.784,-0.3417,-0.059399999999999994
-0.42,-0.5146,0.784,-0.3417,-0.059399999999999994
-0.41,-0.5146,0.7841,-0.3417,-0.059399999999999994
-0.4,-0.5146,0.7841,-0.3417,-0.059399999999999994
-0.39,-0.5145,0.7841,-0.3417,-0.059399999999999994
-0.38,-0.5145,0.7841,-0.3417,-0.059399999999999994
-0.37,-0.5145,0.7841,-0.3417,-0.059399999999999994
-0.36,-0.5145,0.7841,-0.3417,-0.0595
-0.35,-0.5144,0.7842,-0.3417,-0.0595
-0.34,-0.5144,0.7842,-0.3417,-0.059399999999999994
-0.33,-0.5143,0.7842,-0.3417,-0.059399999999999994
-0.32,-0.5143,0.7842,-0.3418,-0.059399999999999994
