ts,voltage
-0.44,8.141
0.56,8.099
1.56,8.083
2.56,8.149
3.56,8.124
4.56,8.116
5.56,8.075
6.56,8.083
7.56,8.091
8.56,8.083
9.56,8.083
10.56,8.124
11.56,8.091
12.56,8.157
13.56,8.108
14.56,8.132
15.56,8.066
16.56,8.099
17.56,8.124
18.56,8.099
19.56,8.141
20.56,8.099
21.56,8.091
22.56,8.116
23.56,8.099
24.56,8.124
25.56,8.108
26.56,8.058
27.56,8.091
28.56,8.124
29.56,8.058
30.56,8.075
31.56,8.124
32.56,8.132
33.56,8.108
34.56,8.066
35.56,8.157
36.56,8.083
37.56,8.141
38.56,8.066
39.56,8.116
40.56,8.083
41.56,8.116
42.56,8.099
43.56,8.116
44.56,8.124
45.56,8.108
46.56,8.099
47.56,8.132
48.56,8.174
49.56,8.075
50.56,8.083
51.56,8.108
52.56,8.108
53.56,8.091
54.56,8.091
55.56,8.132
56.56,8.116
57.56,8.091
58.56,8.075
59.56,8.075
60.56,8.058
61.56,8.058
62.56,8.066
63.56,8.075
64.56,8.058
65.56,8.066
66.56,8.058
67.56,8.033
68.56,8.033
69.56,8.033
70.56,8.025
71.56,8.041
72.56,8.05
73.56,8.025
74.56,8.017
75.56,8.041
76.56,8.025
77.56,8.041
78.56,8.033
79.56,8.017
80.56,8.041
81.56,8.017
82.56,8.017
83.56,8.017
84.56,8.025
85.56,8.033
86.56,8.008
87.56,8.025
88.56,8.033
89.56,8.05
90.56,8.025
91.56,8.091
92.56,8.083
93.56,8.041
94.56,8.075
95.56,8.091
96.56,8.05
97.56,8.066
98.56,8.075
99.56,8.108
100.56,8.157
101.56,8.083
102.56,8.066
103.56,8.083
104.56,8.075
105.56,8.066
106.56,8.091
107.56,8.116
108.56,8.075
109.56,8.099
110.56,8.099
111.56,8.141
112.56,8.075
113.56,8.075
114.56,8.066
115.56,8.066
116.56,8.091
117.56,8.058
118.56,8.066
119.56,8.075
120.56,8.075
121.56,8.066
122.56,8.108
123.56,8.017
124.56,8.099
125.56,8.066
126.56,8.099
127.56,8.124
128.56,8.083
129.56,8.075
130.56,8.083
131.56,8.099
132.56,8.124
133.56,8.058
134.56,8.091
135.56,8.091
136.56,8.116
137.56,8.091
138.56,8.083
139.56,8.083
140.56,8.099
141.56,8.116
142.56,8.083
