ts,altitude[m],velocity[m/s],latitude,longitude
0.0,0,5,39.39,-8.2895
0.1,1,10,39.39,-8.2895
0.2,2,15,39.39,-8.2895
0.3,4,21,39.39,-8.2895
0.4,6,28,39.39,-8.2895
0.5,9,34,39.39,-8.2895
0.8,23,55,39.3899,-8.2895
0.9,29,62,39.3899,-8.2895
1.0,35,70,39.3899,-8.2895
1.1,43,78,39.3899,-8.2894
1.2,51,86,39.3899,-8.2894
1.4,70,102,39.3899,-8.2894
1.5,81,110,39.3899,-8.2894
1.6,92,119,39.3899,-8.2894
1.7,104,128,39.3899,-8.2894
1.8,118,137,39.3899,-8.2894
1.9,132,146,39.3899,-8.2894
2.2,179,172,39.3898,-8.2892
2.3,196,181,39.3898,-8.2892
2.4,215,190,39.3897,-8.2891
2.5,234,199,39.3897,-8.2891
2.6,254,208,39.3896,-8.2891
2.9,318,233,39.3896,-8.2891
3.0,341,242,39.3895,-8.289
3.1,365,250,39.3895,-8.289
3.2,390,257,39.3895,-8.2889
3.3,415,265,39.3895,-8.2889
3.5,468,277,39.3894,-8.2889
3.7,522,287,39.3894,-8.2888
4.0,607,297,39.3893,-8.2888
4.4,723,299,39.3891,-8.2886
4.9,856,282,39.3889,-8.2886
5.5,1004,258,39.3887,-8.2885
5.9,1098,243,39.3887,-8.2885
6.3,1189,230,39.3883,-8.2885
6.4,1208,226,39.3882,-8.2884
6.5,1228,222,39.3882,-8.2884
6.6,1249,218,39.3882,-8.2884
6.7,1271,216,39.3882,-8.2884
6.9,1315,211,39.3882,-8.2884
7.0,1335,208,39.3882,-8.2884
7.1,1356,205,39.3882,-8.2884
7.2,1376,203,39.3882,-8.2884
7.3,1396,200,39.3882,-8.2884
7.4,1417,198,39.3882,-8.2884
7.6,1457,193,39.3882,-8.2884
7.7,1477,191,39.3882,-8.2884
7.8,1498,189,39.3882,-8.2884
7.9,1518,187,39.3882,-8.2884
8.0,1538,185,39.3882,-8.2884
8.2,1579,182,39.3882,-8.2884
8.3,1599,181,39.3882,-8.2884
8.4,1619,179,39.3882,-8.2884
8.5,1639,178,39.3882,-8.2884
8.6,1659,176,39.3882,-8.2884
8.8,1699,174,39.3882,-8.2884
8.9,1718,172,39.3882,-8.2884
9.0,1738,171,39.3882,-8.2884
9.1,1757,170,39.3882,-8.2884
9.2,1776,169,39.3882,-8.2884
9.4,1815,167,39.3882,-8.2884
9.7,1871,163,39.3882,-8.2884
10.0,1926,160,39.3882,-8.2884
10.1,1944,159,39.3882,-8.2884
10.2,1962,158,39.3882,-8.2884
10.3,1980,157,39.3882,-8.2884
10.4,1997,156,39.3882,-8.2884
10.5,2014,155,39.3882,-8.2884
10.7,2048,152,39.3882,-8.2884
10.8,2065,151,39.3868,-8.2881
10.9,2082,150,39.3868,-8.2881
11.0,2098,149,39.3868,-8.2881
11.1,2114,148,39.3868,-8.2881
11.3,2146,145,39.3868,-8.2881
11.4,2161,144,39.3868,-8.2881
11.6,2192,142,39.3868,-8.2881
11.7,2207,141,39.3868,-8.2881
11.8,2222,139,39.3868,-8.2881
12.1,2265,136,39.3868,-8.2881
12.2,2279,134,39.3868,-8.2881
12.3,2293,133,39.3868,-8.2881
12.5,2321,130,39.3868,-8.2881
12.6,2334,129,39.3868,-8.2881
12.7,2347,128,39.3868,-8.2881
12.9,2373,125,39.3868,-8.2881
13.0,2386,124,39.3868,-8.2881
13.1,2398,122,39.3868,-8.2881
13.2,2411,121,39.3868,-8.2881
13.3,2423,120,39.3868,-8.2881
13.7,2470,115,39.3868,-8.2881
13.8,2482,113,39.3868,-8.2881
13.9,2493,112,39.3868,-8.2881
14.1,2515,109,39.3868,-8.2881
