ts,id,T,P
-0.755,BARO0,48.79,100156
-0.745,BARO0,48.78,100165
-0.735,BARO0,48.78,100157
-0.725,BARO0,48.79,100154
-0.715,BARO0,48.78,100146
-0.705,BARO0,48.78,100146
-0.695,BARO0,48.78,100154
-0.685,BARO0,48.79,100154
-0.675,BARO0,48.78,100141
-0.665,BARO0,48.8,100134
-0.655,BARO0,48.78,100162
-0.645,BARO0,48.78,100154
-0.635,BARO0,48.78,100146
-0.625,BARO0,48.78,100133
-0.615,BARO0,48.79,100148
-0.605,BARO0,48.78,100140
-0.595,BARO0,48.78,100149
-0.585,BARO0,48.79,100150
-0.575,BARO0,48.78,100140
-0.565,BARO0,48.79,100168
-0.555,BARO0,48.78,100156
-0.545,BARO0,48.79,100143
-0.535,BARO0,48.79,100148
-0.525,BARO0,48.8,100143
-0.515,BARO0,48.79,100146
-0.505,BARO0,48.78,100148
-0.495,BARO0,48.79,100156
-0.485,BARO0,48.78,100144
-0.475,BARO0,48.79,100158
-0.465,BARO0,48.78,100165
-0.455,BARO0,48.78,100155
-0.445,BARO0,48.78,100140
-0.435,BARO0,48.79,100161
-0.425,BARO0,48.78,100160
-0.415,BARO0,48.79,100148
-0.405,BARO0,48.78,100154
-0.395,BARO0,48.79,100148
-0.385,BARO0,48.79,100160
-0.375,BARO0,48.78,100132
-0.365,BARO0,48.78,100148
-0.355,BARO0,48.78,100152
-0.345,BARO0,48.78,100159
-0.335,BARO0,48.8,100144
-0.325,BARO0,48.8,100144
-0.315,BARO0,48.78,100153
-0.305,BARO0,48.78,100155
-0.295,BARO0,48.79,100148
-0.285,BARO0,48.79,100135
-0.275,BARO0,48.77,100147
-0.265,BARO0,48.79,100143
-0.255,BARO0,48.77,100164
-0.245,BARO0,48.79,100167
-0.235,BARO0,48.79,100141
-0.225,BARO0,48.79,100145
-0.215,BARO0,48.79,100149
-0.205,BARO0,48.79,100153
-0.195,BARO0,48.79,100159
-0.185,BARO0,48.77,100140
-0.175,BARO0,48.77,100136
-0.165,BARO0,48.78,100120
-0.155,BARO0,48.78,100145
-0.145,BARO0,48.79,100117
-0.135,BARO0,48.78,100145
-0.125,BARO0,48.8,100141
-0.115,BARO0,48.78,100219
-0.105,BARO0,48.79,100174
-0.095,BARO0,48.78,100211
-0.085,BARO0,48.79,100254
-0.075,BARO0,48.79,100274
-0.065,BARO0,48.79,100294
-0.055,BARO0,48.78,100262
-0.045,BARO0,48.79,100211
-0.035,BARO0,48.79,100159
-0.025,BARO0,48.79,100142
-0.015,BARO0,48.79,100119
-0.005,BARO0,48.8,100125
0.005,BARO0,48.78,100124
0.015,BARO0,48.78,100138
0.025,BARO0,48.78,100128
0.035,BARO0,48.77,100141
0.045,BARO0,48.8,100147
0.055,BARO0,48.8,100139
0.065,BARO0,48.79,100136
0.075,BARO0,48.77,100132
0.085,BARO0,48.79,100137
0.095,BARO0,48.79,100134
0.105,BARO0,48.79,100119
0.115,BARO0,48.79,100132
0.125,BARO0,48.77,100112
0.135,BARO0,48.8,100135
0.145,BARO0,48.78,100124
0.155,BARO0,48.78,100111
0.165,BARO0,48.79,100130
0.175,BARO0,48.79,100097
0.185,BARO0,48.78,100091
0.195,BARO0,48.78,100093
0.205,BARO0,48.79,100099
0.215,BARO0,48.78,100097
0.225,BARO0,48.78,100099
0.235,BARO0,48.8,100107
0.245,BARO0,48.8,100098
0.255,BARO0,48.79,100120
0.265,BARO0,48.78,100083
0.275,BARO0,48.79,100055
0.285,BARO0,48.78,100081
0.295,BARO0,48.78,100062
0.305,BARO0,48.78,100069
0.315,BARO0,48.78,100040
0.325,BARO0,48.78,100047
0.335,BARO0,48.78,100059
0.345,BARO0,48.8,100045
0.355,BARO0,48.78,100030
0.365,BARO0,48.78,100034
0.375,BARO0,48.79,100029
0.385,BARO0,48.78,100017
0.395,BARO0,48.78,100036
0.405,BARO0,48.78,100020
0.415,BARO0,48.78,100007
0.425,BARO0,48.79,100021
0.435,BARO0,48.78,100018
0.445,BARO0,48.78,100018
0.455,BARO0,48.77,99988
0.465,BARO0,48.78,99995
0.475,BARO0,48.77,99976
0.485,BARO0,48.78,99984
0.495,BARO0,48.78,99974
0.505,BARO0,48.77,99979
0.515,BARO0,48.77,99975
0.525,BARO0,48.77,99966
0.535,BARO0,48.78,99942
0.545,BARO0,48.78,99938
0.555,BARO0,48.78,99936
0.565,BARO0,48.76,99931
0.575,BARO0,48.77,99956
0.585,BARO0,48.78,99928
0.595,BARO0,48.77,99921
0.605,BARO0,48.77,99910
0.615,BARO0,48.77,99909
0.625,BARO0,48.77,99907
0.635,BARO0,48.8,99885
0.645,BARO0,48.79,99888
0.655,BARO0,48.77,99880
0.665,BARO0,48.77,99853
0.675,BARO0,48.77,99878
0.685,BARO0,48.77,99860
0.695,BARO0,48.77,99852
0.705,BARO0,48.76,99836
0.715,BARO0,48.76,99850
0.725,BARO0,48.78,99835
0.735,BARO0,48.77,99843
0.745,BARO0,48.77,99819
0.755,BARO0,48.78,99815
0.765,BARO0,48.76,99795
0.775,BARO0,48.77,99801
0.785,BARO0,48.77,99783
0.795,BARO0,48.77,99787
0.805,BARO0,48.76,99766
0.815,BARO0,48.75,99755
0.825,BARO0,48.77,99761
0.835,BARO0,48.76,99747
0.845,BARO0,48.76,99730
0.855,BARO0,48.79,99743
0.865,BARO0,48.76,99700
0.875,BARO0,48.78,99723
0.885,BARO0,48.76,99712
0.895,BARO0,48.76,99697
0.905,BARO0,48.77,99689
0.915,BARO0,48.75,99657
0.925,BARO0,48.77,99679
0.935,BARO0,48.76,99682
0.945,BARO0,48.76,99640
0.955,BARO0,48.77,99646
0.965,BARO0,48.77,99633
0.975,BARO0,48.77,99645
0.985,BARO0,48.76,99624
0.995,BARO0,48.76,99610
1.005,BARO0,48.76,99612
1.015,BARO0,48.75,99597
1.025,BARO0,48.74,99568
1.035,BARO0,48.76,99577
1.045,BARO0,48.75,99565
1.055,BARO0,48.75,99543
1.065,BARO0,48.74,99547
1.075,BARO0,48.75,99541
1.085,BARO0,48.76,99529
1.095,BARO0,48.76,99528
1.105,BARO0,48.75,99516
1.115,BARO0,48.76,99512
1.125,BARO0,48.75,99484
1.135,BARO0,48.77,99494
1.145,BARO0,48.76,99463
1.155,BARO0,48.74,99432
1.165,BARO0,48.76,99455
1.175,BARO0,48.74,99421
1.185,BARO0,48.75,99427
1.195,BARO0,48.74,99420
1.205,BARO0,48.75,99407
1.215,BARO0,48.75,99417
1.225,BARO0,48.75,99402
1.235,BARO0,48.74,99366
1.245,BARO0,48.74,99375
1.255,BARO0,48.74,99366
1.265,BARO0,48.76,99347
1.275,BARO0,48.74,99327
1.285,BARO0,48.74,99308
1.295,BARO0,48.75,99299
1.305,BARO0,48.75,99303
1.315,BARO0,48.74,99291
1.325,BARO0,48.73,99278
1.335,BARO0,48.76,99263
1.345,BARO0,48.72,99243
1.355,BARO0,48.74,99229
1.365,BARO0,48.76,99243
1.375,BARO0,48.74,99207
1.385,BARO0,48.74,99191
1.395,BARO0,48.74,99182
1.405,BARO0,48.75,99163
1.415,BARO0,48.74,99146
1.425,BARO0,48.74,99140
1.435,BARO0,48.75,99123
1.445,BARO0,48.76,99104
1.455,BARO0,48.73,99086
1.465,BARO0,48.75,99074
1.475,BARO0,48.74,99057
1.485,BARO0,48.74,99045
1.495,BARO0,48.75,99029
1.505,BARO0,48.74,99014
1.515,BARO0,48.75,99011
1.525,BARO0,48.73,98992
1.535,BARO0,48.74,98953
1.545,BARO0,48.76,98967
1.555,BARO0,48.74,98957
1.565,BARO0,48.74,98908
1.575,BARO0,48.75,98912
1.585,BARO0,48.74,98904
1.595,BARO0,48.74,98901
1.605,BARO0,48.74,98880
1.615,BARO0,48.76,98875
1.625,BARO0,48.76,98880
1.635,BARO0,48.75,98872
1.645,BARO0,48.75,98855
1.655,BARO0,48.74,98839
1.665,BARO0,48.74,98823
1.675,BARO0,48.75,98814
1.685,BARO0,48.74,98792
1.695,BARO0,48.74,98783
1.705,BARO0,48.75,98786
1.715,BARO0,48.74,98757
1.725,BARO0,48.74,98755
1.735,BARO0,48.73,98721
1.745,BARO0,48.74,98702
1.755,BARO0,48.74,98707
1.765,BARO0,48.75,98700
1.775,BARO0,48.74,98664
1.785,BARO0,48.74,98670
1.795,BARO0,48.74,98653
1.805,BARO0,48.74,98642
1.815,BARO0,48.74,98620
1.825,BARO0,48.73,98614
1.835,BARO0,48.72,98606
1.845,BARO0,48.74,98600
1.855,BARO0,48.74,98585
1.865,BARO0,48.74,98550
1.875,BARO0,48.75,98526
1.885,BARO0,48.74,98533
1.895,BARO0,48.74,98513
1.905,BARO0,48.74,98513
1.915,BARO0,48.73,98518
1.925,BARO0,48.73,98505
1.935,BARO0,48.75,98449
1.945,BARO0,48.74,98461
1.955,BARO0,48.74,98438
1.965,BARO0,48.75,98422
1.975,BARO0,48.73,98417
1.985,BARO0,48.74,98402
1.995,BARO0,48.74,98385
2.005,BARO0,48.74,98367
2.015,BARO0,48.74,98346
2.025,BARO0,48.74,98330
2.035,BARO0,48.75,98275
2.045,BARO0,48.75,98280
2.055,BARO0,48.73,98246
2.065,BARO0,48.75,98204
2.075,BARO0,48.74,98174
2.085,BARO0,48.74,98136
2.095,BARO0,48.74,98099
2.105,BARO0,48.75,98063
2.115,BARO0,48.75,98021
2.125,BARO0,48.73,97997
2.135,BARO0,48.73,97963
2.145,BARO0,48.74,97908
2.155,BARO0,48.74,97871
2.165,BARO0,48.74,97842
2.175,BARO0,48.73,97785
2.185,BARO0,48.74,97762
2.195,BARO0,48.74,97747
2.205,BARO0,48.74,97718
2.215,BARO0,48.74,97682
2.225,BARO0,48.74,97656
2.235,BARO0,48.75,97653
2.245,BARO0,48.75,97636
2.255,BARO0,48.74,97618
2.265,BARO0,48.74,97607
2.275,BARO0,48.73,97587
2.285,BARO0,48.74,97558
2.295,BARO0,48.74,97546
2.305,BARO0,48.74,97526
2.315,BARO0,48.76,97502
2.325,BARO0,48.74,97518
2.335,BARO0,48.74,97474
2.345,BARO0,48.73,97465
2.355,BARO0,48.72,97446
2.365,BARO0,48.74,97401
2.375,BARO0,48.74,97400
2.385,BARO0,48.73,97366
2.395,BARO0,48.74,97362
2.405,BARO0,48.74,97340
2.415,BARO0,48.75,97315
2.425,BARO0,48.74,97289
2.435,BARO0,48.73,97261
2.445,BARO0,48.73,97226
2.455,BARO0,48.74,97214
2.465,BARO0,48.73,97191
2.475,BARO0,48.74,97166
2.485,BARO0,48.73,97164
2.495,BARO0,48.74,97150
2.505,BARO0,48.73,97136
2.515,BARO0,48.72,97106
2.525,BARO0,48.74,97091
2.535,BARO0,48.73,97065
2.545,BARO0,48.73,97064
2.555,BARO0,48.74,97022
