ts,voltage
-0.56,8.149
0.44,8.124
1.44,8.124
2.44,8.116
3.44,8.116
4.44,8.116
5.44,8.132
6.44,8.149
7.44,8.141
8.44,8.124
9.44,8.099
10.44,8.108
11.44,8.124
12.44,8.116
13.44,8.124
14.44,8.165
15.44,8.174
16.44,8.19
17.44,8.182
18.44,8.19
19.44,8.149
20.44,8.116
21.44,8.124
22.44,8.099
23.44,8.099
24.44,8.116
25.44,8.149
26.44,8.199
27.44,8.149
28.44,8.124
29.44,8.108
30.44,8.099
31.44,8.108
32.44,8.075
33.44,8.083
34.44,8.083
35.44,8.083
36.44,8.075
37.44,8.066
38.44,8.066
39.44,8.075
40.44,8.066
41.44,8.066
42.44,8.066
43.44,8.075
44.44,8.041
45.44,8.058
46.44,8.058
47.44,8.058
48.44,8.058
49.44,8.075
50.44,8.058
51.44,8.05
52.44,8.058
53.44,7.884
54.44,8.066
55.44,8.058
56.44,8.075
57.44,8.058
58.44,8.091
59.44,8.199
60.44,8.099
61.44,8.099
62.44,8.099
63.44,8.099
64.44,8.165
65.44,8.091
66.44,8.132
67.44,8.141
68.44,8.124
69.44,8.108
70.44,8.099
71.44,8.108
72.44,8.091
73.44,8.165
74.44,8.099
75.44,8.116
76.44,8.108
77.44,8.124
78.44,8.108
79.44,8.165
80.44,8.116
81.44,8.108
82.44,8.124
83.44,8.099
84.44,8.132
85.44,8.099
86.44,8.116
87.44,8.099
88.44,8.091
89.44,8.157
90.44,8.108
91.44,8.149
92.44,8.174
93.44,8.141
94.44,8.116
95.44,8.108
96.44,8.141
97.44,8.108
98.44,8.132
99.44,8.132
100.44,8.091
101.44,8.083
102.44,8.124
103.44,8.124
104.44,8.165
105.44,8.091
106.44,8.116
107.44,8.149
108.44,8.116
109.44,8.248
110.44,8.157
111.44,8.108
112.44,8.108
113.44,8.141
114.44,8.124
115.44,8.124
116.44,8.108
117.44,8.091
118.44,8.108
119.44,8.091
120.44,8.083
121.44,8.066
122.44,8.083
123.44,8.075
124.44,8.058
125.44,8.066
126.44,8.075
127.44,8.075
128.44,8.05
129.44,8.05
130.44,8.05
131.44,8.058
132.44,8.058
133.44,8.066
134.44,8.05
135.44,8.066
136.44,8.066
137.44,8.058
138.44,8.041
139.44,8.05
140.44,8.058
141.44,8.091
142.44,8.124
143.44,8.182
144.44,8.075
145.44,8.066
146.44,8.116
147.44,8.124
148.44,8.124
149.44,8.091
150.44,8.116
151.44,8.099
152.44,8.157
153.44,8.099
154.44,8.141
155.44,8.124
156.44,8.099
157.44,8.124
158.44,8.116
159.44,8.232
160.44,8.124
161.44,8.124
162.44,8.108
163.44,8.141
164.44,8.124
165.44,8.149
166.44,8.099
167.44,8.108
168.44,8.099
169.44,8.108
170.44,8.132
171.44,8.132
172.44,8.108
173.44,8.083
174.44,8.116
175.44,8.141
176.44,8.124
177.44,8.149
178.44,8.141
179.44,8.116
180.44,8.083
181.44,8.091
182.44,8.174
183.44,8.132
184.44,8.124
185.44,8.132
186.44,8.132
187.44,8.116
188.44,8.099
189.44,8.141
190.44,8.116
191.44,8.141
192.44,8.099
193.44,8.141
194.44,8.174
195.44,8.141
196.44,8.116
197.44,8.116
198.44,8.099
199.44,8.091
200.44,8.075
201.44,8.091
202.44,8.091
203.44,8.066
204.44,8.066
205.44,8.075
206.44,8.058
207.44,8.058
208.44,8.066
209.44,8.05
210.44,8.058
211.44,8.05
212.44,8.05
213.44,8.05
214.44,8.058
215.44,8.066
216.44,8.058
217.44,8.041
218.44,8.05
219.44,8.058
220.44,8.058
221.44,8.041
222.44,8.05
223.44,8.017
224.44,8.05
225.44,8.124
226.44,8.141
227.44,8.083
228.44,8.132
229.44,8.091
230.44,8.083
231.44,8.091
232.44,8.116
233.44,8.091
234.44,8.124
235.44,8.099
236.44,8.083
237.44,8.116
238.44,8.124
239.44,8.099
240.44,8.124
241.44,8.108
242.44,8.116
243.44,8.116
244.44,8.141
245.44,8.199
246.44,8.223
247.44,8.132
248.44,8.083
249.44,8.108
250.44,8.174
251.44,8.108
252.44,8.116
253.44,8.157
254.44,8.124
255.44,8.099
256.44,8.116
257.44,8.174
258.44,8.091
259.44,8.099
260.44,8.116
261.44,8.116
262.44,8.116
263.44,8.099
264.44,8.099
265.44,8.124
266.44,8.132
267.44,8.083
268.44,8.091
269.44,8.099
270.44,8.116
271.44,8.108
272.44,8.157
273.44,8.091
274.44,8.132
275.44,8.124
276.44,8.124
277.44,8.149
278.44,8.116
279.44,8.099
280.44,8.083
281.44,8.083
282.44,8.083
283.44,8.066
284.44,8.066
285.44,8.066
286.44,8.083
287.44,8.058
288.44,8.066
289.44,8.05
290.44,8.066
291.44,8.066
292.44,8.05
293.44,8.05
294.44,8.05
295.44,8.041
296.44,8.041
297.44,8.041
298.44,8.05
299.44,8.041
300.44,8.066
301.44,8.124
302.44,8.099
303.44,8.108
304.44,8.058
305.44,8.083
306.44,8.075
307.44,8.108
308.44,8.091
309.44,8.165
310.44,8.124
311.44,8.091
312.44,8.075
313.44,8.108
314.44,8.132
315.44,8.075
316.44,8.116
317.44,8.124
318.44,8.108
319.44,8.108
320.44,8.141
321.44,8.083
322.44,8.207
323.44,8.099
324.44,8.174
325.44,8.141
326.44,8.099
327.44,8.165
328.44,8.124
329.44,8.108
330.44,8.108
331.44,8.207
332.44,8.124
333.44,8.108
334.44,8.124
335.44,8.083
336.44,8.124
337.44,8.149
338.44,8.108
339.44,8.124
340.44,8.165
341.44,8.149
342.44,8.141
343.44,8.149
344.44,8.083
345.44,8.124
346.44,8.132
347.44,8.157
348.44,8.091
349.44,8.174
350.44,8.116
351.44,8.19
352.44,8.124
353.44,8.116
354.44,8.091
355.44,8.116
356.44,8.091
357.44,8.066
358.44,8.075
359.44,8.066
360.44,8.058
361.44,8.058
362.44,8.058
363.44,8.05
364.44,8.05
365.44,8.041
366.44,8.05
367.44,8.05
368.44,8.033
369.44,8.05
370.44,8.05
371.44,8.058
372.44,8.05
373.44,8.058
374.44,8.033
375.44,8.116
376.44,8.141
377.44,8.058
378.44,8.083
379.44,8.083
380.44,8.099
381.44,8.116
382.44,8.066
383.44,8.149
384.44,8.083
385.44,8.132
386.44,8.124
387.44,8.091
388.44,8.075
389.44,8.099
390.44,8.083
391.44,8.207
392.44,8.099
393.44,8.108
394.44,8.083
395.44,8.108
396.44,8.108
397.44,8.091
398.44,8.099
399.44,8.091
400.44,8.141
401.44,8.174
402.44,8.116
403.44,8.091
404.44,8.091
405.44,8.116
406.44,8.099
407.44,8.099
408.44,8.108
409.44,8.099
410.44,8.091
411.44,8.116
412.44,8.083
413.44,8.132
414.44,8.132
415.44,8.157
416.44,8.108
417.44,8.165
418.44,8.124
419.44,8.174
420.44,8.124
421.44,8.157
422.44,8.132
423.44,8.099
424.44,8.116
425.44,8.091
426.44,8.099
427.44,8.083
428.44,8.066
429.44,8.075
430.44,8.058
431.44,8.066
432.44,8.066
433.44,8.066
434.44,8.05
435.44,8.058
436.44,8.066
437.44,8.066
438.44,8.05
439.44,8.058
440.44,8.058
441.44,8.058
442.44,8.066
443.44,8.041
