ts,id,T,P
-0.755,BARO0,71.59,100001
-0.745,BARO0,71.6,100003
-0.735,BARO0,71.59,99999
-0.725,BARO0,71.59,100013
-0.715,BARO0,71.59,100001
-0.705,BARO0,71.59,99996
-0.695,BARO0,71.58,99992
-0.685,BARO0,71.58,100010
-0.675,BARO0,71.59,99985
-0.665,BARO0,71.61,99995
-0.655,BARO0,71.59,99995
-0.645,BARO0,71.6,100007
-0.635,BARO0,71.59,100005
-0.625,BARO0,71.6,100002
-0.615,BARO0,71.6,100022
-0.605,BARO0,71.61,100024
-0.595,BARO0,71.58,99997
-0.585,BARO0,71.59,100006
-0.575,BARO0,71.6,100003
-0.565,BARO0,71.58,99989
-0.555,BARO0,71.59,99999
-0.545,BARO0,71.6,100014
-0.535,BARO0,71.59,100008
-0.525,BARO0,71.59,100002
-0.515,BARO0,71.59,99995
-0.505,BARO0,71.62,100043
-0.495,BARO0,71.61,99974
-0.485,BARO0,71.6,99998
-0.475,BARO0,71.6,100046
-0.465,BARO0,71.59,100003
-0.455,BARO0,71.59,100007
-0.445,BARO0,71.6,99992
-0.435,BARO0,71.59,100008
-0.425,BARO0,71.59,99991
-0.415,BARO0,71.57,99973
-0.405,BARO0,71.59,100021
-0.395,BARO0,71.6,100015
-0.385,BARO0,71.61,100007
-0.375,BARO0,71.6,100001
-0.365,BARO0,71.6,100050
-0.355,BARO0,71.57,100012
-0.345,BARO0,71.59,99998
-0.335,BARO0,71.61,99992
-0.325,BARO0,71.6,100012
-0.315,BARO0,71.59,99993
-0.305,BARO0,71.58,100001
-0.295,BARO0,71.61,100008
-0.285,BARO0,71.62,99995
-0.275,BARO0,71.6,99997
-0.265,BARO0,71.61,100000
-0.255,BARO0,71.6,99993
-0.245,BARO0,71.6,99993
-0.235,BARO0,71.6,100008
-0.225,BARO0,71.59,100021
-0.215,BARO0,71.6,100000
-0.205,BARO0,71.6,99999
-0.195,BARO0,71.61,100025
-0.185,BARO0,71.6,100011
-0.175,BARO0,71.6,100019
-0.165,BARO0,71.59,100006
-0.155,BARO0,71.58,99995
-0.145,BARO0,71.59,99975
-0.135,BARO0,71.6,99998
-0.125,BARO0,71.6,99966
-0.115,BARO0,71.6,99929
-0.105,BARO0,71.57,99754
-0.095,BARO0,71.59,99554
-0.085,BARO0,71.61,99357
-0.075,BARO0,71.59,99239
-0.065,BARO0,71.6,99180
-0.055,BARO0,71.58,99226
-0.045,BARO0,71.6,99389
-0.035,BARO0,71.61,99602
-0.025,BARO0,71.59,99832
-0.015,BARO0,71.6,99967
-0.005,BARO0,71.61,99990
0.005,BARO0,71.59,99941
0.015,BARO0,71.6,99952
0.025,BARO0,71.59,99971
0.035,BARO0,71.61,99971
0.045,BARO0,71.59,99959
0.055,BARO0,71.6,99949
0.065,BARO0,71.6,99966
0.075,BARO0,71.59,99951
0.085,BARO0,71.62,99953
0.095,BARO0,71.59,99943
0.105,BARO0,71.61,99971
0.115,BARO0,71.59,99931
0.125,BARO0,71.6,99943
0.135,BARO0,71.61,99920
0.145,BARO0,71.59,99941
0.155,BARO0,71.59,99936
0.165,BARO0,71.6,99928
0.175,BARO0,71.6,99934
0.185,BARO0,71.6,99918
0.195,BARO0,71.6,99923
0.205,BARO0,71.59,99924
0.215,BARO0,71.6,99913
0.225,BARO0,71.59,99912
0.235,BARO0,71.6,99915
0.245,BARO0,71.59,99908
0.255,BARO0,71.58,99882
0.265,BARO0,71.59,99893
0.275,BARO0,71.59,99887
0.285,BARO0,71.59,99885
0.295,BARO0,71.57,99861
0.305,BARO0,71.59,99883
0.315,BARO0,71.58,99869
0.325,BARO0,71.59,99880
0.335,BARO0,71.58,99883
0.345,BARO0,71.59,99875
0.355,BARO0,71.59,99873
0.365,BARO0,71.58,99877
0.375,BARO0,71.59,99840
0.385,BARO0,71.58,99827
0.395,BARO0,71.58,99867
0.405,BARO0,71.59,99869
0.415,BARO0,71.59,99815
0.425,BARO0,71.58,99825
0.435,BARO0,71.58,99822
0.445,BARO0,71.59,99824
0.455,BARO0,71.58,99820
0.465,BARO0,71.6,99833
0.475,BARO0,71.59,99804
0.485,BARO0,71.58,99802
