ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated
-0.75,-3.059,8.755,2.336,2.918
-0.74,-3.059,8.755,2.335,2.919
-0.73,-3.059,8.755,2.334,2.919
-0.72,-3.06,8.755,2.333,2.92
-0.71,-3.06,8.755,2.333,2.92
-0.7,-3.06,8.755,2.332,2.92
-0.69,-3.06,8.755,2.331,2.92
-0.68,-3.06,8.756,2.33,2.92
-0.67,-3.061,8.756,2.329,2.92
-0.66,-3.061,8.756,2.328,2.921
-0.65,-3.061,8.756,2.328,2.921
-0.64,-3.061,8.756,2.327,2.921
-0.63,-3.061,8.756,2.326,2.921
-0.62,-3.062,8.756,2.325,2.922
-0.61,-3.062,8.756,2.324,2.922
-0.6,-3.062,8.756,2.324,2.922
-0.59,-3.062,8.756,2.323,2.922
-0.58,-3.063,8.756,2.322,2.922
-0.57,-3.063,8.756,2.321,2.923
-0.56,-3.063,8.756,2.32,2.923
-0.55,-3.063,8.756,2.319,2.923
-0.54,-3.063,8.757,2.319,2.923
-0.53,-3.064,8.757,2.318,2.923
-0.52,-3.064,8.757,2.317,2.923
-0.51,-3.064,8.757,2.316,2.923
-0.5,-3.064,8.757,2.316,2.924
-0.49,-3.064,8.757,2.315,2.924
-0.48,-3.065,8.757,2.314,2.924
-0.47,-3.065,8.757,2.313,2.924
-0.46,-3.065,8.757,2.312,2.925
-0.45,-3.065,8.757,2.311,2.925
-0.44,-3.066,8.757,2.311,2.925
-0.43,-3.066,8.757,2.31,2.925
-0.42,-3.066,8.758,2.309,2.925
-0.41,-3.066,8.758,2.308,2.925
-0.4,-3.066,8.758,2.307,2.925
-0.39,-3.067,8.758,2.307,2.926
-0.38,-3.067,8.758,2.306,2.926
-0.37,-3.067,8.758,2.305,2.926
-0.36,-3.067,8.758,2.304,2.926
-0.35,-3.067,8.758,2.303,2.926
-0.34,-3.067,8.759,2.303,2.926
-0.33,-3.068,8.758,2.302,2.926
-0.32,-3.068,8.758,2.301,2.927
-0.31,-3.068,8.759,2.3,2.927
-0.3,-3.068,8.759,2.299,2.928
-0.29,-3.069,8.758,2.299,2.928
-0.28,-3.069,8.759,2.298,2.928
-0.27,-3.069,8.759,2.297,2.927
-0.26,-3.069,8.759,2.296,2.927
-0.25,-3.069,8.759,2.296,2.927
-0.24,-3.069,8.759,2.295,2.927
-0.23,-3.069,8.76,2.294,2.927
-0.22,-3.07,8.759,2.293,2.928
-0.21,-3.07,8.759,2.292,2.929
-0.2,-3.07,8.76,2.291,2.929
-0.19,-3.07,8.76,2.291,2.928
-0.18,-3.07,8.76,2.29,2.928
-0.17,-3.07,8.76,2.289,2.927
-0.16,-3.071,8.761,2.289,2.927
-0.15,-3.071,8.76,2.288,2.928
-0.14,-3.072,8.761,2.288,2.925
-0.13,-3.071,8.763,2.288,2.921
-0.12,-3.069,8.765,2.287,2.917
-0.11,-3.067,8.768,2.288,2.909
-0.1,-3.064,8.772,2.288,2.901
-0.09,-3.06,8.778,2.285,2.889
-0.08,-3.058,8.785,2.287,2.869
-0.07,-3.052,8.793,2.289,2.849
-0.06,-3.041,8.806,2.291,2.819
-0.05,-3.028,8.822,2.285,2.789
-0.04,-3.016,8.833,2.281,2.769
-0.03,-3.005,8.842,2.278,2.752
-0.02,-2.988,8.855,2.27,2.735
-0.01,-2.973,8.866,2.255,2.729
0.0,-2.966,8.87,2.246,2.731
0.01,10.0,0.0,0.001,0.001
0.02,10.0,0.0,-0.002,0.001
0.03,9.999,0.001,-0.008,0.003
0.04,9.999,0.001,-0.012,0.004
0.05,9.999,0.0,-0.012,0.005
0.06,9.999,0.001,-0.013,0.007
0.07,9.999,0.002,-0.015,0.007
0.08,9.999,0.002,-0.012,0.008
0.09,9.999,0.0,-0.015,0.01
0.1,9.999,0.008,-0.024,0.01
0.11,9.999,0.013,-0.033,0.014
0.12,9.999,0.016,-0.036,0.016
0.13,9.999,0.02,-0.032,0.019
0.14,9.999,0.024,-0.029,0.021
0.15,9.999,0.03,-0.016,0.021
0.16,9.999,0.027,0.002,0.023
0.17,9.999,0.025,0.011,0.025
0.18,9.999,0.024,0.023,0.026
0.19,9.999,0.025,0.025,0.023
0.2,9.999,0.023,0.043,0.02
0.21,9.999,0.023,0.066,0.021
0.22,9.999,0.023,0.093,0.019
0.23,9.999,0.02,0.09,0.024
0.24,9.999,0.024,0.071,0.024
0.25,9.999,0.03,0.059,0.027
0.26,9.999,0.034,0.056,0.033
0.27,9.999,0.039,0.048,0.036
0.28,9.999,0.049,0.027,0.04
0.29,9.999,0.048,0.019,0.041
0.3,9.999,0.044,0.031,0.037
0.31,9.999,0.04,0.039,0.036
0.32,9.999,0.043,0.075,0.029
0.33,9.998,0.043,0.143,0.023
0.34,9.997,0.043,0.199,0.017
0.35,9.997,0.041,0.234,0.011
0.36,9.996,0.037,0.252,0.002
0.37,9.996,0.041,0.261,-0.004
0.38,9.996,0.05,0.24,-0.005
0.39,9.997,0.05,0.197,0.0
0.4,9.998,0.047,0.16,0.005
0.41,9.999,0.049,0.127,0.005
0.42,9.999,0.054,0.094,0.003
0.43,9.999,0.053,0.094,0.004
0.44,9.999,0.046,0.117,0.008
0.45,9.998,0.045,0.142,0.01
0.46,9.998,0.044,0.165,0.01
0.47,9.998,0.039,0.187,0.013
0.48,9.997,0.038,0.208,0.014
0.49,9.997,0.036,0.228,0.015
0.5,9.996,0.033,0.247,0.017
0.51,9.996,0.029,0.263,0.019
0.52,9.996,0.026,0.277,0.021
0.53,9.995,0.024,0.29,0.022
0.54,9.995,0.02,0.302,0.023
0.55,9.995,0.018,0.312,0.025
0.56,9.994,0.014,0.32,0.025
0.57,9.994,0.01,0.327,0.026
0.58,9.994,0.008,0.332,0.026
0.59,9.994,0.004,0.336,0.026
0.6,9.994,0.0,0.338,0.026
0.61,9.994,-0.002,0.338,0.025
0.62,9.994,-0.007,0.337,0.024
0.63,9.994,-0.01,0.334,0.024
0.64,9.994,-0.014,0.328,0.022
0.65,9.994,-0.018,0.321,0.021
0.66,9.995,-0.022,0.312,0.019
0.67,9.995,-0.026,0.301,0.018
0.68,9.995,-0.031,0.288,0.016
0.69,9.996,-0.035,0.274,0.014
0.7,9.996,-0.04,0.257,0.012
0.71,9.997,-0.044,0.238,0.01
0.72,9.997,-0.049,0.217,0.008
0.73,9.997,-0.054,0.194,0.005
0.74,9.998,-0.058,0.169,0.003
0.75,9.998,-0.063,0.142,0.0
0.76,9.999,-0.068,0.113,-0.002
0.77,9.999,-0.073,0.082,-0.005
0.78,9.999,-0.078,0.049,-0.007
0.79,9.999,-0.082,0.014,-0.01
0.8,9.999,-0.087,-0.023,-0.013
0.81,9.999,-0.091,-0.063,-0.015
0.82,9.998,-0.096,-0.105,-0.017
0.83,9.998,-0.1,-0.149,-0.019
0.84,9.997,-0.104,-0.196,-0.021
0.85,9.996,-0.108,-0.245,-0.023
0.86,9.994,-0.111,-0.297,-0.024
0.87,9.993,-0.115,-0.353,-0.025
0.88,9.99,-0.118,-0.412,-0.027
0.89,9.988,-0.121,-0.472,-0.028
0.9,9.984,-0.124,-0.535,-0.028
0.91,9.981,-0.126,-0.6,-0.029
0.92,9.976,-0.129,-0.668,-0.029
0.93,9.971,-0.131,-0.738,-0.029
0.94,9.966,-0.133,-0.81,-0.029
0.95,9.959,-0.135,-0.885,-0.029
0.96,9.952,-0.138,-0.962,-0.029
0.97,9.944,-0.139,-1.041,-0.028
0.98,9.935,-0.142,-1.123,-0.028
0.99,9.925,-0.144,-1.207,-0.027
1.0,9.914,-0.146,-1.293,-0.025
1.01,9.902,-0.148,-1.382,-0.023
1.02,9.889,-0.15,-1.473,-0.021
1.03,9.875,-0.152,-1.567,-0.019
1.04,9.859,-0.154,-1.663,-0.016
1.05,9.842,-0.156,-1.761,-0.013
1.06,9.823,-0.159,-1.862,-0.01
1.07,9.803,-0.161,-1.965,-0.007
1.08,9.781,-0.164,-2.07,-0.003
1.09,9.758,-0.166,-2.177,0.0
1.1,9.733,-0.169,-2.287,0.004
1.11,9.706,-0.172,-2.399,0.008
1.12,9.677,-0.175,-2.512,0.013
1.13,9.646,-0.178,-2.628,0.018
1.14,9.614,-0.181,-2.745,0.022
1.15,9.579,-0.184,-2.864,0.027
1.16,9.542,-0.187,-2.985,0.032
1.17,9.502,-0.192,-3.107,0.036
1.18,9.461,-0.197,-3.231,0.04
1.19,9.417,-0.202,-3.357,0.043
1.2,9.37,-0.209,-3.484,0.046
1.21,9.321,-0.216,-3.613,0.049
1.22,9.269,-0.224,-3.744,0.051
1.23,9.214,-0.233,-3.877,0.053
1.24,9.155,-0.242,-4.013,0.055
1.25,9.094,-0.253,-4.15,0.057
1.26,9.029,-0.263,-4.289,0.058
1.27,8.96,-0.274,-4.429,0.059
1.28,8.889,-0.286,-4.57,0.06
1.29,8.814,-0.297,-4.712,0.061
1.3,8.736,-0.309,-4.855,0.062
1.31,8.654,-0.32,-4.998,0.064
1.32,8.569,-0.332,-5.142,0.065
1.33,8.481,-0.343,-5.285,0.067
1.34,8.39,-0.354,-5.429,0.069
1.35,8.295,-0.366,-5.572,0.071
1.36,8.197,-0.376,-5.714,0.073
1.37,8.096,-0.386,-5.856,0.076
1.38,7.992,-0.397,-5.996,0.079
1.39,7.884,-0.406,-6.136,0.083
1.4,7.773,-0.416,-6.275,0.088
1.41,7.659,-0.425,-6.414,0.093
1.42,7.541,-0.434,-6.551,0.098
1.43,7.42,-0.443,-6.688,0.105
1.44,7.295,-0.451,-6.823,0.112
1.45,7.166,-0.46,-6.957,0.12
1.46,7.034,-0.467,-7.091,0.129
1.47,6.898,-0.474,-7.222,0.138
1.48,6.759,-0.481,-7.352,0.148
1.49,6.617,-0.487,-7.48,0.159
1.5,6.471,-0.492,-7.605,0.17
1.51,6.324,-0.497,-7.728,0.182
1.52,6.173,-0.5,-7.848,0.195
1.53,6.021,-0.503,-7.965,0.209
1.54,5.865,-0.504,-8.08,0.223
1.55,5.707,-0.504,-8.192,0.237
1.56,5.545,-0.503,-8.302,0.252
1.57,5.381,-0.5,-8.409,0.267
1.58,5.213,-0.497,-8.514,0.282
1.59,5.041,-0.492,-8.616,0.297
1.6,4.864,-0.486,-8.717,0.312
