ts,voltage
-0.07,8.008
0.93,8.05
1.93,8.0
2.93,7.975
3.93,7.884
4.93,7.86
5.93,7.793
6.93,7.818
7.93,7.818
8.93,7.81
9.93,7.81
10.93,7.81
11.93,7.793
12.93,7.81
13.93,7.802
14.93,7.793
15.93,7.851
16.93,7.86
17.93,7.934
18.93,7.917
19.93,7.951
20.93,7.967
21.93,7.942
22.93,7.942
23.93,7.917
24.93,7.959
25.93,7.942
26.93,7.967
27.93,7.992
28.93,7.959
29.93,7.984
30.93,7.959
31.93,7.967
32.93,7.984
33.93,7.975
34.93,8.017
35.93,7.967
36.93,8.033
37.93,8.033
38.93,8.017
39.93,8.058
40.93,8.008
41.93,7.942
42.93,7.901
43.93,7.851
44.93,7.843
45.93,7.835
46.93,7.826
47.93,7.826
48.93,7.802
49.93,7.81
50.93,7.818
51.93,7.81
52.93,7.86
53.93,7.893
54.93,7.926
55.93,7.926
56.93,7.884
57.93,7.926
58.93,7.934
59.93,7.959
60.93,7.951
61.93,7.934
62.93,7.926
63.93,7.975
64.93,7.934
65.93,7.951
66.93,7.959
67.93,7.959
68.93,7.975
69.93,8.017
70.93,8.0
71.93,7.975
72.93,7.975
73.93,7.967
74.93,7.909
75.93,7.868
76.93,7.835
77.93,7.802
78.93,7.785
79.93,7.785
80.93,7.785
81.93,7.793
82.93,7.777
83.93,7.76
84.93,7.818
85.93,7.884
86.93,7.901
87.93,7.884
88.93,7.909
89.93,7.942
90.93,7.909
91.93,7.926
92.93,7.942
93.93,7.917
94.93,7.951
95.93,7.926
96.93,7.909
97.93,7.934
98.93,7.942
99.93,7.909
100.93,7.917
101.93,7.975
102.93,7.959
103.93,7.959
104.93,7.975
105.93,7.967
106.93,7.909
107.93,7.876
108.93,7.843
109.93,7.818
110.93,7.793
111.93,7.785
112.93,7.769
113.93,7.752
114.93,7.76
115.93,7.76
116.93,7.769
117.93,7.843
118.93,7.86
119.93,7.868
120.93,7.884
121.93,7.884
122.93,7.901
123.93,7.951
124.93,7.917
125.93,7.909
126.93,7.934
127.93,7.926
128.93,7.917
129.93,7.909
130.93,7.901
131.93,7.926
132.93,7.909
133.93,7.934
134.93,7.959
135.93,7.917
136.93,7.959
137.93,7.992
138.93,8.165
139.93,7.893
140.93,7.835
141.93,7.818
142.93,7.777
143.93,7.76
144.93,7.76
145.93,7.744
146.93,7.744
147.93,7.736
148.93,7.76
149.93,7.752
150.93,7.802
151.93,7.843
152.93,7.893
153.93,7.876
154.93,7.909
155.93,7.893
156.93,7.926
157.93,7.893
158.93,7.917
159.93,7.917
160.93,7.926
161.93,7.926
162.93,7.876
163.93,7.917
164.93,7.884
165.93,7.934
166.93,7.934
167.93,7.934
168.93,7.942
169.93,7.893
170.93,7.942
171.93,7.975
172.93,7.967
173.93,7.876
174.93,7.835
175.93,7.802
176.93,7.769
177.93,7.744
178.93,7.744
179.93,7.727
180.93,7.736
181.93,7.736
182.93,7.736
183.93,7.793
184.93,7.826
185.93,7.901
186.93,7.876
187.93,7.884
188.93,7.917
189.93,7.884
190.93,7.893
191.93,7.876
192.93,7.893
193.93,7.917
194.93,7.884
195.93,7.926
196.93,7.909
197.93,7.901
198.93,7.876
199.93,7.934
200.93,7.942
201.93,7.934
202.93,7.909
203.93,7.967
204.93,7.909
205.93,7.884
206.93,7.818
207.93,7.81
208.93,7.752
209.93,7.76
210.93,7.736
211.93,7.727
212.93,7.719
213.93,7.736
214.93,7.744
215.93,7.802
216.93,7.818
217.93,7.826
218.93,7.893
219.93,7.86
220.93,7.909
221.93,7.926
222.93,7.893
223.93,7.909
224.93,7.901
225.93,7.893
226.93,7.884
227.93,7.884
228.93,7.917
229.93,7.901
230.93,7.901
231.93,7.917
232.93,7.934
233.93,7.901
234.93,7.959
235.93,7.934
236.93,7.942
237.93,7.942
238.93,7.851
239.93,7.818
240.93,7.76
241.93,7.769
242.93,7.752
243.93,7.736
244.93,7.744
245.93,7.727
246.93,7.736
247.93,7.744
248.93,7.744
249.93,7.826
250.93,7.835
251.93,7.893
252.93,7.868
253.93,7.909
254.93,7.876
255.93,7.868
256.93,7.893
257.93,7.901
258.93,7.893
259.93,7.917
260.93,7.884
261.93,7.901
262.93,7.917
263.93,7.876
264.93,7.884
265.93,7.901
266.93,7.926
267.93,7.868
268.93,7.917
269.93,7.934
270.93,7.959
271.93,7.86
272.93,7.802
273.93,7.785
274.93,7.76
275.93,7.769
276.93,7.744
277.93,7.752
278.93,7.736
279.93,7.736
280.93,7.702
281.93,7.785
282.93,7.835
283.93,7.868
284.93,7.876
285.93,7.901
286.93,7.893
287.93,7.884
288.93,7.901
289.93,7.901
290.93,7.876
291.93,7.893
292.93,7.909
293.93,7.901
294.93,7.909
295.93,7.884
296.93,7.868
297.93,7.909
298.93,7.909
299.93,7.926
300.93,7.934
301.93,7.917
302.93,7.909
303.93,7.926
304.93,7.901
305.93,7.86
306.93,7.802
307.93,7.785
308.93,7.769
309.93,7.76
310.93,7.752
311.93,7.769
312.93,7.736
313.93,7.769
314.93,7.744
315.93,7.76
316.93,7.835
317.93,7.826
318.93,7.876
319.93,7.86
320.93,7.868
321.93,7.884
322.93,7.884
323.93,7.893
324.93,7.901
325.93,7.893
326.93,7.917
327.93,7.901
328.93,7.917
329.93,7.893
330.93,7.917
331.93,7.909
332.93,7.909
333.93,7.901
334.93,7.942
335.93,7.926
336.93,7.926
337.93,7.942
338.93,8.033
339.93,7.868
340.93,7.826
341.93,7.802
342.93,7.769
343.93,7.76
344.93,7.752
345.93,7.744
346.93,7.752
347.93,7.752
348.93,7.744
349.93,7.777
350.93,7.835
351.93,7.818
352.93,7.893
353.93,7.893
354.93,7.884
355.93,7.901
356.93,7.909
357.93,7.876
358.93,7.917
359.93,7.926
