ts,altitude[m],velocity[m/s],latitude,longitude
0.0,0,6,0.0,0.0
0.1,0,15,0.0,0.0
0.2,2,24,0.0,0.0
0.3,5,32,0.0,0.0
0.4,9,41,0.0,0.0
0.6,19,58,0.0,0.0
0.7,25,67,0.0,0.0
0.8,32,75,0.0,0.0
0.9,40,84,0.0,0.0
1.0,49,93,0.0,0.0
1.1,59,102,0.0,0.0
1.3,81,120,0.0,0.0
1.5,107,138,0.0,0.0
1.6,121,147,0.0,0.0
1.7,136,156,0.0,0.0
1.8,152,166,0.0,0.0
1.9,168,175,0.0,0.0
2.1,204,193,0.0,0.0
2.2,223,202,0.0,0.0
2.3,243,211,0.0,0.0
2.4,264,219,0.0,0.0
2.5,285,228,0.0,0.0
2.6,307,236,0.0,0.0
2.7,329,244,0.0,0.0
2.8,353,252,0.0,0.0
2.9,376,260,0.0,0.0
3.0,400,268,0.0,0.0
3.1,425,275,0.0,0.0
3.3,479,291,0.0,0.0
3.4,508,298,0.0,0.0
3.5,538,306,0.0,0.0
3.6,569,314,0.0,0.0
3.7,603,322,0.0,0.0
3.8,638,330,0.0,0.0
4.0,712,344,0.0,0.0
4.1,750,351,0.0,0.0
4.2,789,357,0.0,0.0
4.3,829,362,0.0,0.0
4.7,987,366,0.0,0.0
5.3,1198,341,0.0,0.0
5.5,1262,332,0.0,0.0
5.7,1321,322,0.0,0.0
5.8,1348,317,0.0,0.0
6.0,1400,307,0.0,0.0
6.1,1426,303,0.0,0.0
6.4,1504,290,0.0,0.0
6.5,1530,286,0.0,0.0
6.6,1555,283,0.0,0.0
6.7,1580,279,0.0,0.0
6.8,1603,274,0.0,0.0
7.0,1647,266,0.0,0.0
7.1,1670,262,0.0,0.0
7.2,1694,259,0.0,0.0
7.3,1718,256,0.0,0.0
7.4,1743,254,0.0,0.0
7.5,1768,251,0.0,0.0
8.1,1903,235,0.0,0.0
8.4,1975,229,0.0,0.0
8.7,2031,219,0.0,0.0
9.1,2113,210,0.0,0.0
9.2,2134,208,0.0,0.0
9.3,2153,206,0.0,0.0
9.5,2188,200,0.0,0.0
9.6,2206,198,0.0,0.0
9.7,2225,196,0.0,0.0
9.8,2245,194,0.0,0.0
9.9,2264,193,0.0,0.0
10.0,2284,191,0.0,0.0
10.1,2304,190,0.0,0.0
10.2,2323,188,0.0,0.0
10.4,2354,183,0.0,0.0
10.6,2387,178,0.0,0.0
10.9,2439,173,0.0,0.0
11.0,2455,171,0.0,0.0
11.1,2470,169,0.0,0.0
11.4,2516,163,0.0,0.0
11.5,2532,161,0.0,0.0
11.6,2548,160,0.0,0.0
11.7,2565,159,0.0,0.0
11.8,2581,157,0.0,0.0
11.9,2596,156,0.0,0.0
12.1,2626,153,0.0,0.0
12.6,2698,145,0.0,0.0
13.0,2754,139,0.0,0.0
13.3,2793,134,0.0,0.0
13.6,2835,131,0.0,0.0
14.0,2884,125,0.0,0.0
14.3,2919,120,0.0,0.0
14.5,2944,118,0.0,0.0
14.6,2956,117,0.0,0.0
14.7,2968,116,0.0,0.0
14.8,2980,115,0.0,0.0
14.9,2991,113,0.0,0.0
15.0,3001,112,0.0,0.0
15.2,3023,109,0.0,0.0
15.3,3033,108,0.0,0.0
15.5,3054,105,0.0,0.0
15.6,3065,104,0.0,0.0
15.7,3076,103,0.0,0.0
15.8,3087,102,0.0,0.0
15.9,3098,101,0.0,0.0
16.2,3128,98,0.0,0.0
16.3,3138,96,0.0,0.0
16.4,3148,95,0.0,0.0
16.6,3166,93,0.0,0.0
16.7,3175,91,0.0,0.0
16.8,3184,90,0.0,0.0
17.0,3202,88,0.0,0.0
17.1,3211,87,0.0,0.0
17.2,3221,86,0.0,0.0
17.3,3230,85,0.0,0.0
17.4,3239,84,0.0,0.0
18.0,3288,77,0.0,0.0
18.2,3301,74,0.0,0.0
18.5,3323,71,0.0,0.0
18.8,3348,69,0.0,0.0
18.9,3356,69,0.0,0.0
19.0,3363,68,0.0,0.0
19.4,3385,62,0.0,0.0
19.6,3396,59,0.0,0.0
19.7,3401,58,0.0,0.0
19.8,3407,56,0.0,0.0
19.9,3413,55,0.0,0.0
20.0,3418,54,0.0,0.0
20.2,3429,52,0.0,0.0
20.3,3434,51,0.0,0.0
20.4,3440,50,0.0,0.0
20.5,3445,50,0.0,0.0
20.6,3451,49,0.0,0.0
20.7,3456,48,0.0,0.0
20.9,3467,47,0.0,0.0
21.0,3472,46,0.0,0.0
21.1,3477,45,0.0,0.0
21.2,3481,44,0.0,0.0
21.5,3492,40,0.0,0.0
21.6,3496,39,0.0,0.0
21.7,3500,38,0.0,0.0
21.8,3504,36,0.0,0.0
21.9,3507,35,0.0,0.0
22.1,3514,33,0.0,0.0
22.2,3517,32,0.0,0.0
22.3,3521,31,0.0,0.0
22.5,3527,29,0.0,0.0
22.7,3533,28,0.0,0.0
22.8,3537,27,0.0,0.0
22.9,3540,26,0.0,0.0
23.0,3543,26,0.0,0.0
23.1,3546,25,0.0,0.0
23.2,3549,24,0.0,0.0
23.4,3554,23,0.0,0.0
24.0,3568,18,0.0,0.0
24.5,3577,13,0.0,0.0
25.0,3582,8,0.0,0.0
25.5,3583,1,0.0,0.0
25.8,3583,0,0.0,0.0
25.9,3584,-1,0.0,0.0
26.2,3585,0,0.0,0.0
26.3,3585,0,0.0,0.0
26.4,3585,0,0.0,0.0
26.5,3584,0,0.0,0.0
26.6,3584,-1,0.0,0.0
26.7,3583,-2,0.0,0.0
26.9,3435,-147,0.0,0.0
27.0,3306,-261,0.0,0.0
27.1,3191,-349,0.0,0.0
27.2,3102,-403,0.0,0.0
27.3,3041,-423,0.0,0.0
27.5,3005,-375,0.0,0.0
27.6,3024,-319,0.0,0.0
27.7,3060,-251,0.0,0.0
27.8,3056,-231,0.0,0.0
27.9,3065,-198,0.0,0.0
28.0,3132,-111,0.0,0.0
28.3,3313,79,0.0,0.0
28.4,3356,114,0.0,0.0
28.5,3397,144,0.0,0.0
28.6,3437,169,0.0,0.0
28.7,3475,190,0.0,0.0
28.9,3499,178,0.0,0.0
29.0,3528,189,0.0,0.0
29.1,3549,191,0.0,0.0
29.2,3566,188,0.0,0.0
29.3,3582,185,0.0,0.0
29.4,3594,179,0.0,0.0
29.5,3602,169,0.0,0.0
29.8,3607,127,0.0,0.0
30.3,3586,57,0.0,0.0
30.6,3566,24,0.0,0.0
31.1,3533,-12,0.0,0.0
31.4,3513,-26,0.0,0.0
31.7,3497,-34,0.0,0.0
32.2,3479,-34,0.0,0.0
32.6,3465,-34,0.0,0.0
32.7,3462,-34,0.0,0.0
32.8,3459,-33,0.0,0.0
32.9,3456,-33,0.0,0.0
33.0,3454,-32,0.0,0.0
33.2,3449,-31,0.0,0.0
33.3,3446,-30,0.0,0.0
33.4,3444,-30,0.0,0.0
33.5,3441,-29,0.0,0.0
33.6,3438,-29,0.0,0.0
33.7,3435,-29,0.0,0.0
33.8,3432,-29,0.0,0.0
34.1,3424,-28,0.0,0.0
34.2,3421,-28,0.0,0.0
34.3,3418,-28,0.0,0.0
34.4,3415,-29,0.0,0.0
34.6,3408,-30,0.0,0.0
34.9,3399,-29,0.0,0.0
35.0,3397,-29,0.0,0.0
35.1,3395,-28,0.0,0.0
35.2,3394,-27,0.0,0.0
35.3,3392,-25,0.0,0.0
35.4,3391,-24,0.0,0.0
35.6,3389,-21,0.0,0.0
35.7,3388,-20,0.0,0.0
35.8,3387,-19,0.0,0.0
35.9,3386,-18,0.0,0.0
36.0,3386,-16,0.0,0.0
36.1,3385,-15,0.0,0.0
36.3,3384,-14,0.0,0.0
36.4,3383,-13,0.0,0.0
36.7,3380,-12,0.0,0.0
36.8,3379,-12,0.0,0.0
36.9,3378,-12,0.0,0.0
37.2,3375,-11,0.0,0.0
37.3,3374,-10,0.0,0.0
37.4,3374,-10,0.0,0.0
37.5,3373,-10,0.0,0.0
37.6,3372,-10,0.0,0.0
37.9,3370,-9,0.0,0.0
38.1,3368,-9,0.0,0.0
38.2,3367,-9,0.0,0.0
38.3,3366,-9,0.0,0.0
38.4,3365,-9,0.0,0.0
38.6,3364,-9,0.0,0.0
38.7,3363,-8,0.0,0.0
38.9,3361,-8,0.0,0.0
39.0,3360,-8,0.0,0.0
39.1,3360,-8,0.0,0.0
39.2,3359,-8,0.0,0.0
39.3,3358,-8,0.0,0.0
39.4,3357,-8,0.0,0.0
39.6,3355,-8,0.0,0.0
39.9,3353,-8,0.0,0.0
40.0,3351,-8,0.0,0.0
40.1,3350,-9,0.0,0.0
40.3,3349,-9,0.0,0.0
40.6,3346,-9,0.0,0.0
40.8,3344,-9,0.0,0.0
40.9,3343,-8,0.0,0.0
41.0,3343,-8,0.0,0.0
41.1,3342,-8,0.0,0.0
41.2,3341,-8,0.0,0.0
41.4,3339,-8,0.0,0.0
41.9,3334,-9,0.0,0.0
42.0,3333,-9,0.0,0.0
42.1,3332,-9,0.0,0.0
42.2,3332,-8,0.0,0.0
42.3,3331,-8,0.0,0.0
42.4,3330,-9,0.0,0.0
42.5,3329,-9,0.0,0.0
42.6,3328,-9,0.0,0.0
42.7,3327,-9,0.0,0.0
42.9,3325,-9,0.0,0.0
43.0,3324,-9,0.0,0.0
43.1,3323,-9,0.0,0.0
43.2,3322,-9,0.0,0.0
43.3,3321,-9,0.0,0.0
43.4,3320,-9,0.0,0.0
43.5,3319,-9,0.0,0.0
43.8,3316,-9,0.0,0.0
43.9,3316,-9,0.0,0.0
44.0,3315,-9,0.0,0.0
44.1,3314,-8,0.0,0.0
44.2,3314,-8,0.0,0.0
44.3,3313,-8,0.0,0.0
44.8,3308,-8,0.0,0.0
45.1,3305,-9,0.0,0.0
45.2,3304,-9,0.0,0.0
45.4,3302,-9,0.0,0.0
45.6,3300,-9,0.0,0.0
45.9,3298,-8,0.0,0.0
46.0,3297,-8,0.0,0.0
46.1,3297,-8,0.0,0.0
46.2,3296,-8,0.0,0.0
46.3,3295,-8,0.0,0.0
46.4,3294,-8,0.0,0.0
46.6,3292,-8,0.0,0.0
46.7,3291,-9,0.0,0.0
46.8,3290,-8,0.0,0.0
46.9,3289,-9,0.0,0.0
47.0,3288,-8,0.0,0.0
47.1,3287,-8,0.0,0.0
47.4,3285,-8,0.0,0.0
47.5,3284,-8,0.0,0.0
47.6,3283,-9,0.0,0.0
47.7,3282,-9,0.0,0.0
47.9,3280,-9,0.0,0.0
48.1,3278,-9,0.0,0.0
48.2,3277,-9,0.0,0.0
48.3,3276,-9,0.0,0.0
48.7,3272,-9,0.0,0.0
48.8,3271,-9,0.0,0.0
48.9,3270,-9,0.0,0.0
49.3,3267,-9,0.0,0.0
49.7,3263,-8,0.0,0.0
49.8,3263,-8,0.0,0.0
49.9,3262,-8,0.0,0.0
50.0,3261,-9,0.0,0.0
50.1,3260,-9,0.0,0.0
50.2,3259,-9,0.0,0.0
50.3,3258,-9,0.0,0.0
