ts,altitude[m],velocity[m/s],latitude,longitude
0.0,6,12,0.0,0.0
0.1,7,20,0.0,0.0
0.2,10,29,0.0,0.0
0.3,13,38,0.0,0.0
0.4,18,46,0.0,0.0
0.5,23,54,0.0,0.0
0.8,43,80,0.0,0.0
0.9,51,88,0.0,0.0
1.0,61,97,0.0,0.0
1.1,71,106,0.0,0.0
1.2,82,114,0.0,0.0
1.4,106,132,0.0,0.0
1.5,119,141,0.0,0.0
1.6,134,150,0.0,0.0
1.7,148,158,0.0,0.0
1.8,164,167,0.0,0.0
2.1,215,193,0.0,0.0
2.2,234,201,0.0,0.0
2.3,254,210,0.0,0.0
2.4,274,218,0.0,0.0
2.5,295,226,0.0,0.0
2.6,316,234,0.0,0.0
2.8,359,249,0.0,0.0
2.9,382,256,0.0,0.0
3.0,405,263,0.0,0.0
3.1,429,270,0.0,0.0
3.2,453,277,0.0,0.0
3.3,479,284,0.0,0.0
3.5,534,298,0.0,0.0
3.9,663,325,0.0,0.0
4.3,807,346,0.0,0.0
4.7,955,348,0.0,0.0
5.0,1062,338,0.0,0.0
5.1,1095,333,0.0,0.0
5.3,1158,323,0.0,0.0
5.4,1190,319,0.0,0.0
5.5,1221,314,0.0,0.0
5.6,1251,310,0.0,0.0
5.7,1279,305,0.0,0.0
6.0,1358,292,0.0,0.0
6.1,1384,287,0.0,0.0
6.2,1411,284,0.0,0.0
6.3,1437,280,0.0,0.0
6.4,1464,277,0.0,0.0
6.6,1516,270,0.0,0.0
6.7,1541,267,0.0,0.0
6.8,1565,263,0.0,0.0
6.9,1587,259,0.0,0.0
7.0,1610,255,0.0,0.0
7.2,1658,250,0.0,0.0
7.3,1683,247,0.0,0.0
7.4,1709,245,0.0,0.0
7.5,1735,243,0.0,0.0
7.6,1761,241,0.0,0.0
9.2,2112,205,0.0,0.0
9.5,2169,198,0.0,0.0
9.6,2188,196,0.0,0.0
9.7,2207,194,0.0,0.0
9.8,2227,192,0.0,0.0
9.9,2248,191,0.0,0.0
10.2,2308,187,0.0,0.0
10.3,2325,184,0.0,0.0
10.4,2340,181,0.0,0.0
10.5,2356,179,0.0,0.0
10.7,2390,175,0.0,0.0
10.8,2409,174,0.0,0.0
10.9,2427,173,0.0,0.0
11.2,2475,167,0.0,0.0
11.3,2490,165,0.0,0.0
11.4,2506,163,0.0,0.0
11.5,2522,161,0.0,0.0
11.6,2539,160,0.0,0.0
11.9,2589,156,0.0,0.0
12.3,2647,149,0.0,0.0
12.6,2693,145,0.0,0.0
13.0,2750,140,0.0,0.0
13.3,2790,135,0.0,0.0
13.5,2818,133,0.0,0.0
13.6,2832,132,0.0,0.0
13.8,2858,129,0.0,0.0
13.9,2870,127,0.0,0.0
14.1,2894,124,0.0,0.0
14.2,2906,123,0.0,0.0
14.4,2930,120,0.0,0.0
14.5,2943,119,0.0,0.0
14.6,2956,118,0.0,0.0
14.7,2968,117,0.0,0.0
14.8,2979,116,0.0,0.0
14.9,2990,114,0.0,0.0
15.1,3012,111,0.0,0.0
15.2,3023,110,0.0,0.0
15.3,3033,108,0.0,0.0
15.5,3055,106,0.0,0.0
15.6,3065,105,0.0,0.0
16.1,3119,100,0.0,0.0
16.4,3149,96,0.0,0.0
16.6,3167,93,0.0,0.0
17.0,3203,89,0.0,0.0
17.5,3250,84,0.0,0.0
17.7,3268,82,0.0,0.0
17.8,3276,81,0.0,0.0
17.9,3283,80,0.0,0.0
18.0,3290,78,0.0,0.0
18.1,3297,77,0.0,0.0
18.2,3304,75,0.0,0.0
18.5,3326,72,0.0,0.0
18.6,3334,71,0.0,0.0
18.7,3342,70,0.0,0.0
18.8,3350,70,0.0,0.0
18.9,3358,69,0.0,0.0
19.0,3365,68,0.0,0.0
19.2,3377,65,0.0,0.0
19.3,3382,64,0.0,0.0
19.4,3388,62,0.0,0.0
19.5,3393,60,0.0,0.0
19.8,3410,57,0.0,0.0
19.9,3416,56,0.0,0.0
20.0,3421,55,0.0,0.0
20.3,3438,52,0.0,0.0
20.4,3443,51,0.0,0.0
20.5,3449,50,0.0,0.0
20.6,3454,49,0.0,0.0
20.7,3460,49,0.0,0.0
20.8,3465,48,0.0,0.0
20.9,3470,47,0.0,0.0
21.2,3484,44,0.0,0.0
21.3,3488,43,0.0,0.0
21.4,3492,41,0.0,0.0
21.6,3500,39,0.0,0.0
21.8,3507,37,0.0,0.0
22.1,3518,34,0.0,0.0
22.2,3521,33,0.0,0.0
22.3,3525,32,0.0,0.0
22.4,3528,31,0.0,0.0
22.5,3532,30,0.0,0.0
22.6,3535,29,0.0,0.0
22.8,3541,27,0.0,0.0
22.9,3544,27,0.0,0.0
23.0,3547,26,0.0,0.0
23.1,3550,25,0.0,0.0
23.2,3553,24,0.0,0.0
23.3,3555,24,0.0,0.0
23.5,3561,22,0.0,0.0
23.6,3563,21,0.0,0.0
23.7,3565,21,0.0,0.0
23.8,3568,20,0.0,0.0
24.0,3572,18,0.0,0.0
24.1,3573,17,0.0,0.0
24.3,3577,15,0.0,0.0
24.4,3578,14,0.0,0.0
24.5,3580,14,0.0,0.0
24.7,3583,12,0.0,0.0
24.8,3584,10,0.0,0.0
25.1,3586,7,0.0,0.0
25.2,3587,6,0.0,0.0
25.3,3587,5,0.0,0.0
25.4,3587,3,0.0,0.0
26.1,3589,-1,0.0,0.0
26.6,3588,-1,0.0,0.0
27.0,3275,-295,0.0,0.0
27.2,3048,-452,0.0,0.0
27.3,2981,-473,0.0,0.0
27.4,2947,-459,0.0,0.0
27.5,2944,-417,0.0,0.0
27.6,2965,-354,0.0,0.0
27.8,2979,-279,0.0,0.0
27.9,2976,-253,0.0,0.0
28.0,3053,-150,0.0,0.0
28.4,3318,123,0.0,0.0
28.5,3367,159,0.0,0.0
28.6,3413,190,0.0,0.0
28.7,3457,215,0.0,0.0
28.9,3533,245,0.0,0.0
29.2,3604,242,0.0,0.0
29.5,3629,198,0.0,0.0
29.6,3631,180,0.0,0.0
29.7,3630,161,0.0,0.0
29.9,3623,124,0.0,0.0
30.2,3607,75,0.0,0.0
30.3,3600,61,0.0,0.0
30.4,3593,48,0.0,0.0
30.5,3586,36,0.0,0.0
30.6,3580,26,0.0,0.0
30.7,3573,17,0.0,0.0
30.8,3566,8,0.0,0.0
31.0,3551,-7,0.0,0.0
31.1,3544,-13,0.0,0.0
31.2,3538,-18,0.0,0.0
31.3,3532,-22,0.0,0.0
31.4,3526,-26,0.0,0.0
31.6,3515,-30,0.0,0.0
31.8,3505,-34,0.0,0.0
32.1,3492,-36,0.0,0.0
32.3,3484,-37,0.0,0.0
32.4,3480,-38,0.0,0.0
32.6,3474,-36,0.0,0.0
32.7,3472,-35,0.0,0.0
32.8,3470,-33,0.0,0.0
33.2,3460,-30,0.0,0.0
33.3,3457,-30,0.0,0.0
33.4,3454,-30,0.0,0.0
33.6,3449,-28,0.0,0.0
33.7,3446,-29,0.0,0.0
33.9,3439,-30,0.0,0.0
34.0,3435,-31,0.0,0.0
34.1,3431,-32,0.0,0.0
34.4,3421,-32,0.0,0.0
34.5,3418,-32,0.0,0.0
